-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.904   Longitude 116.407 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 221.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.63,7.4,100.4,0.85,-10.98
2020,1,1,1,3.08,5.2,100.42,0.85,-12.32
2020,1,1,2,4.01,0.0,100.43,0.83,-13.02
2020,1,1,3,4.57,354.0,100.39,0.81,-13.24
2020,1,1,4,4.77,350.2,100.34,0.8,-13.25
2020,1,1,5,4.56,350.4,100.33,0.81,-13.24
2020,1,1,6,4.16,353.6,100.34,0.81,-13.37
2020,1,1,7,3.91,355.2,100.37,0.81,-13.62
2020,1,1,8,3.89,357.6,100.42,0.88,-12.14
2020,1,1,9,3.27,2.1,100.45,0.86,-9.52
2020,1,1,10,2.61,351.4,100.44,0.94,-6.63
2020,1,1,11,2.45,340.7,100.37,1.04,-3.4
2020,1,1,12,1.76,341.2,100.25,1.13,-1.23
2020,1,1,13,0.93,3.7,100.14,1.22,0.14
2020,1,1,14,0.9,89.4,100.1,1.32,0.65
2020,1,1,15,2.66,123.3,100.11,1.47,-0.23
2020,1,1,16,4.39,136.2,100.17,1.61,-3.94
2020,1,1,17,4.36,150.6,100.25,1.41,-6.57
2020,1,1,18,3.69,163.5,100.31,1.29,-7.47
2020,1,1,19,2.8,170.3,100.33,1.18,-7.48
2020,1,1,20,1.86,170.1,100.35,1.1,-6.97
2020,1,1,21,1.12,165.5,100.36,1.06,-6.67
2020,1,1,22,0.55,164.2,100.37,1.05,-6.43
2020,1,1,23,0.32,341.6,100.38,1.06,-6.43
2020,1,2,0,1.49,343.3,100.35,1.1,-6.95
2020,1,2,1,2.57,345.1,100.34,1.15,-7.8
2020,1,2,2,3.5,342.7,100.33,1.2,-8.74
2020,1,2,3,4.55,336.3,100.3,1.25,-9.46
2020,1,2,4,5.66,333.1,100.29,1.3,-9.93
2020,1,2,5,6.84,330.4,100.29,1.35,-10.32
2020,1,2,6,7.86,328.3,100.3,1.37,-10.43
2020,1,2,7,8.25,326.0,100.33,1.36,-10.5
2020,1,2,8,8.15,324.1,100.38,1.34,-9.34
2020,1,2,9,7.09,322.4,100.42,1.31,-6.67
2020,1,2,10,6.81,324.9,100.43,1.3,-2.97
2020,1,2,11,5.65,330.9,100.39,1.33,0.36
2020,1,2,12,4.43,340.2,100.33,1.4,2.54
2020,1,2,13,3.3,349.2,100.26,1.45,3.83
2020,1,2,14,2.06,3.1,100.24,1.73,3.85
2020,1,2,15,0.69,59.3,100.23,2.21,2.69
2020,1,2,16,0.88,172.8,100.24,1.78,2.01
2020,1,2,17,1.64,222.5,100.24,1.75,0.83
2020,1,2,18,2.48,248.5,100.26,1.79,-0.24
2020,1,2,19,2.89,269.0,100.28,1.73,-1.01
2020,1,2,20,3.13,293.5,100.29,1.69,-1.66
2020,1,2,21,3.52,317.4,100.28,1.66,-2.44
2020,1,2,22,4.12,336.5,100.27,1.62,-3.39
2020,1,2,23,4.71,344.9,100.27,1.59,-4.24
2020,1,3,0,5.14,343.6,100.27,1.57,-4.98
2020,1,3,1,5.66,339.8,100.28,1.52,-5.69
2020,1,3,2,6.21,333.4,100.27,1.46,-6.37
2020,1,3,3,6.76,328.7,100.25,1.4,-7.01
2020,1,3,4,7.15,328.2,100.23,1.35,-7.63
2020,1,3,5,7.39,328.9,100.21,1.34,-7.96
2020,1,3,6,7.47,329.1,100.22,1.35,-8.13
2020,1,3,7,7.61,328.7,100.25,1.36,-8.2
2020,1,3,8,7.35,329.6,100.29,1.42,-6.34
2020,1,3,9,5.93,328.5,100.3,1.52,-3.57
2020,1,3,10,5.31,328.8,100.27,1.65,-0.07
2020,1,3,11,5.04,331.6,100.17,1.74,3.19
2020,1,3,12,4.27,328.0,100.05,1.8,5.34
2020,1,3,13,3.89,321.9,99.96,1.9,6.45
2020,1,3,14,3.05,317.0,99.91,2.14,6.66
2020,1,3,15,1.45,292.7,99.87,2.7,5.2
2020,1,3,16,2.17,235.7,99.87,2.16,3.19
2020,1,3,17,3.59,236.9,99.89,2.1,0.84
2020,1,3,18,4.22,251.2,99.91,2.16,-0.16
2020,1,3,19,4.45,268.2,99.9,2.17,-0.51
2020,1,3,20,4.77,285.2,99.9,2.16,-0.84
2020,1,3,21,5.3,301.7,99.93,2.12,-1.4
2020,1,3,22,5.88,316.4,99.94,2.04,-2.16
2020,1,3,23,6.61,326.4,99.96,2.0,-2.45
2020,1,4,0,7.1,327.8,99.96,1.94,-3.2
2020,1,4,1,7.49,328.2,99.98,1.89,-3.78
2020,1,4,2,8.09,328.0,100.0,1.85,-4.25
2020,1,4,3,8.5,328.4,99.99,1.8,-4.62
2020,1,4,4,8.59,328.2,99.98,1.73,-5.07
2020,1,4,5,8.68,327.1,99.97,1.66,-5.55
2020,1,4,6,8.77,326.2,99.97,1.6,-5.98
2020,1,4,7,8.78,324.8,100.03,1.55,-6.27
2020,1,4,8,8.23,322.9,100.14,1.56,-5.11
2020,1,4,9,6.79,324.8,100.22,1.66,-2.4
2020,1,4,10,5.6,333.7,100.23,1.81,1.12
2020,1,4,11,4.47,356.8,100.19,1.9,4.21
2020,1,4,12,3.31,28.3,100.14,1.9,5.8
2020,1,4,13,2.48,54.5,100.1,1.91,6.21
2020,1,4,14,2.39,77.9,100.08,2.0,5.79
2020,1,4,15,2.75,109.3,100.09,2.71,3.58
2020,1,4,16,2.9,128.6,100.12,2.21,0.71
2020,1,4,17,2.69,143.0,100.17,1.97,-0.14
2020,1,4,18,2.76,158.5,100.22,1.98,-0.36
2020,1,4,19,3.0,171.4,100.26,2.01,-0.75
2020,1,4,20,3.27,179.5,100.28,2.06,-1.23
2020,1,4,21,3.25,186.7,100.3,2.09,-1.51
2020,1,4,22,2.93,191.4,100.31,2.03,-1.74
2020,1,4,23,2.37,193.7,100.32,1.97,-1.96
2020,1,5,0,1.51,193.8,100.35,1.95,-2.07
2020,1,5,1,0.62,155.1,100.37,1.96,-2.26
2020,1,5,2,1.01,68.0,100.38,1.97,-2.94
2020,1,5,3,1.86,49.8,100.36,1.97,-4.26
2020,1,5,4,2.11,42.7,100.36,1.95,-5.01
2020,1,5,5,2.08,36.6,100.4,1.94,-5.35
2020,1,5,6,2.52,31.5,100.42,1.95,-5.61
2020,1,5,7,2.64,29.5,100.43,1.96,-5.49
2020,1,5,8,2.15,29.8,100.49,2.01,-4.38
2020,1,5,9,1.8,29.3,100.52,2.24,-2.71
2020,1,5,10,0.96,52.2,100.52,2.32,-1.14
2020,1,5,11,1.02,141.0,100.48,2.5,0.03
