-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.904   Longitude 117.58 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.97,325.7,102.25,0.71,-10.77
2020,1,1,1,2.79,348.9,102.23,0.71,-11.63
2020,1,1,2,3.58,0.8,102.21,0.71,-12.49
2020,1,1,3,4.14,9.5,102.16,0.71,-12.99
2020,1,1,4,4.41,18.1,102.13,0.71,-13.25
2020,1,1,5,4.49,30.0,102.13,0.71,-13.42
2020,1,1,6,4.58,42.8,102.14,0.72,-13.64
2020,1,1,7,4.76,51.2,102.17,0.73,-13.81
2020,1,1,8,4.92,55.3,102.23,0.83,-11.86
2020,1,1,9,3.79,59.6,102.25,0.8,-8.79
2020,1,1,10,1.61,82.9,102.25,0.83,-6.48
2020,1,1,11,0.72,158.8,102.21,0.86,-4.59
2020,1,1,12,0.8,193.7,102.11,0.91,-3.34
2020,1,1,13,0.65,189.8,102.02,0.95,-2.53
2020,1,1,14,0.78,165.1,101.97,0.98,-2.21
2020,1,1,15,1.26,159.6,101.97,1.21,-2.69
2020,1,1,16,1.89,162.4,102.01,1.27,-4.52
2020,1,1,17,2.07,165.4,102.07,1.08,-5.5
2020,1,1,18,1.81,168.9,102.1,1.03,-5.7
2020,1,1,19,1.14,171.4,102.13,0.96,-5.43
2020,1,1,20,0.28,165.5,102.14,0.93,-5.2
2020,1,1,21,0.42,8.1,102.15,0.91,-5.38
2020,1,1,22,0.81,357.2,102.16,0.91,-5.73
2020,1,1,23,1.3,348.0,102.15,0.91,-6.15
2020,1,2,0,2.03,344.2,102.13,0.92,-6.94
2020,1,2,1,2.7,344.1,102.11,0.93,-7.65
2020,1,2,2,3.27,345.8,102.1,0.94,-8.34
2020,1,2,3,3.78,347.3,102.06,0.94,-8.93
2020,1,2,4,4.26,349.5,102.04,0.95,-9.38
