-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  40.54   Longitude 117.236 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 580.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.52,316.9,96.03,0.64,-15.28
2020,1,1,1,3.28,333.4,96.02,0.65,-15.88
2020,1,1,2,3.94,345.4,95.99,0.66,-16.49
2020,1,1,3,4.37,354.0,95.95,0.68,-16.94
2020,1,1,4,4.6,0.9,95.91,0.69,-17.11
2020,1,1,5,4.61,9.2,95.9,0.7,-17.14
2020,1,1,6,4.58,17.0,95.91,0.7,-17.13
2020,1,1,7,4.62,22.0,95.94,0.7,-17.06
2020,1,1,8,4.34,24.5,95.98,0.75,-14.52
2020,1,1,9,3.01,24.9,96.0,0.77,-11.51
2020,1,1,10,1.51,30.1,96.0,0.89,-8.71
2020,1,1,11,0.44,198.4,95.96,0.95,-5.53
2020,1,1,12,1.63,216.5,95.89,1.02,-3.65
2020,1,1,13,1.85,220.4,95.81,1.09,-2.56
2020,1,1,14,1.74,217.5,95.78,1.18,-2.37
2020,1,1,15,2.0,205.2,95.79,1.29,-3.24
2020,1,1,16,2.94,193.0,95.83,1.45,-6.4
2020,1,1,17,3.48,191.6,95.89,1.24,-8.68
2020,1,1,18,3.34,196.9,95.94,1.15,-9.62
2020,1,1,19,2.73,207.2,95.97,1.07,-9.82
2020,1,1,20,2.07,223.4,95.99,1.0,-9.69
2020,1,1,21,1.64,246.7,95.99,0.95,-9.64
2020,1,1,22,1.7,268.0,96.0,0.93,-9.85
2020,1,1,23,2.06,284.0,95.99,0.92,-10.17
2020,1,2,0,2.61,300.6,95.98,0.93,-10.82
2020,1,2,1,3.19,315.9,95.98,0.95,-11.44
2020,1,2,2,3.81,329.4,95.97,0.97,-12.05
2020,1,2,3,4.55,339.5,95.94,1.0,-12.68
2020,1,2,4,5.45,346.4,95.93,1.06,-13.3
2020,1,2,5,6.53,351.2,95.93,1.15,-13.51
2020,1,2,6,7.49,354.3,95.93,1.17,-13.51
2020,1,2,7,8.18,357.9,95.93,1.09,-13.3
2020,1,2,8,8.06,1.4,95.97,1.03,-10.95
2020,1,2,9,6.9,2.6,95.99,1.03,-8.27
2020,1,2,10,7.04,5.1,96.0,1.05,-5.08
2020,1,2,11,5.5,8.0,95.98,1.16,-2.46
2020,1,2,12,4.49,13.5,95.96,1.3,-0.41
2020,1,2,13,3.66,18.6,95.92,1.45,0.8
2020,1,2,14,2.89,22.1,95.92,1.59,1.18
2020,1,2,15,1.92,30.3,95.93,2.13,0.28
2020,1,2,16,1.05,51.9,95.94,1.72,-1.08
2020,1,2,17,0.3,111.4,95.94,1.52,-1.75
2020,1,2,18,0.83,232.9,95.97,1.5,-2.41
2020,1,2,19,1.54,260.3,95.99,1.51,-3.09
2020,1,2,20,1.97,285.6,96.02,1.52,-3.81
2020,1,2,21,2.4,314.5,96.03,1.51,-4.63
2020,1,2,22,3.16,336.3,96.03,1.47,-5.85
2020,1,2,23,4.0,346.6,96.0,1.41,-7.63
2020,1,3,0,4.75,349.4,95.98,1.35,-9.22
2020,1,3,1,5.33,350.8,95.97,1.27,-10.34
2020,1,3,2,5.97,353.0,95.95,1.19,-10.96
2020,1,3,3,6.55,354.0,95.92,1.13,-11.15
2020,1,3,4,6.97,354.8,95.9,1.1,-11.15
2020,1,3,5,7.19,356.9,95.89,1.09,-11.09
2020,1,3,6,7.34,358.8,95.9,1.09,-10.99
2020,1,3,7,7.35,358.2,95.9,1.1,-10.84
2020,1,3,8,6.84,356.1,95.92,1.19,-8.06
2020,1,3,9,5.16,353.2,95.93,1.31,-4.85
2020,1,3,10,3.92,346.9,95.9,1.52,-1.91
2020,1,3,11,3.73,339.1,95.83,1.71,0.79
2020,1,3,12,3.29,324.1,95.75,1.86,2.64
2020,1,3,13,3.15,311.4,95.69,1.95,3.62
2020,1,3,14,3.01,306.1,95.67,2.01,3.73
2020,1,3,15,2.35,301.6,95.66,2.65,2.4
2020,1,3,16,1.84,292.7,95.66,2.15,0.27
2020,1,3,17,1.7,287.8,95.68,1.9,-0.62
2020,1,3,18,1.79,298.4,95.7,1.86,-1.14
2020,1,3,19,2.02,317.0,95.71,1.82,-1.78
