-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  40.54   Longitude 115.578 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 957.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.59,311.7,91.47,0.7,-15.49
2020,1,1,1,3.71,313.5,91.47,0.7,-15.89
2020,1,1,2,3.95,308.9,91.47,0.69,-16.34
2020,1,1,3,4.4,302.1,91.43,0.69,-16.87
2020,1,1,4,4.99,298.7,91.39,0.69,-17.18
2020,1,1,5,5.37,298.6,91.38,0.7,-17.31
2020,1,1,6,5.43,297.9,91.4,0.7,-17.38
2020,1,1,7,5.47,297.6,91.42,0.71,-17.47
2020,1,1,8,5.39,297.6,91.47,0.79,-15.39
2020,1,1,9,4.58,295.6,91.5,0.87,-11.61
2020,1,1,10,4.77,294.1,91.5,1.01,-8.8
2020,1,1,11,4.55,289.7,91.47,1.14,-6.57
2020,1,1,12,4.3,285.9,91.39,1.26,-4.82
2020,1,1,13,4.06,284.7,91.33,1.36,-3.77
2020,1,1,14,3.92,284.0,91.31,1.45,-3.25
2020,1,1,15,3.53,278.8,91.33,1.57,-3.92
2020,1,1,16,3.25,267.4,91.37,1.49,-7.32
2020,1,1,17,3.23,261.4,91.42,1.33,-9.62
2020,1,1,18,3.06,263.1,91.45,1.29,-9.92
2020,1,1,19,2.91,271.6,91.47,1.28,-9.99
2020,1,1,20,2.92,283.5,91.48,1.28,-10.16
2020,1,1,21,3.13,290.2,91.5,1.29,-10.5
2020,1,1,22,3.52,290.8,91.52,1.3,-10.94
2020,1,1,23,4.18,295.3,91.53,1.31,-11.91
2020,1,2,0,5.07,304.9,91.53,1.31,-12.73
2020,1,2,1,5.92,311.9,91.54,1.31,-13.29
2020,1,2,2,6.64,314.8,91.55,1.29,-13.71
2020,1,2,3,7.17,314.9,91.54,1.24,-13.86
2020,1,2,4,7.14,314.0,91.53,1.17,-14.28
2020,1,2,5,7.2,312.8,91.54,1.1,-14.91
2020,1,2,6,7.34,311.1,91.54,1.04,-15.45
2020,1,2,7,7.52,310.8,91.56,0.98,-15.74
2020,1,2,8,7.28,309.3,91.58,0.97,-14.45
2020,1,2,9,6.6,303.7,91.62,1.04,-11.48
2020,1,2,10,6.11,299.2,91.64,1.2,-7.83
2020,1,2,11,5.54,300.1,91.63,1.42,-4.3
2020,1,2,12,5.0,312.9,91.59,1.54,-1.27
2020,1,2,13,4.09,319.3,91.55,1.63,0.48
2020,1,2,14,3.01,317.8,91.54,1.8,0.7
2020,1,2,15,2.39,305.6,91.55,2.29,-1.18
2020,1,2,16,2.43,299.3,91.54,1.94,-3.21
2020,1,2,17,2.8,301.0,91.56,1.72,-4.45
2020,1,2,18,3.37,309.0,91.59,1.63,-5.56
2020,1,2,19,3.93,318.8,91.62,1.56,-6.55
2020,1,2,20,4.38,326.5,91.64,1.49,-7.4
2020,1,2,21,4.76,330.5,91.64,1.38,-8.6
2020,1,2,22,5.18,330.9,91.64,1.26,-9.86
2020,1,2,23,5.57,326.0,91.62,1.18,-10.6
2020,1,3,0,6.06,320.3,91.61,1.14,-11.13
2020,1,3,1,6.63,317.3,91.6,1.12,-11.47
2020,1,3,2,7.19,315.5,91.59,1.13,-11.5
2020,1,3,3,7.22,314.0,91.55,1.15,-11.42
2020,1,3,4,7.22,313.1,91.53,1.17,-11.77
2020,1,3,5,7.21,313.3,91.52,1.18,-12.13
2020,1,3,6,7.19,313.8,91.53,1.18,-12.34
2020,1,3,7,7.12,313.9,91.54,1.15,-12.47
2020,1,3,8,6.53,313.6,91.58,1.17,-10.88
2020,1,3,9,5.34,307.1,91.59,1.28,-7.99
2020,1,3,10,4.81,296.9,91.58,1.49,-4.82
2020,1,3,11,4.98,296.1,91.52,1.74,-1.67
2020,1,3,12,5.32,298.5,91.45,1.88,0.76
2020,1,3,13,5.68,299.9,91.39,1.97,2.0
2020,1,3,14,5.75,300.3,91.36,2.07,2.14
2020,1,3,15,5.23,296.5,91.35,2.29,0.9
2020,1,3,16,5.44,292.4,91.35,2.12,-2.98
2020,1,3,17,5.76,297.5,91.37,1.85,-5.65
