-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  40.804   Longitude 116.407 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1069.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.34,327.5,90.01,0.62,-17.53
2020,1,1,1,4.35,325.7,90.01,0.61,-17.28
2020,1,1,2,4.28,321.9,89.99,0.6,-16.84
2020,1,1,3,4.13,317.7,89.95,0.6,-16.38
2020,1,1,4,3.81,313.0,89.9,0.61,-15.95
2020,1,1,5,3.3,309.5,89.9,0.62,-14.79
2020,1,1,6,2.67,306.0,89.91,0.63,-13.43
2020,1,1,7,2.03,302.1,89.94,0.65,-12.22
2020,1,1,8,1.34,297.5,89.98,0.72,-10.43
2020,1,1,9,0.78,248.1,90.01,1.04,-8.13
2020,1,1,10,1.25,203.5,90.03,1.08,-5.71
2020,1,1,11,1.65,214.8,89.99,1.18,-3.61
2020,1,1,12,1.98,228.7,89.92,1.32,-1.9
2020,1,1,13,2.14,234.9,89.85,1.44,-0.75
2020,1,1,14,2.2,232.4,89.82,1.54,-0.52
2020,1,1,15,2.46,210.0,89.84,1.89,-2.35
2020,1,1,16,2.65,214.7,89.88,1.58,-6.19
2020,1,1,17,2.67,245.2,89.93,1.38,-8.1
2020,1,1,18,2.96,266.9,89.97,1.36,-9.38
2020,1,1,19,3.14,284.0,89.99,1.37,-10.23
2020,1,1,20,3.39,299.7,90.0,1.37,-11.14
2020,1,1,21,3.89,309.1,90.01,1.36,-12.55
2020,1,1,22,4.49,313.3,90.02,1.35,-13.57
2020,1,1,23,5.32,317.9,90.03,1.35,-13.91
2020,1,2,0,6.26,322.2,90.03,1.35,-13.8
2020,1,2,1,6.79,325.3,90.03,1.32,-13.21
2020,1,2,2,6.32,327.8,90.03,1.26,-12.98
2020,1,2,3,6.28,328.6,90.0,1.18,-13.67
2020,1,2,4,6.48,328.1,89.99,1.07,-14.18
2020,1,2,5,6.78,328.3,89.98,0.96,-14.16
2020,1,2,6,7.04,329.4,89.99,0.88,-13.69
2020,1,2,7,7.29,330.1,90.02,0.87,-13.13
2020,1,2,8,6.94,330.6,90.07,0.9,-11.64
2020,1,2,9,5.96,331.5,90.1,0.99,-8.95
2020,1,2,10,5.24,332.5,90.13,1.15,-5.52
2020,1,2,11,5.37,337.1,90.15,1.27,-2.32
2020,1,2,12,4.87,342.7,90.13,1.4,-0.63
2020,1,2,13,3.8,344.9,90.12,1.54,0.15
2020,1,2,14,2.84,341.8,90.13,1.65,0.22
2020,1,2,15,2.06,336.8,90.15,1.85,-1.05
2020,1,2,16,1.89,332.6,90.15,1.61,-3.61
2020,1,2,17,2.24,324.8,90.15,1.44,-5.48
2020,1,2,18,3.03,317.4,90.17,1.39,-7.1
2020,1,2,19,3.93,316.2,90.2,1.36,-8.21
2020,1,2,20,4.82,317.3,90.22,1.32,-9.25
2020,1,2,21,5.45,318.2,90.22,1.25,-9.92
2020,1,2,22,5.67,320.1,90.19,1.19,-10.23
2020,1,2,23,6.07,320.5,90.16,1.16,-10.62
2020,1,3,0,6.54,319.8,90.12,1.15,-10.83
2020,1,3,1,6.84,320.2,90.09,1.17,-10.72
2020,1,3,2,6.99,321.4,90.07,1.21,-10.4
2020,1,3,3,6.79,321.9,90.03,1.23,-10.16
2020,1,3,4,6.67,322.3,90.01,1.25,-10.33
2020,1,3,5,6.61,324.3,90.0,1.26,-10.51
2020,1,3,6,6.57,326.7,90.01,1.24,-10.63
2020,1,3,7,6.58,327.8,90.03,1.22,-10.71
2020,1,3,8,5.96,328.0,90.07,1.28,-9.17
2020,1,3,9,4.57,325.6,90.09,1.44,-6.08
2020,1,3,10,3.53,319.9,90.07,1.7,-2.32
2020,1,3,11,3.9,318.0,90.03,1.88,0.98
