-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.268   Longitude 115.578 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 335.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.74,286.0,98.9,0.99,-9.2
2020,1,1,1,1.56,339.7,98.9,0.98,-9.16
2020,1,1,2,2.54,2.5,98.92,0.98,-9.85
2020,1,1,3,3.43,1.5,98.89,0.97,-10.59
2020,1,1,4,3.92,357.1,98.87,0.96,-11.06
2020,1,1,5,3.85,355.4,98.86,0.95,-10.98
2020,1,1,6,3.42,356.6,98.88,0.93,-10.59
2020,1,1,7,3.06,357.8,98.91,0.92,-10.38
2020,1,1,8,2.87,1.6,98.95,1.02,-9.06
2020,1,1,9,2.29,9.5,99.0,1.14,-6.4
2020,1,1,10,1.35,44.1,99.01,1.04,-4.22
2020,1,1,11,1.22,105.2,98.94,1.07,-2.29
2020,1,1,12,1.57,123.6,98.83,1.14,-1.17
2020,1,1,13,1.93,131.4,98.74,1.21,-0.44
2020,1,1,14,2.39,137.5,98.71,1.26,-0.31
2020,1,1,15,3.06,141.6,98.72,1.28,-1.24
2020,1,1,16,3.44,144.1,98.76,1.52,-4.27
2020,1,1,17,2.64,153.4,98.83,1.43,-6.35
2020,1,1,18,1.71,176.0,98.86,1.28,-6.41
2020,1,1,19,1.14,203.2,98.87,1.22,-6.23
2020,1,1,20,0.84,216.7,98.87,1.24,-5.77
2020,1,1,21,0.62,207.0,98.89,1.26,-5.28
2020,1,1,22,0.38,193.7,98.91,1.3,-4.9
2020,1,1,23,0.13,312.0,98.91,1.32,-5.02
2020,1,2,0,0.98,343.4,98.9,1.35,-5.56
2020,1,2,1,2.0,348.5,98.88,1.38,-6.58
2020,1,2,2,3.22,348.0,98.88,1.39,-7.76
2020,1,2,3,4.65,343.4,98.85,1.39,-8.58
2020,1,2,4,5.93,339.8,98.83,1.39,-8.77
2020,1,2,5,6.68,335.3,98.82,1.4,-8.74
2020,1,2,6,7.19,331.3,98.83,1.41,-8.49
2020,1,2,7,7.18,328.0,98.85,1.41,-8.36
2020,1,2,8,6.67,325.0,98.89,1.45,-6.78
2020,1,2,9,5.17,323.0,98.94,1.54,-3.48
2020,1,2,10,3.95,318.5,98.97,1.57,-0.26
2020,1,2,11,2.87,321.4,98.95,1.48,2.62
2020,1,2,12,1.53,331.6,98.89,1.45,4.05
2020,1,2,13,0.58,346.0,98.84,1.57,4.1
2020,1,2,14,0.54,138.0,98.82,2.29,3.19
2020,1,2,15,1.2,161.1,98.83,2.44,2.35
2020,1,2,16,1.2,195.4,98.83,1.96,1.15
2020,1,2,17,1.95,253.9,98.85,1.93,-0.79
2020,1,2,18,3.33,272.2,98.88,1.85,-2.7
2020,1,2,19,4.22,285.1,98.9,1.72,-3.68
2020,1,2,20,4.71,297.3,98.9,1.63,-4.12
2020,1,2,21,4.98,310.6,98.88,1.56,-4.21
2020,1,2,22,5.48,324.7,98.86,1.51,-4.23
2020,1,2,23,5.99,331.5,98.86,1.48,-4.44
2020,1,3,0,6.24,332.8,98.86,1.46,-4.83
2020,1,3,1,6.39,332.2,98.85,1.45,-5.23
2020,1,3,2,6.46,329.2,98.84,1.42,-5.54
2020,1,3,3,6.53,326.0,98.81,1.4,-5.79
2020,1,3,4,6.67,325.1,98.78,1.38,-6.0
2020,1,3,5,6.75,327.6,98.77,1.38,-6.21
2020,1,3,6,6.77,329.3,98.77,1.4,-6.5
2020,1,3,7,6.78,328.0,98.8,1.42,-6.71
2020,1,3,8,6.31,326.2,98.84,1.57,-5.0
2020,1,3,9,4.63,319.5,98.89,1.8,-1.31
2020,1,3,10,2.7,309.3,98.87,1.75,2.13
2020,1,3,11,1.68,286.3,98.78,1.72,5.1
2020,1,3,12,1.43,261.1,98.67,1.75,6.67
2020,1,3,13,1.66,232.9,98.59,1.83,7.29
2020,1,3,14,2.24,198.8,98.55,2.09,6.91
2020,1,3,15,3.42,188.1,98.54,2.75,4.24
2020,1,3,16,3.55,209.3,98.55,2.39,0.72
2020,1,3,17,3.4,242.3,98.56,2.17,-0.76
2020,1,3,18,3.66,261.7,98.56,2.21,-1.13
2020,1,3,19,3.89,266.3,98.56,2.25,-1.19
2020,1,3,20,3.95,272.6,98.55,2.29,-1.09
2020,1,3,21,3.99,282.3,98.56,2.35,-0.8
2020,1,3,22,3.98,296.8,98.56,2.34,-0.58
2020,1,3,23,4.53,316.3,98.56,2.2,-0.64
2020,1,4,0,5.64,331.3,98.54,2.02,-1.25
2020,1,4,1,6.39,334.2,98.56,1.91,-1.92
2020,1,4,2,7.13,334.3,98.57,1.85,-2.48
2020,1,4,3,7.82,334.7,98.55,1.81,-2.95
2020,1,4,4,8.21,334.5,98.52,1.79,-3.44
2020,1,4,5,8.47,333.0,98.5,1.76,-3.83
2020,1,4,6,8.64,331.8,98.51,1.73,-4.09
2020,1,4,7,8.78,329.1,98.58,1.69,-4.23
2020,1,4,8,8.45,327.6,98.68,1.73,-2.57
2020,1,4,9,6.84,331.1,98.75,1.83,0.68
2020,1,4,10,4.9,342.7,98.77,1.95,4.17
2020,1,4,11,3.21,18.3,98.75,1.94,6.77
2020,1,4,12,2.67,57.1,98.7,1.92,7.69
2020,1,4,13,2.64,76.9,98.65,1.95,7.6
2020,1,4,14,3.13,91.8,98.63,2.04,6.81
2020,1,4,15,3.87,107.9,98.65,2.66,4.09
2020,1,4,16,3.66,113.3,98.69,2.44,0.14
2020,1,4,17,2.62,119.0,98.75,2.13,-0.66
2020,1,4,18,1.56,137.8,98.82,2.09,-0.31
2020,1,4,19,0.87,174.1,98.86,2.04,-0.31
2020,1,4,20,0.74,220.6,98.88,2.05,-0.29
2020,1,4,21,0.59,254.3,98.89,2.03,-0.1
2020,1,4,22,0.41,265.8,98.9,2.03,0.21
2020,1,4,23,0.23,311.4,98.92,2.04,0.11
2020,1,5,0,0.67,8.6,98.93,2.05,-0.54
2020,1,5,1,1.33,19.8,98.95,2.08,-1.38
2020,1,5,2,2.0,24.8,98.94,2.09,-2.41
2020,1,5,3,2.55,29.6,98.92,2.1,-3.37
2020,1,5,4,2.81,30.4,98.94,2.13,-4.05
2020,1,5,5,3.33,27.2,98.97,2.16,-4.45
2020,1,5,6,3.82,28.0,98.98,2.19,-4.73
2020,1,5,7,3.79,30.0,99.02,2.2,-4.86
2020,1,5,8,3.82,27.6,99.08,2.28,-4.28
2020,1,5,9,3.67,22.4,99.11,2.4,-2.58
2020,1,5,10,2.81,23.5,99.12,2.36,-1.31
2020,1,5,11,2.22,37.7,99.06,2.38,-0.16
2020,1,5,12,2.34,50.5,98.94,2.35,0.59
2020,1,5,13,2.52,59.8,98.85,2.3,0.87
2020,1,5,14,2.44,66.4,98.82,2.29,0.68
2020,1,5,15,2.08,70.3,98.85,2.4,-0.09
2020,1,5,16,1.99,56.7,98.87,2.56,-1.22
2020,1,5,17,2.41,39.8,98.88,2.65,-1.92
2020,1,5,18,2.79,31.8,98.88,2.72,-2.29
2020,1,5,19,2.87,27.2,98.86,2.75,-2.71
2020,1,5,20,2.74,23.7,98.84,2.76,-3.03
2020,1,5,21,2.45,22.3,98.82,2.78,-3.12
2020,1,5,22,2.08,17.0,98.79,2.81,-3.11
2020,1,5,23,1.73,6.6,98.75,2.82,-3.15
2020,1,6,0,1.63,353.3,98.7,2.83,-3.1
2020,1,6,1,1.67,344.1,98.65,2.83,-3.01
2020,1,6,2,1.51,343.5,98.58,2.79,-2.99
2020,1,6,3,0.97,333.7,98.52,2.73,-3.04
2020,1,6,4,0.73,318.9,98.47,2.68,-3.43
2020,1,6,5,1.56,340.9,98.38,2.61,-4.29
2020,1,6,6,2.52,353.4,98.33,2.53,-5.14
2020,1,6,7,2.47,359.5,98.35,2.48,-5.24
2020,1,6,8,2.33,358.5,98.4,2.53,-4.02
2020,1,6,9,1.84,344.2,98.46,2.77,-1.31
2020,1,6,10,1.25,307.5,98.55,2.92,1.01
2020,1,6,11,1.71,330.9,98.43,2.99,2.69
2020,1,6,12,2.08,337.1,98.31,2.97,3.95
2020,1,6,13,2.81,349.3,98.21,2.94,4.71
2020,1,6,14,3.5,355.9,98.16,2.91,4.82
2020,1,6,15,3.2,4.1,98.16,3.27,3.32
2020,1,6,16,4.16,353.0,98.15,2.87,0.49
2020,1,6,17,5.61,343.2,98.18,2.53,-0.74
