-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.904   Longitude 115.235 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1110.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.51,292.0,89.65,0.84,-13.05
2020,1,1,1,2.77,293.4,89.66,0.85,-14.04
2020,1,1,2,3.13,288.6,89.67,0.86,-14.98
2020,1,1,3,3.62,282.5,89.64,0.87,-15.76
2020,1,1,4,4.1,278.8,89.61,0.87,-16.2
2020,1,1,5,4.3,276.5,89.6,0.88,-16.4
2020,1,1,6,4.24,273.8,89.61,0.88,-16.49
2020,1,1,7,4.26,271.7,89.63,0.88,-16.55
2020,1,1,8,4.22,271.5,89.67,0.95,-14.84
2020,1,1,9,3.61,274.1,89.7,1.04,-11.01
2020,1,1,10,3.29,275.1,89.72,1.13,-8.36
2020,1,1,11,3.63,267.2,89.69,1.26,-5.4
2020,1,1,12,3.55,265.3,89.61,1.41,-3.16
2020,1,1,13,3.36,268.5,89.54,1.54,-1.75
2020,1,1,14,3.09,272.4,89.52,1.67,-1.19
2020,1,1,15,2.4,276.9,89.54,1.91,-1.88
2020,1,1,16,1.57,277.7,89.58,1.75,-4.2
2020,1,1,17,1.49,262.7,89.63,1.52,-5.6
2020,1,1,18,1.89,257.5,89.66,1.49,-6.35
2020,1,1,19,2.25,263.9,89.68,1.49,-6.99
2020,1,1,20,2.59,269.1,89.69,1.49,-7.71
2020,1,1,21,3.01,269.4,89.72,1.48,-8.56
2020,1,1,22,3.47,269.0,89.75,1.46,-9.56
2020,1,1,23,3.9,272.8,89.77,1.44,-10.72
2020,1,2,0,4.32,279.2,89.78,1.41,-12.09
2020,1,2,1,4.67,287.3,89.78,1.38,-12.97
2020,1,2,2,5.08,294.8,89.8,1.36,-13.45
2020,1,2,3,5.47,298.2,89.81,1.35,-13.63
2020,1,2,4,5.44,300.5,89.82,1.34,-13.72
2020,1,2,5,5.63,298.8,89.83,1.32,-14.11
2020,1,2,6,5.82,296.3,89.86,1.29,-14.37
2020,1,2,7,5.89,294.4,89.89,1.25,-14.58
2020,1,2,8,5.76,293.5,89.93,1.21,-13.32
2020,1,2,9,5.13,291.3,89.97,1.24,-10.57
2020,1,2,10,5.27,295.6,89.99,1.16,-7.91
2020,1,2,11,4.76,300.4,89.97,1.16,-5.85
2020,1,2,12,4.23,304.9,89.92,1.19,-4.53
2020,1,2,13,3.69,307.2,89.88,1.26,-3.84
2020,1,2,14,3.1,307.1,89.85,1.36,-3.67
2020,1,2,15,2.68,296.1,89.84,1.68,-4.17
2020,1,2,16,2.99,285.9,89.84,1.7,-5.74
2020,1,2,17,3.46,285.1,89.84,1.52,-7.21
2020,1,2,18,3.79,287.0,89.86,1.41,-8.1
2020,1,2,19,3.97,291.1,89.88,1.33,-8.77
2020,1,2,20,4.08,295.7,89.9,1.27,-9.2
2020,1,2,21,4.16,301.4,89.9,1.25,-9.39
2020,1,2,22,4.23,305.3,89.89,1.23,-9.64
2020,1,2,23,4.27,303.4,89.88,1.21,-10.09
2020,1,3,0,4.38,299.1,89.87,1.2,-10.64
2020,1,3,1,4.59,295.2,89.86,1.2,-11.19
2020,1,3,2,4.93,292.6,89.86,1.21,-11.72
