-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  37.5   Longitude -119.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2125.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.41,357.6,79.15,2.41,1.75
2020,1,1,1,1.49,322.4,79.15,2.51,1.89
2020,1,1,2,1.3,344.8,79.13,2.61,2.02
2020,1,1,3,1.25,355.4,79.1,2.7,2.5
2020,1,1,4,0.94,345.8,79.05,2.69,2.93
2020,1,1,5,0.87,323.9,79.01,2.59,2.94
2020,1,1,6,1.69,311.2,79.04,2.54,2.1
2020,1,1,7,1.77,318.7,79.06,2.69,1.97
2020,1,1,8,1.32,321.5,79.06,3.64,2.99
2020,1,1,9,1.92,291.7,79.02,4.63,5.21
2020,1,1,10,3.71,289.0,79.04,4.59,5.45
2020,1,1,11,3.38,291.7,78.97,4.98,4.56
2020,1,1,12,3.61,313.7,78.91,5.31,4.49
2020,1,1,13,3.33,319.5,78.82,5.64,4.99
2020,1,1,14,3.45,316.6,78.79,5.74,4.93
2020,1,1,15,3.07,320.0,78.78,5.7,4.08
2020,1,1,16,3.21,338.5,78.82,5.28,1.19
2020,1,1,17,3.33,7.6,78.8,4.85,-0.76
2020,1,1,18,3.86,21.1,78.8,4.53,-1.85
2020,1,1,19,4.14,22.6,78.82,4.04,-3.1
2020,1,1,20,4.42,27.9,78.84,3.62,-3.77
2020,1,1,21,4.88,32.9,78.83,3.22,-4.54
2020,1,1,22,5.48,33.5,78.8,2.95,-5.01
2020,1,1,23,5.9,29.3,78.77,2.82,-4.95
2020,1,2,0,5.92,32.6,78.75,2.75,-4.54
2020,1,2,1,6.06,39.2,78.73,2.58,-4.73
2020,1,2,2,6.28,41.6,78.74,2.56,-4.45
2020,1,2,3,6.45,44.0,78.73,2.61,-4.17
2020,1,2,4,6.51,46.1,78.72,2.68,-3.71
2020,1,2,5,6.61,46.0,78.75,2.71,-3.36
2020,1,2,6,6.55,48.6,78.77,2.7,-3.19
2020,1,2,7,6.31,49.7,78.83,2.71,-3.0
2020,1,2,8,5.69,51.6,78.9,2.96,-0.84
2020,1,2,9,4.54,46.6,78.94,3.49,2.35
2020,1,2,10,4.2,33.7,78.97,4.04,5.08
2020,1,2,11,3.95,19.8,78.93,4.24,6.7
2020,1,2,12,3.64,11.9,78.88,4.38,7.44
2020,1,2,13,3.25,8.3,78.86,4.52,7.43
2020,1,2,14,2.82,13.9,78.88,4.71,6.77
2020,1,2,15,2.35,33.4,78.92,5.14,5.0
2020,1,2,16,3.16,51.0,78.98,4.76,1.01
2020,1,2,17,4.75,57.6,79.04,4.33,-0.81
2020,1,2,18,5.31,57.5,79.09,4.22,-0.16
2020,1,2,19,5.3,57.2,79.15,4.05,-0.19
2020,1,2,20,5.37,56.5,79.23,3.94,-0.26
2020,1,2,21,5.44,57.9,79.28,3.86,-0.19
2020,1,2,22,5.44,60.2,79.31,3.83,-0.19
2020,1,2,23,5.48,62.6,79.32,3.81,-0.22
2020,1,3,0,5.66,63.9,79.33,3.76,-0.37
2020,1,3,1,5.9,64.5,79.35,3.67,-0.4
2020,1,3,2,6.08,65.0,79.36,3.53,-0.3
2020,1,3,3,6.22,68.0,79.36,3.16,-0.41
2020,1,3,4,6.25,72.4,79.35,2.62,-0.71
2020,1,3,5,6.17,75.7,79.38,2.21,-1.05
2020,1,3,6,6.01,79.8,79.45,2.04,-1.72
2020,1,3,7,5.91,84.6,79.5,2.13,-2.19
2020,1,3,8,4.88,95.3,79.56,2.75,1.81
2020,1,3,9,3.38,121.4,79.62,3.17,5.54
2020,1,3,10,3.31,157.8,79.65,3.39,7.77
2020,1,3,11,4.52,181.4,79.62,3.63,8.98
2020,1,3,12,5.27,188.4,79.59,3.87,8.99
2020,1,3,13,4.95,189.2,79.58,3.94,8.45
2020,1,3,14,4.19,187.7,79.6,3.93,7.5
2020,1,3,15,3.66,176.6,79.63,4.55,5.13
2020,1,3,16,3.84,168.3,79.66,3.83,0.98
2020,1,3,17,4.0,171.7,79.69,3.19,-0.45
2020,1,3,18,4.14,179.4,79.73,3.03,-0.65
2020,1,3,19,4.24,185.7,79.77,3.09,-0.8
2020,1,3,20,4.12,184.6,79.8,3.25,-1.14
2020,1,3,21,4.08,178.7,79.83,3.37,-1.51
2020,1,3,22,4.16,172.8,79.83,3.37,-1.81
2020,1,3,23,4.11,170.5,79.8,3.15,-2.54
2020,1,4,0,3.74,167.2,79.77,2.81,-3.3
2020,1,4,1,3.73,167.6,79.76,2.46,-4.03
2020,1,4,2,4.11,177.1,79.75,2.18,-4.55
2020,1,4,3,4.04,183.8,79.74,1.97,-5.05
2020,1,4,4,3.59,185.6,79.72,1.82,-5.57
2020,1,4,5,3.17,180.5,79.72,1.72,-5.68
2020,1,4,6,2.67,179.1,79.73,1.62,-5.53
2020,1,4,7,2.04,181.1,79.77,1.63,-4.63
2020,1,4,8,1.15,179.5,79.82,2.61,-1.47
2020,1,4,9,1.48,227.5,79.86,2.06,1.93
2020,1,4,10,2.14,256.2,79.85,2.29,4.01
2020,1,4,11,2.32,262.6,79.78,2.51,5.22
2020,1,4,12,2.26,259.5,79.69,2.74,5.58
2020,1,4,13,2.03,254.9,79.63,3.02,5.47
2020,1,4,14,1.63,261.2,79.63,3.34,4.72
2020,1,4,15,1.04,285.6,79.66,3.99,3.31
2020,1,4,16,0.99,22.7,79.67,3.81,1.67
2020,1,4,17,2.22,64.4,79.69,3.64,-0.12
2020,1,4,18,2.65,83.9,79.71,3.39,-0.69
2020,1,4,19,2.43,110.0,79.7,3.03,-0.19
2020,1,4,20,2.38,147.2,79.71,2.69,-0.3
2020,1,4,21,2.46,178.4,79.73,2.61,-0.93
2020,1,4,22,2.3,201.7,79.77,2.59,-1.97
2020,1,4,23,1.82,211.5,79.8,2.59,-2.85
2020,1,5,0,1.12,197.6,79.8,2.73,-3.24
2020,1,5,1,1.22,168.1,79.78,2.64,-3.52
2020,1,5,2,1.75,168.1,79.75,2.27,-4.08
2020,1,5,3,2.11,185.7,79.72,2.17,-4.84
2020,1,5,4,2.08,210.6,79.72,2.28,-5.37
2020,1,5,5,1.27,222.8,79.74,2.45,-5.13
2020,1,5,6,0.44,159.9,79.73,2.35,-4.48
2020,1,5,7,0.67,84.9,79.7,2.09,-4.12
2020,1,5,8,1.63,50.5,79.74,2.45,-2.87
2020,1,5,9,2.17,17.4,79.78,1.88,-0.09
2020,1,5,10,2.78,356.1,79.78,1.57,2.35
2020,1,5,11,2.8,341.7,79.74,1.57,4.02
2020,1,5,12,2.85,326.8,79.68,1.73,4.85
2020,1,5,13,3.06,313.8,79.67,2.12,4.9
2020,1,5,14,3.27,309.5,79.69,2.55,4.33
2020,1,5,15,2.55,317.5,79.7,3.11,2.96
2020,1,5,16,2.49,353.5,79.73,3.48,-0.53
2020,1,5,17,4.56,36.6,79.76,3.12,-3.88
2020,1,5,18,6.35,53.4,79.76,2.74,-3.94
2020,1,5,19,6.35,55.7,79.79,2.3,-2.58
2020,1,5,20,6.25,56.6,79.81,2.12,-2.92
2020,1,5,21,6.3,57.2,79.84,2.06,-3.35
2020,1,5,22,6.38,57.6,79.86,2.04,-3.61
2020,1,5,23,6.44,58.7,79.86,2.0,-3.77
2020,1,6,0,6.4,59.4,79.83,1.9,-3.88
2020,1,6,1,6.24,59.9,79.83,1.74,-3.8
2020,1,6,2,5.88,58.6,79.83,1.62,-3.86
2020,1,6,3,5.81,58.8,79.83,1.65,-4.65
2020,1,6,4,6.12,58.7,79.83,1.72,-5.53
2020,1,6,5,6.24,57.6,79.85,1.78,-6.0
2020,1,6,6,6.12,57.4,79.87,1.83,-6.07
2020,1,6,7,5.95,59.9,79.89,1.95,-4.97
2020,1,6,8,4.94,64.3,79.93,2.29,-0.18
2020,1,6,9,3.32,73.0,79.95,2.53,3.37
2020,1,6,10,2.1,106.3,79.95,2.74,6.51
2020,1,6,11,2.06,170.8,79.89,2.79,8.48
2020,1,6,12,2.63,200.7,79.83,2.92,8.97
2020,1,6,13,2.68,214.0,79.79,3.06,8.78
2020,1,6,14,2.28,219.1,79.77,3.26,7.88
2020,1,6,15,1.57,221.6,79.77,4.12,5.77
2020,1,6,16,0.56,129.9,79.77,3.37,3.84
2020,1,6,17,2.31,88.3,79.78,3.2,1.54
2020,1,6,18,3.17,94.3,79.78,3.27,0.26
2020,1,6,19,3.35,100.7,79.78,3.23,-0.07
2020,1,6,20,3.2,105.6,79.77,3.1,0.04
2020,1,6,21,2.99,107.3,79.77,2.84,0.0
2020,1,6,22,2.81,107.4,79.76,2.6,-0.03
2020,1,6,23,2.7,107.4,79.73,2.4,-0.13
2020,1,7,0,2.67,108.1,79.69,2.25,-0.29
2020,1,7,1,2.79,108.8,79.66,2.17,-0.41
2020,1,7,2,2.74,113.9,79.62,2.09,-0.27
2020,1,7,3,2.59,125.7,79.56,2.04,0.07
2020,1,7,4,2.43,141.3,79.51,2.0,0.2
2020,1,7,5,2.32,154.2,79.49,1.96,0.16
2020,1,7,6,2.33,161.7,79.46,1.93,-0.04
2020,1,7,7,2.35,160.6,79.44,2.04,-0.15
2020,1,7,8,2.46,157.5,79.45,3.13,1.07
2020,1,7,9,2.49,170.8,79.45,3.42,4.7
2020,1,7,10,3.52,191.0,79.42,2.78,7.06
2020,1,7,11,4.58,198.2,79.34,2.77,8.34
2020,1,7,12,5.22,203.2,79.24,2.89,8.55
2020,1,7,13,5.34,203.3,79.17,3.05,7.81
2020,1,7,14,4.96,203.9,79.12,3.29,6.49
2020,1,7,15,4.08,200.5,79.1,3.89,4.52
2020,1,7,16,4.08,187.3,79.1,3.85,1.7
2020,1,7,17,4.59,186.5,79.1,3.48,-0.53
2020,1,7,18,4.78,184.1,79.08,3.1,-0.3
2020,1,7,19,4.61,177.5,79.03,2.91,-0.9
2020,1,7,20,4.41,183.5,78.97,2.79,-1.3
2020,1,7,21,4.25,198.0,78.93,2.81,-1.75
2020,1,7,22,3.71,203.7,78.86,2.97,-2.67
2020,1,7,23,3.09,198.9,78.79,3.11,-3.96
2020,1,8,0,2.71,203.7,78.74,3.18,-4.3
2020,1,8,1,2.77,212.5,78.74,3.21,-4.37
2020,1,8,2,2.79,224.1,78.73,3.23,-4.32
2020,1,8,3,2.13,239.2,78.68,3.2,-4.87
2020,1,8,4,1.48,268.5,78.62,3.16,-5.68
2020,1,8,5,1.5,340.1,78.62,3.06,-5.99
2020,1,8,6,2.44,26.3,78.62,2.87,-7.04
2020,1,8,7,3.18,38.5,78.62,2.72,-7.5
2020,1,8,8,2.56,32.9,78.64,2.65,-4.05
2020,1,8,9,2.32,354.8,78.67,2.23,-0.91
2020,1,8,10,2.44,315.5,78.65,2.08,1.34
2020,1,8,11,2.49,287.1,78.59,2.14,1.11
2020,1,8,12,3.08,274.7,78.55,2.38,1.2
2020,1,8,13,3.14,270.7,78.51,2.58,1.82
2020,1,8,14,3.51,272.6,78.49,2.77,1.21
2020,1,8,15,3.32,274.8,78.52,3.12,-0.5
2020,1,8,16,2.67,278.0,78.54,3.45,-2.9
2020,1,8,17,1.41,300.8,78.55,3.51,-4.17
2020,1,8,18,0.96,351.0,78.54,3.41,-4.71
2020,1,8,19,1.02,3.9,78.54,3.3,-4.84
2020,1,8,20,0.95,339.7,78.56,3.21,-4.71
2020,1,8,21,0.39,25.9,78.52,3.1,-4.5
2020,1,8,22,0.41,297.8,78.49,3.01,-4.79
2020,1,8,23,0.82,284.0,78.45,2.9,-5.64
2020,1,9,0,0.39,295.9,78.41,2.76,-6.04
2020,1,9,1,0.89,311.8,78.41,2.72,-6.5
2020,1,9,2,1.56,308.0,78.42,2.78,-7.04
2020,1,9,3,0.92,291.0,78.38,2.83,-6.46
2020,1,9,4,1.5,244.3,78.33,2.82,-6.73
2020,1,9,5,2.48,231.6,78.32,2.83,-7.4
2020,1,9,6,2.21,226.1,78.33,2.82,-7.62
2020,1,9,7,1.63,153.0,78.3,2.85,-6.73
2020,1,9,8,2.44,131.0,78.28,2.92,-4.91
2020,1,9,9,1.84,170.3,78.31,2.98,-3.17
2020,1,9,10,1.74,222.7,78.37,3.0,-2.12
2020,1,9,11,1.7,255.0,78.35,3.05,-0.47
2020,1,9,12,1.57,305.9,78.3,2.97,0.92
2020,1,9,13,2.42,341.4,78.32,2.88,1.47
2020,1,9,14,3.15,356.4,78.4,2.84,1.0
2020,1,9,15,3.08,19.1,78.44,2.92,-0.24
2020,1,9,16,3.48,32.5,78.53,2.9,-3.02
2020,1,9,17,4.51,41.0,78.64,2.83,-5.36
2020,1,9,18,5.52,48.2,78.7,2.69,-6.07
2020,1,9,19,5.92,50.2,78.72,2.52,-6.37
2020,1,9,20,6.12,53.2,78.76,2.35,-6.79
2020,1,9,21,5.83,55.8,78.81,2.12,-7.08
2020,1,9,22,5.28,58.1,78.86,1.77,-7.25
2020,1,9,23,4.82,60.0,78.88,1.47,-8.19
2020,1,10,0,3.99,63.7,78.9,1.36,-8.47
2020,1,10,1,3.36,62.0,78.93,1.32,-7.78
2020,1,10,2,3.31,57.2,78.97,1.24,-7.49
2020,1,10,3,3.56,56.4,78.99,1.2,-7.72
2020,1,10,4,3.68,61.1,79.01,1.18,-7.71
2020,1,10,5,3.51,66.3,79.06,1.14,-7.12
2020,1,10,6,3.11,70.6,79.11,1.07,-6.02
2020,1,10,7,2.73,73.0,79.17,1.17,-4.95
2020,1,10,8,2.68,71.5,79.24,2.22,-2.5
2020,1,10,9,1.79,60.6,79.31,1.55,1.56
2020,1,10,10,2.19,352.9,79.33,2.09,4.84
2020,1,10,11,2.45,345.9,79.29,2.93,6.57
2020,1,10,12,2.13,339.7,79.24,3.37,7.5
2020,1,10,13,1.78,309.1,79.21,3.58,7.63
