-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  37.5   Longitude -118.366 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1975.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.97,291.3,80.29,2.08,-0.53
2020,1,1,1,3.8,289.9,80.25,2.21,-0.17
2020,1,1,2,3.95,290.9,80.23,2.32,-0.17
2020,1,1,3,3.87,288.1,80.18,2.44,0.2
2020,1,1,4,3.89,286.4,80.16,2.59,0.78
2020,1,1,5,3.44,282.3,80.11,2.59,1.33
2020,1,1,6,3.36,279.9,80.1,2.57,1.45
2020,1,1,7,3.58,276.6,80.13,2.67,1.68
2020,1,1,8,3.86,266.7,80.12,3.17,3.31
2020,1,1,9,3.87,265.1,80.09,3.18,6.88
2020,1,1,10,3.7,277.0,80.04,3.15,8.52
2020,1,1,11,4.42,288.5,79.97,3.64,8.04
2020,1,1,12,5.32,309.0,79.92,4.09,8.66
2020,1,1,13,5.21,315.5,79.85,4.87,7.73
2020,1,1,14,6.01,318.8,79.84,5.16,6.83
2020,1,1,15,6.81,320.5,79.83,4.81,4.59
2020,1,1,16,8.36,321.5,79.86,4.14,1.9
2020,1,1,17,9.66,320.4,79.86,3.6,1.15
2020,1,1,18,10.98,324.3,79.89,3.3,1.05
2020,1,1,19,11.56,328.9,79.93,3.12,0.8
2020,1,1,20,11.69,330.3,79.98,3.1,0.51
2020,1,1,21,10.89,329.1,79.99,3.16,-0.16
2020,1,1,22,9.78,326.8,79.97,3.17,-0.84
2020,1,1,23,8.83,324.6,79.93,3.15,-1.54
2020,1,2,0,8.43,323.6,79.93,3.12,-1.77
2020,1,2,1,7.69,324.6,79.95,3.12,-2.14
2020,1,2,2,7.36,323.5,79.98,3.12,-2.43
2020,1,2,3,7.39,320.9,79.99,3.1,-2.58
2020,1,2,4,7.19,321.5,79.99,3.03,-2.73
2020,1,2,5,7.09,324.2,80.05,2.97,-2.78
2020,1,2,6,6.39,322.6,80.09,2.91,-3.06
2020,1,2,7,5.9,311.9,80.12,2.85,-2.47
