-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  38.136   Longitude -118.698 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2246.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.82,267.4,77.75,2.45,-0.88
2020,1,1,1,5.4,270.4,77.72,2.68,-1.26
2020,1,1,2,5.51,276.4,77.71,2.89,-1.24
2020,1,1,3,5.51,275.8,77.67,2.95,-1.07
2020,1,1,4,5.41,271.0,77.63,2.88,-1.03
2020,1,1,5,5.38,268.4,77.6,2.76,-1.02
2020,1,1,6,6.09,272.4,77.62,2.65,-1.29
2020,1,1,7,6.75,270.8,77.62,2.66,-0.71
2020,1,1,8,7.31,271.6,77.63,2.93,2.13
2020,1,1,9,6.51,262.0,77.57,2.99,4.81
2020,1,1,10,6.55,270.8,77.6,3.59,5.25
2020,1,1,11,7.18,279.4,77.51,4.6,5.02
2020,1,1,12,7.7,290.3,77.47,5.26,5.38
2020,1,1,13,7.46,294.4,77.39,5.35,5.16
2020,1,1,14,7.76,299.1,77.39,5.05,4.5
2020,1,1,15,8.45,302.8,77.37,4.52,3.13
2020,1,1,16,9.66,306.9,77.4,3.89,1.01
2020,1,1,17,10.42,311.8,77.4,3.65,0.4
2020,1,1,18,10.63,319.5,77.42,3.44,-0.59
2020,1,1,19,10.59,325.2,77.47,3.24,-1.28
2020,1,1,20,10.04,328.5,77.51,3.05,-1.94
2020,1,1,21,9.16,329.1,77.52,2.93,-2.73
2020,1,1,22,8.47,327.3,77.5,2.93,-3.06
2020,1,1,23,7.94,325.6,77.47,2.91,-3.59
2020,1,2,0,6.51,320.2,77.47,2.91,-3.94
2020,1,2,1,4.97,313.5,77.47,2.91,-4.21
2020,1,2,2,4.74,312.8,77.5,2.91,-4.37
2020,1,2,3,4.47,308.1,77.48,2.89,-4.48
2020,1,2,4,4.48,310.5,77.48,2.81,-4.65
2020,1,2,5,4.28,318.0,77.53,2.75,-5.03
2020,1,2,6,3.58,311.3,77.56,2.74,-5.21
2020,1,2,7,3.77,289.8,77.6,2.66,-5.13
2020,1,2,8,4.07,272.8,77.65,2.74,-2.11
2020,1,2,9,4.4,293.7,77.68,2.67,0.74
2020,1,2,10,5.15,319.2,77.7,2.85,3.01
2020,1,2,11,5.66,325.7,77.64,3.13,4.41
2020,1,2,12,6.14,330.3,77.6,3.36,5.13
2020,1,2,13,6.11,331.3,77.59,3.51,5.17
2020,1,2,14,5.71,330.7,77.61,3.66,4.59
2020,1,2,15,4.4,330.6,77.66,3.9,2.85
2020,1,2,16,3.58,325.1,77.73,3.61,-0.67
2020,1,2,17,2.96,316.1,77.8,3.54,-1.31
2020,1,2,18,2.59,299.8,77.85,3.55,-1.26
2020,1,2,19,2.6,278.8,77.91,3.55,-0.94
2020,1,2,20,2.81,275.5,77.98,3.55,-0.57
2020,1,2,21,2.72,284.0,78.04,3.55,-0.3
2020,1,2,22,2.35,291.8,78.07,3.56,0.06
2020,1,2,23,2.2,292.5,78.08,3.58,0.11
2020,1,3,0,2.11,284.2,78.09,3.6,0.07
2020,1,3,1,1.9,272.4,78.12,3.61,0.02
2020,1,3,2,2.02,250.9,78.14,3.59,-0.31
2020,1,3,3,2.54,234.1,78.13,3.48,-0.73
2020,1,3,4,3.24,221.1,78.11,3.15,-1.23
2020,1,3,5,3.73,220.0,78.14,2.61,-1.46
2020,1,3,6,3.86,222.0,78.19,2.09,-1.43
2020,1,3,7,3.81,218.3,78.23,1.82,-1.16
2020,1,3,8,4.03,213.5,78.28,2.24,1.12
2020,1,3,9,4.02,209.7,78.31,2.32,4.33
2020,1,3,10,3.74,207.5,78.29,2.18,6.23
2020,1,3,11,3.99,203.2,78.22,2.37,8.17
2020,1,3,12,4.78,208.8,78.15,2.45,9.34
2020,1,3,13,5.25,218.8,78.12,2.75,9.43
