-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  38.136   Longitude -120.302 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1544.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,0.66,285.9,85.0,3.19,5.48
2020,1,1,1,0.67,321.1,85.0,3.14,4.68
2020,1,1,2,1.2,64.3,84.94,3.19,4.76
2020,1,1,3,0.56,39.9,84.93,3.24,5.77
2020,1,1,4,0.31,232.8,84.87,3.26,6.22
2020,1,1,5,1.02,266.1,84.85,3.29,5.81
2020,1,1,6,1.59,314.7,84.9,3.52,4.6
2020,1,1,7,1.16,346.1,84.9,3.62,4.65
2020,1,1,8,0.96,333.4,84.92,4.67,5.74
2020,1,1,9,2.12,290.1,84.89,5.22,7.71
2020,1,1,10,3.01,306.1,84.95,5.36,6.95
2020,1,1,11,2.67,324.5,84.86,5.59,6.9
2020,1,1,12,2.91,323.2,84.75,6.01,8.07
2020,1,1,13,3.54,310.3,84.67,6.29,8.77
2020,1,1,14,4.12,310.6,84.64,6.32,8.31
2020,1,1,15,4.45,312.9,84.64,6.33,6.82
2020,1,1,16,4.93,326.9,84.65,5.89,2.98
2020,1,1,17,5.03,349.9,84.61,5.64,1.63
2020,1,1,18,5.62,2.9,84.62,5.32,1.06
2020,1,1,19,6.08,8.3,84.65,4.79,0.31
2020,1,1,20,5.97,14.8,84.66,4.32,-0.07
2020,1,1,21,5.77,16.9,84.66,3.96,-0.02
2020,1,1,22,5.34,19.7,84.64,3.77,0.25
2020,1,1,23,5.17,22.4,84.61,3.74,0.71
2020,1,2,0,5.19,24.8,84.6,3.61,0.52
2020,1,2,1,5.2,34.2,84.58,3.27,-0.72
2020,1,2,2,5.92,37.7,84.59,3.07,-1.0
2020,1,2,3,6.19,45.8,84.57,2.84,-0.34
2020,1,2,4,6.47,51.2,84.54,2.75,-0.61
