-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  38.399   Longitude -119.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2233.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.85,257.4,77.99,3.27,-0.57
2020,1,1,1,4.52,260.7,77.98,3.19,-1.71
2020,1,1,2,4.1,256.0,77.94,3.08,-0.6
2020,1,1,3,4.59,257.9,77.91,2.78,-0.98
2020,1,1,4,4.98,254.7,77.84,2.48,-1.23
2020,1,1,5,5.31,258.8,77.82,2.37,-1.23
2020,1,1,6,6.44,268.5,77.87,2.33,-1.05
2020,1,1,7,6.9,261.1,77.84,2.41,-0.59
2020,1,1,8,6.8,254.1,77.85,3.01,1.59
2020,1,1,9,7.06,255.1,77.8,4.01,3.47
2020,1,1,10,7.13,267.4,77.86,5.06,3.41
2020,1,1,11,6.43,275.2,77.81,5.52,3.81
2020,1,1,12,6.77,284.1,77.75,5.68,4.29
2020,1,1,13,6.61,289.9,77.69,5.31,4.11
2020,1,1,14,7.0,295.1,77.68,4.79,3.67
2020,1,1,15,8.12,302.0,77.69,4.35,2.87
2020,1,1,16,8.64,305.8,77.72,4.19,1.19
2020,1,1,17,8.27,312.0,77.72,4.04,0.21
2020,1,1,18,8.02,322.3,77.75,3.64,-1.15
2020,1,1,19,7.7,330.6,77.79,3.21,-1.92
2020,1,1,20,6.93,338.0,77.79,2.89,-2.57
2020,1,1,21,6.52,344.3,77.79,2.82,-1.88
2020,1,1,22,6.2,347.5,77.76,2.73,-1.55
2020,1,1,23,5.66,349.5,77.75,2.66,-1.96
2020,1,2,0,4.67,353.4,77.74,2.62,-2.48
2020,1,2,1,3.42,2.0,77.74,2.54,-3.35
2020,1,2,2,2.7,6.2,77.77,2.59,-3.61
2020,1,2,3,2.11,1.9,77.76,2.6,-3.66
2020,1,2,4,1.88,9.5,77.76,2.59,-3.61
2020,1,2,5,1.87,27.4,77.79,2.6,-3.78
2020,1,2,6,1.2,40.6,77.81,2.62,-3.55
2020,1,2,7,0.2,333.4,77.86,2.51,-3.34
2020,1,2,8,0.95,232.3,77.9,2.67,-1.56
2020,1,2,9,1.53,309.9,77.95,2.75,1.31
2020,1,2,10,3.33,337.4,77.96,3.08,3.49
2020,1,2,11,4.26,339.8,77.92,3.34,4.86
2020,1,2,12,4.77,340.9,77.89,3.5,5.43
2020,1,2,13,4.89,341.3,77.88,3.61,5.33
2020,1,2,14,4.27,344.9,77.89,3.69,4.73
2020,1,2,15,3.49,355.6,77.94,3.87,2.91
2020,1,2,16,2.78,8.3,78.0,3.48,-0.14
2020,1,2,17,1.79,22.7,78.06,3.36,-0.51
2020,1,2,18,0.71,36.4,78.11,3.36,-0.33
2020,1,2,19,0.1,323.1,78.17,3.37,-0.4
2020,1,2,20,0.39,314.0,78.23,3.42,-0.52
2020,1,2,21,0.68,13.6,78.29,3.46,-0.04
2020,1,2,22,1.09,37.2,78.32,3.49,-0.11
2020,1,2,23,1.2,54.2,78.32,3.52,-0.01
2020,1,3,0,1.27,78.7,78.32,3.52,0.1
2020,1,3,1,1.51,104.6,78.33,3.32,-0.18
2020,1,3,2,1.8,128.9,78.34,2.74,-0.88
2020,1,3,3,2.39,145.2,78.31,2.08,-1.47
2020,1,3,4,2.84,154.2,78.28,1.74,-1.88
2020,1,3,5,2.99,159.6,78.3,1.62,-1.75
2020,1,3,6,3.17,161.2,78.33,1.63,-1.67
2020,1,3,7,3.54,161.2,78.35,1.74,-1.7
2020,1,3,8,3.87,163.6,78.37,2.3,0.21
2020,1,3,9,3.87,167.8,78.4,2.79,3.99
2020,1,3,10,3.45,174.2,78.39,2.53,6.38
2020,1,3,11,3.56,180.5,78.32,2.77,7.84
2020,1,3,12,4.37,196.2,78.24,2.79,9.17
2020,1,3,13,4.58,208.6,78.22,3.01,9.39
2020,1,3,14,3.98,210.4,78.23,3.66,8.16
2020,1,3,15,4.05,208.3,78.24,3.91,4.62
2020,1,3,16,4.72,211.0,78.24,3.61,1.21
2020,1,3,17,5.79,214.0,78.23,3.48,-0.67
2020,1,3,18,6.93,215.8,78.22,3.17,-1.6
2020,1,3,19,7.94,216.9,78.2,2.66,-1.99
2020,1,3,20,8.54,218.0,78.19,2.51,-1.97
2020,1,3,21,8.85,218.8,78.17,2.67,-1.99
2020,1,3,22,9.37,219.7,78.13,2.89,-1.86
2020,1,3,23,9.95,222.3,78.07,3.07,-1.76
