-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  36.864   Longitude -118.698 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2525.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.34,339.5,75.22,1.77,-1.79
2020,1,1,1,2.69,307.0,75.22,1.94,-2.07
2020,1,1,2,2.97,302.1,75.21,2.06,-2.47
2020,1,1,3,2.86,309.0,75.17,2.17,-1.79
2020,1,1,4,3.05,311.4,75.16,2.31,-1.43
2020,1,1,5,2.75,309.5,75.11,2.29,-0.37
2020,1,1,6,3.03,304.4,75.1,2.23,-0.76
2020,1,1,7,3.05,300.9,75.14,2.29,-0.75
2020,1,1,8,2.88,294.9,75.15,2.69,0.18
2020,1,1,9,3.22,295.5,75.16,4.0,2.72
2020,1,1,10,4.17,293.6,75.1,3.79,4.47
2020,1,1,11,4.13,287.0,75.07,4.18,3.81
2020,1,1,12,4.32,289.6,74.99,4.63,3.25
2020,1,1,13,3.83,292.1,74.94,5.13,2.88
2020,1,1,14,4.03,293.7,74.91,5.41,2.98
2020,1,1,15,3.85,292.8,74.88,5.4,1.99
2020,1,1,16,4.05,302.7,74.9,4.92,-0.12
2020,1,1,17,3.97,324.4,74.9,4.36,-1.29
2020,1,1,18,5.18,344.5,74.88,3.78,-2.69
2020,1,1,19,6.0,348.7,74.89,3.19,-3.52
2020,1,1,20,6.25,351.3,74.91,2.74,-4.1
2020,1,1,21,6.24,356.2,74.9,2.5,-4.58
2020,1,1,22,6.09,358.5,74.88,2.34,-5.14
2020,1,1,23,5.68,359.0,74.83,2.18,-5.41
2020,1,2,0,5.32,1.3,74.81,2.1,-5.76
2020,1,2,1,4.47,13.7,74.81,2.0,-6.17
2020,1,2,2,3.92,30.0,74.79,1.91,-6.91
2020,1,2,3,4.27,35.2,74.8,1.91,-8.04
2020,1,2,4,4.36,38.9,74.79,1.92,-8.76
2020,1,2,5,4.69,41.4,74.82,1.93,-9.36
