-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  36.864   Longitude -120.302 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 195.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.74,307.0,99.77,4.33,6.85
2020,1,1,1,3.94,315.9,99.79,4.31,6.26
2020,1,1,2,3.29,317.3,99.75,4.26,6.38
2020,1,1,3,2.44,305.3,99.7,4.27,7.65
2020,1,1,4,1.68,285.2,99.63,4.32,7.93
2020,1,1,5,2.02,278.2,99.59,4.29,6.95
2020,1,1,6,3.12,299.4,99.64,4.4,5.63
2020,1,1,7,3.83,313.6,99.7,4.65,5.94
2020,1,1,8,2.77,307.5,99.72,5.24,7.88
2020,1,1,9,1.78,300.5,99.71,5.22,10.6
2020,1,1,10,2.95,292.9,99.71,5.35,12.82
2020,1,1,11,3.33,301.7,99.62,5.54,13.74
2020,1,1,12,4.12,313.6,99.53,5.83,14.22
2020,1,1,13,4.37,304.5,99.39,6.15,15.18
2020,1,1,14,5.44,296.8,99.34,6.45,15.4
2020,1,1,15,6.08,291.0,99.33,6.8,14.49
2020,1,1,16,6.48,295.8,99.38,7.02,11.05
2020,1,1,17,6.38,303.7,99.37,7.07,9.47
2020,1,1,18,5.88,307.7,99.38,7.28,8.6
2020,1,1,19,5.97,308.3,99.43,7.43,8.23
2020,1,1,20,6.02,308.8,99.46,7.4,7.74
2020,1,1,21,5.79,307.8,99.46,7.21,7.33
2020,1,1,22,5.58,310.3,99.43,6.97,7.37
2020,1,1,23,5.46,311.1,99.39,6.66,7.47
2020,1,2,0,5.28,313.2,99.34,6.33,7.76
2020,1,2,1,5.33,310.5,99.32,6.04,7.65
2020,1,2,2,5.75,316.1,99.34,5.81,6.86
2020,1,2,3,5.49,323.3,99.33,5.6,6.45
2020,1,2,4,4.97,326.7,99.29,5.46,6.11
2020,1,2,5,4.86,329.3,99.3,5.4,5.63
2020,1,2,6,4.37,332.2,99.35,5.32,5.48
2020,1,2,7,3.7,333.9,99.41,5.28,5.6
2020,1,2,8,2.68,332.7,99.49,5.79,7.93
2020,1,2,9,2.9,305.9,99.53,6.04,10.11
2020,1,2,10,4.26,295.6,99.55,5.75,12.9
2020,1,2,11,5.56,297.4,99.49,5.59,14.31
2020,1,2,12,6.54,302.1,99.41,5.58,15.04
2020,1,2,13,7.11,303.9,99.37,5.67,15.31
2020,1,2,14,6.75,303.5,99.37,5.83,15.07
2020,1,2,15,6.02,292.9,99.41,6.07,14.01
2020,1,2,16,5.59,281.5,99.49,6.3,10.43
2020,1,2,17,4.44,282.8,99.58,6.09,8.37
