-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  36.601   Longitude -119.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 249.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.15,268.0,99.09,4.46,8.38
2020,1,1,1,0.71,346.9,99.15,4.5,8.25
2020,1,1,2,1.11,57.2,99.12,4.5,7.36
2020,1,1,3,1.72,85.0,99.06,4.43,6.92
2020,1,1,4,1.67,94.8,99.02,4.38,7.28
2020,1,1,5,1.97,117.5,98.93,4.28,6.68
2020,1,1,6,0.76,135.5,98.96,4.23,6.46
2020,1,1,7,0.74,77.5,99.01,4.52,6.58
2020,1,1,8,1.3,94.8,99.07,5.12,7.75
2020,1,1,9,1.21,91.4,99.08,5.02,10.6
2020,1,1,10,0.22,174.8,99.0,5.17,12.56
2020,1,1,11,1.19,313.0,98.95,5.41,13.61
2020,1,1,12,2.25,316.8,98.84,5.6,14.34
2020,1,1,13,2.75,314.9,98.75,5.76,15.12
2020,1,1,14,3.48,299.8,98.69,5.99,15.48
2020,1,1,15,3.96,288.8,98.69,6.28,14.55
2020,1,1,16,4.06,289.4,98.75,6.43,10.86
2020,1,1,17,2.84,310.9,98.77,6.27,10.3
2020,1,1,18,1.88,335.2,98.78,6.28,10.25
2020,1,1,19,1.49,335.8,98.79,6.38,10.08
2020,1,1,20,1.78,323.5,98.81,6.52,9.7
2020,1,1,21,2.21,316.1,98.79,6.68,8.98
2020,1,1,22,2.75,319.4,98.76,6.77,8.02
2020,1,1,23,2.91,324.8,98.71,6.62,7.8
2020,1,2,0,2.86,332.1,98.67,6.25,7.54
2020,1,2,1,2.8,335.1,98.66,5.96,7.47
2020,1,2,2,2.82,328.2,98.65,5.72,7.14
2020,1,2,3,3.07,325.1,98.68,5.53,6.58
2020,1,2,4,2.11,327.0,98.66,5.38,6.44
2020,1,2,5,1.38,335.1,98.68,5.3,6.31
2020,1,2,6,0.87,352.7,98.72,5.25,6.01
2020,1,2,7,0.43,0.0,98.79,5.33,5.98
2020,1,2,8,0.53,54.2,98.88,5.8,8.8
2020,1,2,9,0.16,108.4,98.92,5.76,11.14
2020,1,2,10,0.82,250.0,98.92,5.87,13.19
2020,1,2,11,1.86,275.2,98.86,5.8,14.43
2020,1,2,12,2.8,285.1,98.78,5.86,15.12
2020,1,2,13,3.41,289.7,98.74,5.88,15.4
2020,1,2,14,3.53,291.8,98.77,5.97,15.02
2020,1,2,15,3.26,286.2,98.82,6.13,13.86
2020,1,2,16,3.53,284.8,98.89,6.35,10.58
2020,1,2,17,2.82,304.6,98.97,6.0,9.16
2020,1,2,18,1.76,328.0,99.02,5.98,8.9
2020,1,2,19,1.3,343.5,99.08,5.91,8.8
2020,1,2,20,1.04,7.2,99.15,5.79,8.87
2020,1,2,21,0.99,52.0,99.2,5.7,9.18
2020,1,2,22,1.06,84.6,99.23,5.63,9.28
2020,1,2,23,1.26,97.3,99.23,5.58,9.2
2020,1,3,0,1.94,96.2,99.21,5.51,8.63
2020,1,3,1,2.75,95.2,99.2,5.37,8.24
2020,1,3,2,3.14,96.9,99.19,5.21,8.22
2020,1,3,3,3.28,99.5,99.15,5.05,8.44
2020,1,3,4,3.5,104.9,99.12,4.96,8.53
2020,1,3,5,3.5,109.7,99.13,4.92,8.83
2020,1,3,6,3.38,111.7,99.18,4.89,9.1
2020,1,3,7,3.45,115.0,99.24,5.01,9.33
2020,1,3,8,3.85,116.5,99.31,6.21,12.28
2020,1,3,9,3.7,123.6,99.37,6.44,16.44
2020,1,3,10,3.51,133.8,99.38,6.1,18.43
2020,1,3,11,3.02,133.8,99.32,6.05,20.11
2020,1,3,12,2.33,143.0,99.25,5.76,21.64
2020,1,3,13,1.89,147.1,99.22,5.52,22.4
2020,1,3,14,1.86,134.3,99.22,5.69,22.43
2020,1,3,15,1.7,116.9,99.23,7.63,20.9
2020,1,3,16,2.0,94.3,99.25,5.66,18.55
2020,1,3,17,2.34,93.2,99.3,5.08,16.56
2020,1,3,18,2.1,107.1,99.35,4.91,15.74
2020,1,3,19,2.02,130.2,99.43,4.88,14.91
2020,1,3,20,2.66,131.5,99.51,5.06,13.38
