-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  37.5   Longitude -120.634 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 168.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.62,312.0,100.12,4.92,6.74
2020,1,1,1,3.51,327.6,100.12,4.89,6.14
2020,1,1,2,2.2,333.3,100.06,4.81,6.38
2020,1,1,3,1.84,309.9,100.02,4.78,7.22
2020,1,1,4,2.0,278.9,99.93,4.75,7.24
2020,1,1,5,3.38,280.4,99.94,4.82,6.05
2020,1,1,6,3.83,298.4,99.99,5.06,6.19
2020,1,1,7,3.16,298.5,100.02,5.28,6.43
2020,1,1,8,2.23,280.6,100.03,5.87,8.36
2020,1,1,9,1.87,260.4,100.02,5.96,11.03
2020,1,1,10,2.15,301.5,100.06,6.04,13.31
2020,1,1,11,2.15,323.7,99.96,6.18,14.68
2020,1,1,12,2.61,322.0,99.85,6.51,15.82
2020,1,1,13,3.38,301.3,99.74,6.88,16.24
2020,1,1,14,4.62,300.6,99.69,7.21,16.18
2020,1,1,15,5.51,300.7,99.69,7.57,15.32
2020,1,1,16,6.16,307.3,99.72,7.59,11.99
2020,1,1,17,6.27,312.5,99.71,7.45,9.82
2020,1,1,18,6.38,318.8,99.75,7.49,8.85
2020,1,1,19,6.19,321.7,99.8,7.45,8.22
2020,1,1,20,5.78,315.4,99.82,7.33,7.59
2020,1,1,21,5.76,307.5,99.83,7.2,7.47
2020,1,1,22,5.78,301.5,99.81,7.11,7.89
2020,1,1,23,5.75,296.8,99.75,7.05,8.01
2020,1,2,0,6.61,296.6,99.74,6.97,8.01
2020,1,2,1,7.0,298.3,99.72,6.74,7.27
2020,1,2,2,7.32,306.9,99.76,6.53,7.08
2020,1,2,3,6.54,314.3,99.73,6.21,6.52
2020,1,2,4,5.7,319.8,99.7,5.82,5.95
2020,1,2,5,5.13,326.3,99.73,5.43,5.66
2020,1,2,6,4.62,325.3,99.77,5.08,5.55
2020,1,2,7,4.13,324.8,99.82,4.99,5.63
2020,1,2,8,3.66,329.1,99.88,5.39,7.71
2020,1,2,9,4.0,315.5,99.93,5.46,9.96
2020,1,2,10,5.52,312.1,99.93,5.62,12.38
2020,1,2,11,7.07,316.2,99.86,5.74,14.12
2020,1,2,12,8.0,318.3,99.78,5.91,15.27
2020,1,2,13,8.35,319.1,99.71,6.01,15.99
2020,1,2,14,8.0,317.4,99.68,6.06,16.01
2020,1,2,15,7.09,309.8,99.7,6.37,14.82
2020,1,2,16,6.8,305.2,99.76,6.43,11.3
2020,1,2,17,5.99,306.4,99.83,6.22,9.37
2020,1,2,18,4.6,302.7,99.91,6.2,8.99
2020,1,2,19,3.17,298.0,100.01,6.17,8.72
2020,1,2,20,1.74,299.2,100.08,6.15,8.76
2020,1,2,21,0.88,289.3,100.14,6.1,8.62
2020,1,2,22,0.56,254.5,100.17,6.05,8.85
2020,1,2,23,0.81,221.0,100.17,6.1,8.79
2020,1,3,0,1.03,180.6,100.15,6.11,8.56
2020,1,3,1,1.77,143.7,100.16,6.08,8.42
2020,1,3,2,2.95,126.4,100.16,5.94,7.26
2020,1,3,3,4.25,122.3,100.13,5.69,6.09
2020,1,3,4,5.0,122.2,100.11,5.39,5.41
2020,1,3,5,5.49,120.9,100.15,5.11,5.02
2020,1,3,6,5.84,121.7,100.21,4.87,4.83
2020,1,3,7,5.77,121.9,100.25,4.77,5.21
2020,1,3,8,5.19,122.0,100.31,5.19,8.81
2020,1,3,9,4.91,128.0,100.35,5.46,12.25
2020,1,3,10,5.51,132.3,100.36,5.94,14.36
2020,1,3,11,6.33,138.7,100.29,6.42,16.16
2020,1,3,12,6.83,145.6,100.22,6.7,17.66
2020,1,3,13,6.95,145.8,100.17,6.76,18.72
2020,1,3,14,6.57,144.5,100.14,7.07,19.2
2020,1,3,15,6.14,142.7,100.15,7.98,17.63
2020,1,3,16,6.76,145.3,100.18,6.95,14.1
2020,1,3,17,6.69,153.4,100.23,6.29,12.32
2020,1,3,18,5.75,167.2,100.3,6.08,11.52
2020,1,3,19,4.87,181.5,100.36,5.97,10.74
2020,1,3,20,4.3,185.6,100.42,5.92,9.95
2020,1,3,21,4.09,177.5,100.46,5.92,9.24
2020,1,3,22,4.4,163.1,100.49,5.92,8.73
2020,1,3,23,4.85,151.6,100.49,5.88,8.43
2020,1,4,0,5.15,144.2,100.48,5.75,8.2
2020,1,4,1,5.38,148.9,100.53,5.58,7.62
2020,1,4,2,5.17,159.6,100.6,5.49,6.99
2020,1,4,3,4.32,166.8,100.65,5.49,6.6
2020,1,4,4,3.52,169.4,100.66,5.48,6.61
2020,1,4,5,2.8,175.1,100.7,5.46,6.84
2020,1,4,6,2.16,195.3,100.77,5.39,7.24
2020,1,4,7,1.69,212.7,100.83,5.45,8.09
2020,1,4,8,1.19,225.7,100.89,6.08,10.38
2020,1,4,9,1.18,268.1,100.93,6.51,12.77
2020,1,4,10,1.53,298.6,100.9,6.86,14.46
2020,1,4,11,1.36,295.2,100.8,7.0,15.33
2020,1,4,12,1.59,278.3,100.69,7.11,16.08
2020,1,4,13,2.54,288.6,100.65,7.17,16.52
2020,1,4,14,3.45,306.6,100.66,7.23,16.43
2020,1,4,15,4.08,322.1,100.69,7.56,15.43
2020,1,4,16,5.04,328.1,100.71,7.52,12.36
2020,1,4,17,6.01,331.8,100.75,7.2,10.79
2020,1,4,18,6.09,335.2,100.75,7.02,10.26
2020,1,4,19,5.23,331.9,100.76,6.71,9.58
2020,1,4,20,4.97,318.8,100.79,6.43,9.18
2020,1,4,21,5.51,311.9,100.85,6.34,9.27
2020,1,4,22,5.45,312.3,100.92,6.39,9.06
2020,1,4,23,4.98,312.6,100.96,6.4,8.51
2020,1,5,0,4.29,310.9,100.96,6.4,8.24
2020,1,5,1,4.11,299.6,100.95,6.4,8.2
2020,1,5,2,4.83,288.4,100.96,6.35,8.11
2020,1,5,3,5.44,291.0,100.99,6.31,7.87
2020,1,5,4,5.07,301.4,101.02,6.24,7.31
2020,1,5,5,4.85,313.8,101.05,6.13,6.93
2020,1,5,6,4.58,318.6,101.1,5.96,6.74
2020,1,5,7,4.34,315.7,101.15,5.77,6.64
2020,1,5,8,4.13,312.7,101.22,5.85,7.6
2020,1,5,9,4.8,312.3,101.3,5.86,9.27
2020,1,5,10,5.9,314.4,101.32,5.89,11.33
2020,1,5,11,6.86,315.8,101.25,5.96,12.84
2020,1,5,12,7.87,316.9,101.17,5.88,13.71
2020,1,5,13,9.0,318.5,101.13,5.66,14.16
2020,1,5,14,9.22,322.7,101.11,5.45,14.1
2020,1,5,15,8.74,322.8,101.1,5.43,13.37
2020,1,5,16,8.73,321.9,101.11,5.55,10.93
2020,1,5,17,9.12,324.1,101.11,5.45,8.94
2020,1,5,18,8.68,322.6,101.1,5.43,8.26
2020,1,5,19,8.2,320.2,101.08,5.41,7.44
2020,1,5,20,7.83,319.4,101.08,5.4,6.69
2020,1,5,21,7.12,322.5,101.1,5.37,5.96
2020,1,5,22,5.87,329.4,101.08,5.28,5.32
2020,1,5,23,4.7,333.2,101.03,5.14,4.73
2020,1,6,0,4.01,334.8,100.99,4.99,4.43
2020,1,6,1,3.42,338.4,101.01,4.8,4.52
2020,1,6,2,3.07,341.4,101.08,4.54,4.96
2020,1,6,3,2.72,314.7,101.1,4.3,4.99
2020,1,6,4,2.95,287.3,101.1,4.26,4.25
2020,1,6,5,2.78,278.7,101.12,4.29,3.8
2020,1,6,6,2.09,279.4,101.13,4.25,3.91
2020,1,6,7,1.45,282.8,101.13,4.22,3.93
2020,1,6,8,1.08,292.8,101.16,4.45,5.44
2020,1,6,9,1.29,290.8,101.19,4.66,7.69
2020,1,6,10,1.24,287.9,101.18,4.57,9.58
2020,1,6,11,0.92,310.1,101.13,4.62,10.96
2020,1,6,12,0.84,342.6,101.03,4.62,12.04
2020,1,6,13,0.99,345.4,100.96,4.64,12.68
2020,1,6,14,1.28,330.0,100.89,4.69,12.79
