-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.739   Longitude -104.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2094.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,12.71,266.3,78.14,1.59,-3.52
2020,1,1,1,12.97,266.3,78.06,1.78,-3.28
2020,1,1,2,13.53,267.5,78.0,1.96,-2.92
2020,1,1,3,13.79,267.2,77.94,2.02,-2.93
2020,1,1,4,12.88,261.3,77.83,2.06,-3.25
2020,1,1,5,12.63,262.9,77.79,2.23,-2.82
2020,1,1,6,12.4,264.1,77.78,2.45,-2.34
2020,1,1,7,11.75,265.3,77.77,2.66,-1.21
2020,1,1,8,10.91,266.2,77.78,2.85,-0.07
2020,1,1,9,10.91,268.6,77.77,2.99,1.38
2020,1,1,10,10.84,271.9,77.71,3.27,3.29
2020,1,1,11,10.65,277.0,77.59,3.53,5.15
2020,1,1,12,11.11,284.0,77.5,3.44,6.76
2020,1,1,13,10.62,289.8,77.47,3.34,6.54
2020,1,1,14,10.14,292.5,77.5,3.36,4.75
2020,1,1,15,10.01,288.5,77.54,3.26,2.58
2020,1,1,16,10.29,281.3,77.55,3.05,0.92
2020,1,1,17,10.57,276.6,77.57,2.85,-0.03
2020,1,1,18,10.37,274.6,77.57,2.71,-0.73
2020,1,1,19,9.82,267.8,77.55,2.57,-1.61
2020,1,1,20,9.47,261.3,77.54,2.44,-2.3
2020,1,1,21,10.16,260.1,77.57,2.35,-2.44
2020,1,1,22,10.64,261.1,77.6,2.22,-2.78
2020,1,1,23,10.9,262.5,77.6,2.09,-3.35
2020,1,2,0,10.8,263.8,77.59,2.0,-3.9
2020,1,2,1,10.4,265.0,77.6,1.96,-4.33
2020,1,2,2,9.6,269.2,77.63,1.94,-4.89
2020,1,2,3,8.45,278.8,77.67,1.94,-5.6
2020,1,2,4,7.5,291.7,77.72,1.94,-6.16
2020,1,2,5,6.87,301.5,77.79,1.98,-6.0
2020,1,2,6,6.75,304.8,77.85,1.98,-6.2
2020,1,2,7,6.9,305.9,77.9,1.96,-5.57
2020,1,2,8,5.92,300.2,77.99,2.01,-3.32
2020,1,2,9,5.17,326.4,78.07,2.2,-0.79
2020,1,2,10,5.29,351.1,78.1,2.35,1.03
2020,1,2,11,5.17,347.8,78.08,2.3,1.77
2020,1,2,12,4.93,339.5,78.06,2.23,2.39
2020,1,2,13,4.59,331.6,78.04,2.19,2.77
2020,1,2,14,4.05,326.8,78.04,2.2,2.6
2020,1,2,15,3.04,328.2,78.08,2.55,1.2
2020,1,2,16,2.37,325.0,78.14,2.39,-1.62
2020,1,2,17,2.79,311.8,78.24,2.24,-2.54
2020,1,2,18,3.69,306.7,78.35,2.17,-3.27
2020,1,2,19,4.51,306.3,78.46,2.1,-4.71
2020,1,2,20,5.17,296.9,78.51,2.0,-5.59
2020,1,2,21,5.96,291.1,78.58,1.86,-6.4
