-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.739   Longitude -103.821 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1622.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,7.7,292.0,82.85,1.83,-1.73
2020,1,1,1,8.22,283.6,82.76,1.81,-2.03
2020,1,1,2,8.98,283.1,82.69,1.81,-2.29
2020,1,1,3,9.44,287.9,82.62,1.88,-2.21
2020,1,1,4,8.64,285.5,82.54,1.99,-2.36
2020,1,1,5,8.47,281.4,82.47,2.09,-2.43
2020,1,1,6,8.89,283.2,82.46,2.16,-2.3
2020,1,1,7,8.55,284.4,82.45,2.27,-1.84
2020,1,1,8,8.69,289.4,82.47,2.63,1.72
2020,1,1,9,7.44,290.3,82.46,2.88,4.67
2020,1,1,10,6.23,286.9,82.38,3.08,5.87
2020,1,1,11,6.72,289.7,82.27,3.15,6.89
2020,1,1,12,6.92,296.0,82.17,3.25,7.7
2020,1,1,13,6.93,305.1,82.1,3.28,8.68
2020,1,1,14,7.14,308.9,82.1,3.53,6.92
2020,1,1,15,8.27,307.3,82.14,3.41,4.0
2020,1,1,16,9.18,305.0,82.15,3.24,2.45
2020,1,1,17,9.62,304.4,82.17,3.18,1.85
2020,1,1,18,9.45,298.4,82.18,3.11,1.2
2020,1,1,19,9.16,287.2,82.17,3.02,0.5
2020,1,1,20,9.2,282.7,82.16,2.89,-0.01
2020,1,1,21,9.29,285.2,82.17,2.76,-0.34
2020,1,1,22,9.76,286.4,82.21,2.65,-0.42
2020,1,1,23,10.44,287.2,82.25,2.51,-0.39
2020,1,2,0,10.63,288.1,82.25,2.35,-0.6
2020,1,2,1,10.36,290.6,82.27,2.25,-1.11
2020,1,2,2,10.15,296.8,82.29,2.22,-1.54
2020,1,2,3,10.48,307.4,82.33,2.23,-1.48
2020,1,2,4,10.76,320.8,82.38,2.3,-1.21
2020,1,2,5,10.56,331.7,82.43,2.45,-1.39
2020,1,2,6,10.24,340.8,82.48,2.65,-1.63
2020,1,2,7,9.01,345.3,82.54,2.78,-1.83
2020,1,2,8,6.56,340.6,82.64,2.85,-0.57
2020,1,2,9,6.67,350.7,82.72,2.96,1.8
2020,1,2,10,6.78,352.2,82.73,2.95,3.58
2020,1,2,11,7.26,345.6,82.71,2.77,4.41
2020,1,2,12,7.53,340.5,82.69,2.64,4.86
2020,1,2,13,7.48,338.8,82.69,2.62,4.96
2020,1,2,14,6.6,344.9,82.72,2.68,4.57
2020,1,2,15,4.76,4.5,82.76,2.96,2.45
2020,1,2,16,3.55,36.6,82.82,2.75,-0.42
2020,1,2,17,2.83,68.2,82.9,2.77,-0.71
2020,1,2,18,1.9,93.9,83.01,2.83,-0.33
2020,1,2,19,0.23,200.0,83.1,2.87,0.04
2020,1,2,20,2.87,286.2,83.16,2.86,-0.98
2020,1,2,21,5.68,299.6,83.22,2.74,-2.01
2020,1,2,22,8.0,303.7,83.29,2.48,-2.48
2020,1,2,23,9.1,300.4,83.33,2.22,-2.59
2020,1,3,0,9.6,298.1,83.37,2.07,-2.51
2020,1,3,1,9.66,298.2,83.42,2.01,-2.65
2020,1,3,2,9.86,304.9,83.47,1.98,-2.77
2020,1,3,3,9.13,307.6,83.51,1.97,-3.2
2020,1,3,4,8.5,310.1,83.56,1.96,-3.61
