-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  40.375   Longitude -104.163 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1470.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.47,233.2,84.26,1.88,-1.94
2020,1,1,1,5.19,236.4,84.18,1.93,-2.32
2020,1,1,2,5.53,248.6,84.13,2.02,-2.03
2020,1,1,3,6.17,250.2,84.02,2.09,-1.96
2020,1,1,4,7.41,256.4,83.89,2.15,-2.24
2020,1,1,5,8.42,271.9,83.85,2.28,-1.95
2020,1,1,6,7.53,277.8,83.85,2.46,-1.23
2020,1,1,7,6.88,273.3,83.85,2.64,-0.57
2020,1,1,8,6.26,265.8,83.84,2.79,0.56
2020,1,1,9,5.91,264.4,83.83,2.99,2.71
2020,1,1,10,7.28,273.8,83.77,3.15,4.63
2020,1,1,11,8.16,287.6,83.68,3.28,5.9
2020,1,1,12,7.71,292.2,83.57,3.52,6.19
2020,1,1,13,7.97,293.2,83.53,3.66,6.71
2020,1,1,14,8.87,295.1,83.54,3.61,5.84
2020,1,1,15,10.25,293.0,83.57,3.4,4.01
2020,1,1,16,10.07,289.2,83.59,3.25,2.12
2020,1,1,17,9.82,283.9,83.6,3.11,0.93
2020,1,1,18,9.97,282.8,83.59,2.98,0.2
2020,1,1,19,9.64,286.8,83.59,2.87,-0.72
2020,1,1,20,9.07,286.6,83.59,2.77,-1.32
2020,1,1,21,8.57,282.9,83.61,2.66,-1.64
2020,1,1,22,8.06,281.1,83.66,2.55,-1.87
2020,1,1,23,7.25,283.7,83.7,2.46,-2.08
2020,1,2,0,6.87,296.0,83.73,2.41,-2.23
2020,1,2,1,7.24,310.0,83.78,2.41,-2.31
2020,1,2,2,9.8,318.4,83.83,2.5,-1.58
2020,1,2,3,10.21,321.6,83.88,2.67,-0.91
2020,1,2,4,10.05,324.9,83.96,2.72,-1.15
2020,1,2,5,9.29,326.7,84.03,2.67,-2.2
2020,1,2,6,8.64,324.9,84.07,2.59,-3.18
2020,1,2,7,8.31,320.2,84.12,2.5,-3.55
2020,1,2,8,7.23,311.8,84.21,2.52,-1.27
2020,1,2,9,5.54,304.5,84.27,2.63,1.16
2020,1,2,10,7.11,326.5,84.3,2.9,4.2
2020,1,2,11,7.98,333.2,84.27,2.93,5.66
2020,1,2,12,8.35,330.4,84.24,2.82,6.15
2020,1,2,13,8.35,326.4,84.23,2.7,6.24
2020,1,2,14,7.21,327.7,84.24,2.71,5.72
2020,1,2,15,6.25,334.2,84.27,2.9,3.04
2020,1,2,16,6.69,331.5,84.35,2.48,-0.37
2020,1,2,17,7.93,320.7,84.46,2.38,-1.26
2020,1,2,18,9.35,308.5,84.6,2.37,-1.19
2020,1,2,19,9.12,295.2,84.69,2.32,-1.37
2020,1,2,20,8.99,287.8,84.73,2.21,-1.95
2020,1,2,21,9.67,292.7,84.8,2.12,-2.06
2020,1,2,22,10.28,301.0,84.87,2.1,-1.98
