-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  40.375   Longitude -105.817 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2669.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,12.71,261.6,72.86,1.83,-9.34
2020,1,1,1,13.06,262.6,72.81,1.86,-9.23
2020,1,1,2,13.26,262.7,72.79,1.85,-9.49
2020,1,1,3,13.08,260.2,72.69,1.87,-9.42
2020,1,1,4,12.99,259.7,72.6,1.97,-8.94
2020,1,1,5,13.06,260.6,72.58,2.06,-8.49
2020,1,1,6,13.17,263.3,72.57,2.07,-8.43
2020,1,1,7,13.35,264.2,72.54,2.04,-8.56
2020,1,1,8,13.25,265.5,72.53,2.14,-7.96
2020,1,1,9,13.08,265.7,72.53,2.38,-6.5
2020,1,1,10,13.24,266.8,72.48,2.63,-5.18
2020,1,1,11,13.11,267.8,72.38,2.77,-4.37
2020,1,1,12,12.23,267.3,72.28,2.9,-3.67
2020,1,1,13,11.9,269.4,72.25,2.96,-3.5
2020,1,1,14,11.56,269.0,72.25,2.92,-4.03
2020,1,1,15,11.53,268.3,72.25,2.9,-4.57
2020,1,1,16,11.38,267.9,72.26,2.84,-5.12
2020,1,1,17,10.96,266.5,72.27,2.74,-5.66
2020,1,1,18,10.16,266.3,72.25,2.65,-6.1
2020,1,1,19,9.89,266.6,72.25,2.53,-6.88
2020,1,1,20,10.34,265.7,72.24,2.38,-7.51
2020,1,1,21,10.35,266.6,72.24,2.29,-7.84
2020,1,1,22,10.66,266.7,72.26,2.25,-8.03
2020,1,1,23,10.52,268.0,72.27,2.23,-8.15
2020,1,2,0,10.16,270.6,72.28,2.22,-8.23
2020,1,2,1,9.37,274.0,72.3,2.2,-8.37
2020,1,2,2,8.31,278.6,72.34,2.16,-8.65
2020,1,2,3,7.2,281.2,72.38,2.09,-9.05
2020,1,2,4,6.95,285.7,72.43,2.07,-9.28
2020,1,2,5,6.65,291.2,72.48,2.04,-9.59
2020,1,2,6,6.34,287.7,72.52,1.89,-10.47
2020,1,2,7,6.4,284.5,72.55,1.76,-11.2
2020,1,2,8,5.69,279.4,72.61,1.86,-10.12
2020,1,2,9,4.76,281.6,72.68,2.17,-7.88
2020,1,2,10,5.3,296.2,72.72,2.51,-5.71
2020,1,2,11,6.2,297.9,72.71,2.66,-4.69
2020,1,2,12,6.75,291.2,72.69,2.68,-4.44
2020,1,2,13,7.34,285.2,72.68,2.65,-4.54
2020,1,2,14,7.43,279.8,72.69,2.58,-5.0
2020,1,2,15,7.22,276.5,72.74,2.46,-6.07
2020,1,2,16,7.77,275.5,72.81,2.21,-8.18
2020,1,2,17,8.11,274.8,72.88,1.99,-9.31
2020,1,2,18,8.8,276.1,72.96,1.9,-9.61
2020,1,2,19,9.22,277.8,73.0,1.86,-9.69
