-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  40.639   Longitude -104.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1772.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,12.54,271.7,81.09,2.02,-1.89
2020,1,1,1,12.99,273.9,81.02,2.11,-1.81
2020,1,1,2,13.58,275.4,80.97,2.19,-1.69
2020,1,1,3,13.81,273.7,80.87,2.21,-1.75
2020,1,1,4,13.83,274.3,80.76,2.25,-1.86
2020,1,1,5,13.93,277.5,80.73,2.35,-1.43
2020,1,1,6,13.46,278.6,80.72,2.45,-0.96
2020,1,1,7,13.61,277.3,80.71,2.45,-0.83
2020,1,1,8,13.49,278.4,80.69,2.54,-0.07
2020,1,1,9,13.15,279.7,80.68,2.81,1.81
2020,1,1,10,14.56,280.6,80.65,3.07,3.78
2020,1,1,11,15.06,282.2,80.57,3.13,5.21
2020,1,1,12,13.1,282.3,80.49,3.29,5.57
2020,1,1,13,12.51,283.9,80.48,3.36,5.98
2020,1,1,14,12.45,283.9,80.49,3.28,4.5
2020,1,1,15,13.09,282.9,80.53,3.14,2.83
2020,1,1,16,12.67,281.8,80.54,3.01,1.24
2020,1,1,17,12.23,279.6,80.56,2.9,0.25
2020,1,1,18,11.76,279.1,80.55,2.82,-0.22
2020,1,1,19,10.54,280.8,80.54,2.73,-1.24
2020,1,1,20,10.33,278.9,80.54,2.59,-1.79
2020,1,1,21,10.14,277.5,80.56,2.46,-2.2
2020,1,1,22,9.9,277.1,80.58,2.38,-2.49
2020,1,1,23,9.42,280.3,80.61,2.33,-2.67
2020,1,2,0,9.12,289.3,80.63,2.31,-2.78
2020,1,2,1,8.84,299.5,80.69,2.31,-2.95
2020,1,2,2,8.94,307.8,80.77,2.32,-3.08
2020,1,2,3,9.01,308.2,80.84,2.35,-2.75
2020,1,2,4,8.94,309.3,80.91,2.34,-3.03
2020,1,2,5,8.8,309.3,80.98,2.29,-3.83
2020,1,2,6,8.67,305.9,81.02,2.22,-4.42
2020,1,2,7,8.71,301.2,81.06,2.14,-4.6
2020,1,2,8,7.94,295.2,81.14,2.22,-2.56
2020,1,2,9,6.58,296.5,81.21,2.44,0.21
2020,1,2,10,7.27,318.6,81.24,2.7,2.93
2020,1,2,11,7.42,323.3,81.22,2.7,4.09
2020,1,2,12,7.44,317.6,81.19,2.61,4.5
2020,1,2,13,7.55,309.9,81.16,2.53,4.47
2020,1,2,14,6.93,306.1,81.17,2.57,3.93
2020,1,2,15,6.07,306.7,81.2,2.73,1.94
2020,1,2,16,6.66,302.9,81.28,2.44,-1.41
2020,1,2,17,7.8,295.2,81.39,2.24,-2.51
2020,1,2,18,8.48,290.6,81.52,2.13,-2.88
2020,1,2,19,8.75,285.9,81.58,2.06,-3.01
2020,1,2,20,8.73,287.0,81.63,1.99,-3.49
2020,1,2,21,9.41,293.0,81.72,1.96,-3.78
2020,1,2,22,9.62,296.4,81.79,1.97,-3.84
2020,1,2,23,9.42,296.9,81.83,1.97,-4.14
2020,1,3,0,9.23,297.5,81.87,1.93,-4.5
2020,1,3,1,9.16,297.4,81.93,1.89,-4.83
2020,1,3,2,8.83,295.4,81.97,1.84,-5.13
2020,1,3,3,8.41,293.9,81.99,1.78,-5.67
2020,1,3,4,8.24,289.7,82.0,1.72,-6.16
2020,1,3,5,7.8,284.6,82.02,1.66,-6.51
2020,1,3,6,7.92,276.5,82.04,1.64,-6.53
2020,1,3,7,7.78,270.1,82.03,1.67,-6.0
2020,1,3,8,7.72,265.6,82.04,1.9,-3.63
2020,1,3,9,10.93,278.9,82.06,2.1,-0.03
2020,1,3,10,12.94,289.6,82.04,2.36,2.82
2020,1,3,11,13.36,292.2,81.98,2.59,4.48
2020,1,3,12,13.86,294.9,81.95,2.73,5.24
2020,1,3,13,13.57,296.8,81.95,2.84,5.39
2020,1,3,14,13.0,297.7,81.98,2.94,4.99
2020,1,3,15,12.58,298.3,82.03,3.01,3.28
2020,1,3,16,12.68,298.7,82.12,2.84,0.8
2020,1,3,17,13.17,296.2,82.2,2.72,-0.12
2020,1,3,18,13.31,293.6,82.25,2.68,-0.28
2020,1,3,19,12.12,290.6,82.29,2.67,-0.73
2020,1,3,20,11.8,289.2,82.33,2.63,-1.0
2020,1,3,21,11.52,288.3,82.38,2.56,-1.16
2020,1,3,22,10.68,287.8,82.42,2.49,-1.36
2020,1,3,23,10.59,286.3,82.45,2.43,-1.47
