-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.103   Longitude -104.163 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1937.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,10.02,292.3,79.72,1.32,-3.68
2020,1,1,1,9.99,290.1,79.64,1.37,-3.63
2020,1,1,2,10.1,288.7,79.57,1.51,-3.47
2020,1,1,3,10.25,290.9,79.49,1.67,-3.25
2020,1,1,4,9.97,293.4,79.41,1.84,-3.27
2020,1,1,5,9.82,292.1,79.34,2.0,-3.2
2020,1,1,6,10.64,294.1,79.32,2.19,-2.67
2020,1,1,7,10.62,296.8,79.31,2.42,-1.89
2020,1,1,8,10.15,299.6,79.33,2.71,1.27
2020,1,1,9,8.17,297.7,79.32,2.94,3.4
2020,1,1,10,6.48,292.3,79.26,3.12,4.41
2020,1,1,11,5.67,290.2,79.16,3.32,5.19
2020,1,1,12,5.03,294.9,79.06,3.71,5.9
2020,1,1,13,5.37,309.8,79.0,3.72,7.69
2020,1,1,14,6.06,320.0,79.0,3.89,6.53
2020,1,1,15,7.55,325.7,79.05,3.6,3.78
2020,1,1,16,8.08,324.3,79.06,3.36,2.05
2020,1,1,17,8.71,312.7,79.07,3.21,1.38
2020,1,1,18,9.32,302.3,79.08,3.05,1.06
2020,1,1,19,9.25,294.3,79.08,2.89,0.54
2020,1,1,20,8.21,288.1,79.07,2.77,-0.18
2020,1,1,21,7.81,282.8,79.07,2.67,-0.63
2020,1,1,22,8.67,284.4,79.1,2.56,-0.75
2020,1,1,23,9.78,290.9,79.1,2.4,-0.93
2020,1,2,0,10.32,295.2,79.09,2.2,-1.14
2020,1,2,1,10.33,298.5,79.1,2.07,-1.72
2020,1,2,2,10.06,302.3,79.13,2.02,-2.51
2020,1,2,3,10.11,309.6,79.16,1.99,-2.93
2020,1,2,4,10.22,322.2,79.2,1.97,-3.28
2020,1,2,5,10.49,332.7,79.26,2.0,-3.4
2020,1,2,6,10.87,338.8,79.32,2.1,-3.25
2020,1,2,7,10.54,341.8,79.37,2.22,-2.64
