-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.103   Longitude -105.817 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2770.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,10.28,286.7,71.93,1.11,-9.5
2020,1,1,1,10.36,285.8,71.87,1.23,-9.36
2020,1,1,2,10.74,286.8,71.82,1.35,-9.25
2020,1,1,3,11.04,289.4,71.76,1.51,-9.08
2020,1,1,4,10.93,288.9,71.68,1.67,-8.94
2020,1,1,5,11.02,289.7,71.64,1.86,-8.65
2020,1,1,6,11.03,290.7,71.64,2.06,-8.13
2020,1,1,7,10.79,289.0,71.62,2.22,-7.32
2020,1,1,8,10.22,286.8,71.62,2.4,-5.84
2020,1,1,9,9.71,284.8,71.6,2.69,-3.98
2020,1,1,10,10.67,284.7,71.56,3.11,-1.47
2020,1,1,11,11.95,286.5,71.47,3.41,0.75
2020,1,1,12,12.01,285.6,71.38,3.47,1.61
2020,1,1,13,11.46,284.1,71.32,3.4,1.29
2020,1,1,14,10.99,284.7,71.33,3.29,0.13
2020,1,1,15,10.28,285.2,71.35,3.14,-1.31
2020,1,1,16,10.33,284.1,71.37,2.89,-3.02
2020,1,1,17,10.14,282.5,71.36,2.6,-4.7
2020,1,1,18,9.39,279.9,71.36,2.35,-6.31
2020,1,1,19,8.62,274.1,71.35,2.15,-7.74
2020,1,1,20,8.34,273.3,71.37,1.99,-8.88
2020,1,1,21,9.03,277.4,71.4,1.89,-9.51
2020,1,1,22,9.11,281.1,71.41,1.78,-10.12
2020,1,1,23,8.87,281.8,71.41,1.68,-10.92
2020,1,2,0,8.51,280.0,71.38,1.61,-11.49
2020,1,2,1,8.21,280.5,71.35,1.6,-11.88
2020,1,2,2,8.06,282.1,71.35,1.58,-12.27
