-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  38.84   Longitude -104.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2371.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,10.76,277.2,75.6,1.17,-5.81
2020,1,1,1,10.77,275.4,75.53,1.32,-5.53
2020,1,1,2,11.09,275.2,75.47,1.47,-5.4
2020,1,1,3,11.17,278.0,75.4,1.62,-5.24
2020,1,1,4,10.99,279.1,75.32,1.79,-5.26
2020,1,1,5,11.13,279.7,75.26,1.97,-5.14
2020,1,1,6,11.53,282.9,75.26,2.2,-4.53
2020,1,1,7,11.07,282.7,75.25,2.42,-3.65
2020,1,1,8,9.78,281.3,75.26,2.6,-1.95
2020,1,1,9,8.57,278.0,75.25,2.76,-0.62
2020,1,1,10,8.12,278.0,75.2,2.99,0.91
2020,1,1,11,8.67,281.8,75.09,3.3,2.98
2020,1,1,12,9.42,286.0,74.98,3.47,5.04
2020,1,1,13,9.5,291.6,74.92,3.41,6.24
2020,1,1,14,9.24,297.2,74.93,3.4,4.84
2020,1,1,15,8.77,300.0,74.97,3.32,2.14
2020,1,1,16,8.82,295.2,75.0,3.11,0.27
2020,1,1,17,9.71,288.1,75.01,2.89,-0.63
2020,1,1,18,10.08,284.9,75.0,2.71,-1.17
2020,1,1,19,9.51,281.0,75.0,2.56,-1.91
2020,1,1,20,8.44,274.0,74.99,2.45,-3.05
2020,1,1,21,9.09,273.1,75.01,2.35,-3.64
2020,1,1,22,9.67,277.4,75.03,2.21,-4.01
