-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  39.739   Longitude -106.16 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3233.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,6.23,257.9,68.12,1.02,-18.92
2020,1,1,1,7.04,261.3,68.1,1.16,-17.53
2020,1,1,2,7.46,266.1,68.08,1.28,-16.51
2020,1,1,3,6.26,259.9,68.02,1.33,-16.21
2020,1,1,4,5.69,250.7,67.93,1.28,-16.71
2020,1,1,5,6.44,257.3,67.93,1.31,-16.77
2020,1,1,6,7.12,261.8,67.92,1.48,-15.43
2020,1,1,7,7.4,263.8,67.9,1.84,-12.87
2020,1,1,8,5.89,263.9,67.88,2.23,-10.67
2020,1,1,9,5.06,263.4,67.87,2.43,-9.75
2020,1,1,10,5.44,262.2,67.8,2.65,-8.81
2020,1,1,11,5.66,262.8,67.68,2.92,-7.68
2020,1,1,12,5.99,266.0,67.56,3.11,-6.95
2020,1,1,13,6.18,271.0,67.51,3.08,-7.07
2020,1,1,14,6.23,271.5,67.5,2.94,-7.6
2020,1,1,15,6.48,270.1,67.51,2.78,-8.24
2020,1,1,16,6.39,265.3,67.49,2.61,-8.97
2020,1,1,17,6.08,262.1,67.47,2.48,-9.51
2020,1,1,18,5.65,256.2,67.4,2.39,-9.97
2020,1,1,19,6.76,263.5,67.38,2.34,-10.23
2020,1,1,20,7.56,268.3,67.42,2.21,-10.84
2020,1,1,21,6.26,267.0,67.43,2.02,-11.87
2020,1,1,22,5.81,265.6,67.43,1.9,-12.53
2020,1,1,23,5.57,263.4,67.42,1.81,-13.11
2020,1,2,0,5.8,266.0,67.39,1.68,-13.97
2020,1,2,1,5.86,270.1,67.39,1.56,-14.81
2020,1,2,2,5.86,274.4,67.38,1.48,-15.35
2020,1,2,3,5.68,278.5,67.37,1.38,-16.14
2020,1,2,4,5.35,284.4,67.37,1.27,-17.18
2020,1,2,5,4.97,294.0,67.39,1.19,-17.88
2020,1,2,6,4.67,303.1,67.42,1.15,-18.29
2020,1,2,7,4.35,310.6,67.44,1.15,-18.34
2020,1,2,8,3.34,310.5,67.5,1.35,-16.69
2020,1,2,9,2.56,309.9,67.58,1.7,-13.85
2020,1,2,10,2.6,315.3,67.64,2.15,-11.11
2020,1,2,11,3.23,313.5,67.66,2.37,-9.9
2020,1,2,12,3.98,307.1,67.66,2.45,-9.49
2020,1,2,13,4.46,302.3,67.67,2.47,-9.43
2020,1,2,14,4.49,297.8,67.68,2.41,-9.74
2020,1,2,15,3.97,293.0,67.73,2.3,-10.36
2020,1,2,16,4.46,289.7,67.8,2.01,-11.91
2020,1,2,17,5.37,289.2,67.88,1.66,-14.02
2020,1,2,18,5.9,289.9,67.97,1.59,-14.47
2020,1,2,19,5.81,290.9,68.03,1.66,-13.99
2020,1,2,20,5.4,288.6,68.06,1.55,-14.75
2020,1,2,21,5.61,292.4,68.12,1.32,-16.49
2020,1,2,22,5.48,296.4,68.17,1.24,-17.23
2020,1,2,23,4.78,297.3,68.21,1.19,-17.71
2020,1,3,0,4.08,295.4,68.24,1.15,-18.16
2020,1,3,1,3.61,287.9,68.29,1.15,-18.4
2020,1,3,2,3.82,283.0,68.34,1.08,-19.26
2020,1,3,3,4.12,281.1,68.37,1.02,-20.11
2020,1,3,4,4.38,280.3,68.41,0.98,-20.7
2020,1,3,5,4.56,276.8,68.46,0.95,-21.0
2020,1,3,6,4.44,274.8,68.52,0.96,-20.81
2020,1,3,7,4.59,273.1,68.57,0.94,-21.02
2020,1,3,8,4.86,271.8,68.65,0.98,-20.15
2020,1,3,9,4.58,272.8,68.73,1.48,-15.23
2020,1,3,10,4.99,280.7,68.76,1.88,-12.5
2020,1,3,11,5.94,285.4,68.74,2.16,-10.94
2020,1,3,12,6.65,288.1,68.72,2.36,-9.94
2020,1,3,13,7.01,289.3,68.73,2.48,-9.35
2020,1,3,14,6.91,288.6,68.75,2.52,-9.17
2020,1,3,15,6.6,286.5,68.78,2.46,-9.45
2020,1,3,16,6.49,284.4,68.85,2.3,-10.25
2020,1,3,17,6.12,281.1,68.91,2.12,-11.15
2020,1,3,18,5.54,276.6,68.95,1.95,-12.07
2020,1,3,19,5.3,275.2,68.99,1.67,-13.87
2020,1,3,20,4.96,276.0,69.04,1.41,-15.99
2020,1,3,21,4.8,273.0,69.08,1.32,-16.91
2020,1,3,22,4.67,268.5,69.11,1.32,-17.17
2020,1,3,23,4.71,267.3,69.13,1.3,-17.55
2020,1,4,0,4.5,265.7,69.15,1.32,-17.42
2020,1,4,1,4.02,259.1,69.17,1.39,-16.79
2020,1,4,2,3.78,251.8,69.17,1.41,-16.2
2020,1,4,3,3.76,251.2,69.15,1.45,-15.49
2020,1,4,4,3.75,254.1,69.14,1.51,-14.62
2020,1,4,5,3.66,253.3,69.15,1.58,-13.77
2020,1,4,6,3.67,252.2,69.16,1.62,-13.16
2020,1,4,7,3.8,251.6,69.17,1.63,-12.78
2020,1,4,8,3.78,250.5,69.2,1.73,-11.54
2020,1,4,9,3.7,246.8,69.22,2.21,-9.22
2020,1,4,10,3.55,245.4,69.18,3.59,-4.65
2020,1,4,11,3.44,248.1,69.09,4.23,-2.77
2020,1,4,12,4.26,249.8,68.99,4.65,-1.77
2020,1,4,13,5.75,249.2,68.95,4.59,-1.93
2020,1,4,14,6.56,249.8,68.94,4.3,-2.65
2020,1,4,15,7.35,252.0,68.94,3.91,-3.75
2020,1,4,16,8.45,253.6,68.97,3.24,-5.94
2020,1,4,17,8.8,256.1,69.02,2.72,-7.97
2020,1,4,18,8.86,261.3,69.06,2.59,-8.55
2020,1,4,19,8.19,265.6,69.11,2.48,-9.08
2020,1,4,20,7.74,266.4,69.14,2.15,-10.83
2020,1,4,21,7.24,263.3,69.16,1.75,-13.31
2020,1,4,22,6.73,259.3,69.2,1.51,-15.18
2020,1,4,23,6.35,258.7,69.21,1.4,-16.21
2020,1,5,0,5.81,261.7,69.21,1.41,-16.35
2020,1,5,1,5.57,265.5,69.22,1.48,-16.21
2020,1,5,2,4.93,264.4,69.21,1.56,-15.92
2020,1,5,3,4.07,257.8,69.17,1.65,-15.49
2020,1,5,4,3.75,250.8,69.13,1.59,-15.99
2020,1,5,5,3.47,243.3,69.12,1.44,-16.52
2020,1,5,6,3.41,234.9,69.1,1.2,-16.99
2020,1,5,7,3.58,227.3,69.06,0.93,-17.64
2020,1,5,8,3.76,225.4,69.04,0.83,-16.56
2020,1,5,9,3.68,224.7,69.02,1.24,-13.22
2020,1,5,10,3.18,222.1,68.96,2.67,-7.83
2020,1,5,11,2.41,221.8,68.87,3.28,-5.47
2020,1,5,12,2.01,233.3,68.77,3.64,-4.42
2020,1,5,13,2.52,245.7,68.69,3.89,-3.81
2020,1,5,14,5.52,252.0,68.66,3.59,-4.74
2020,1,5,15,5.84,252.1,68.65,3.16,-6.35
2020,1,5,16,6.33,253.1,68.63,2.62,-8.68
2020,1,5,17,6.98,257.0,68.64,2.13,-11.08
2020,1,5,18,7.16,262.4,68.65,2.24,-10.53
2020,1,5,19,7.07,265.4,68.65,2.31,-10.2
2020,1,5,20,6.58,267.9,68.64,2.24,-10.57
2020,1,5,21,6.77,275.8,68.63,2.17,-10.89
2020,1,5,22,7.02,284.7,68.65,2.16,-10.96
2020,1,5,23,6.98,288.3,68.68,2.03,-11.61
2020,1,6,0,6.77,289.2,68.7,1.88,-12.51
2020,1,6,1,6.5,289.0,68.74,1.7,-13.61
2020,1,6,2,6.28,285.1,68.75,1.54,-14.68
2020,1,6,3,5.92,278.8,68.73,1.41,-15.66
2020,1,6,4,5.82,272.9,68.72,1.34,-16.25
2020,1,6,5,6.58,271.0,68.72,1.31,-16.43
2020,1,6,6,7.57,274.5,68.73,1.35,-16.08
2020,1,6,7,8.42,280.3,68.76,1.4,-15.67
2020,1,6,8,8.56,282.8,68.84,1.43,-15.39
2020,1,6,9,8.85,288.0,68.94,1.5,-14.92
2020,1,6,10,8.99,291.3,69.01,1.58,-14.25
2020,1,6,11,9.04,290.9,69.03,1.66,-13.67
2020,1,6,12,8.89,289.3,69.02,1.73,-13.22
2020,1,6,13,8.41,287.1,69.03,1.8,-12.75
2020,1,6,14,7.65,283.5,69.06,1.85,-12.49
2020,1,6,15,6.58,277.5,69.07,1.82,-12.66
2020,1,6,16,6.13,270.3,69.07,1.7,-13.51
2020,1,6,17,6.18,265.4,69.07,1.49,-14.99
2020,1,6,18,6.33,261.5,69.07,1.21,-17.35
2020,1,6,19,6.3,257.2,69.07,1.0,-19.55
2020,1,6,20,6.48,256.4,69.08,0.9,-20.79
2020,1,6,21,6.7,257.3,69.09,0.88,-21.17
2020,1,6,22,6.91,256.7,69.1,0.87,-21.43
2020,1,6,23,6.86,255.8,69.09,0.88,-21.37
2020,1,7,0,7.47,261.8,69.1,0.94,-20.47
2020,1,7,1,7.62,266.7,69.12,1.08,-18.72
2020,1,7,2,7.27,267.1,69.12,1.18,-17.73
2020,1,7,3,6.91,266.3,69.13,1.2,-17.57
2020,1,7,4,6.05,261.0,69.13,1.2,-17.61
2020,1,7,5,5.85,259.1,69.12,1.21,-17.66
2020,1,7,6,5.64,258.7,69.12,1.23,-17.63
2020,1,7,7,5.35,259.4,69.13,1.23,-17.69
2020,1,7,8,5.05,261.2,69.17,1.46,-15.62
2020,1,7,9,4.44,261.3,69.19,2.17,-10.89
2020,1,7,10,4.44,265.7,69.18,2.72,-8.16
2020,1,7,11,4.61,264.8,69.11,3.07,-6.77
2020,1,7,12,4.76,263.5,69.02,3.3,-5.88
2020,1,7,13,4.45,260.7,68.98,3.44,-5.38
2020,1,7,14,4.01,260.7,68.96,3.49,-5.22
2020,1,7,15,3.81,261.7,68.94,3.33,-5.84
2020,1,7,16,3.82,261.4,68.93,2.53,-9.0
2020,1,7,17,3.91,256.9,68.92,1.93,-12.1
2020,1,7,18,3.8,248.7,68.92,1.7,-13.65
2020,1,7,19,3.71,240.3,68.89,1.56,-14.46
2020,1,7,20,3.91,236.3,68.85,1.38,-15.24
2020,1,7,21,4.13,237.8,68.79,1.26,-15.51
2020,1,7,22,4.29,241.9,68.73,1.19,-15.49
2020,1,7,23,4.39,245.2,68.65,1.16,-15.31
2020,1,8,0,4.42,246.0,68.57,1.17,-15.06
2020,1,8,1,4.36,243.1,68.51,1.19,-14.92
2020,1,8,2,4.28,230.5,68.45,1.16,-15.52
2020,1,8,3,4.62,218.4,68.36,1.08,-17.07
2020,1,8,4,5.18,213.8,68.29,1.01,-18.44
2020,1,8,5,5.53,213.7,68.24,0.98,-18.99
2020,1,8,6,5.77,215.6,68.19,0.94,-19.67
2020,1,8,7,6.11,217.8,68.13,0.96,-19.56
2020,1,8,8,6.24,219.7,68.08,1.38,-15.65
2020,1,8,9,5.71,222.0,68.04,2.33,-9.75
2020,1,8,10,4.72,226.1,67.98,3.16,-6.17
2020,1,8,11,4.1,231.0,67.88,3.66,-4.56
2020,1,8,12,6.79,238.0,67.78,3.74,-4.25
2020,1,8,13,7.5,241.9,67.71,3.59,-4.75
