-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.45   Longitude 73.135 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 182.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.5,5.0,99.99,3.13,6.76
2020,1,1,1,2.37,1.5,99.98,3.12,5.64
2020,1,1,2,3.04,8.5,99.97,3.11,4.58
2020,1,1,3,3.4,19.6,99.94,3.13,3.85
2020,1,1,4,3.59,32.9,99.92,3.16,3.34
2020,1,1,5,3.64,47.1,99.94,3.21,2.99
2020,1,1,6,3.47,62.3,100.0,3.26,2.89
2020,1,1,7,3.11,80.4,100.07,3.32,3.42
2020,1,1,8,2.59,99.8,100.15,3.4,6.27
2020,1,1,9,1.71,117.5,100.24,3.48,8.39
2020,1,1,10,1.6,130.2,100.27,3.48,11.84
2020,1,1,11,1.8,130.0,100.22,3.39,14.58
2020,1,1,12,1.8,119.5,100.13,3.38,15.29
2020,1,1,13,1.93,104.1,100.07,3.35,15.73
2020,1,1,14,2.24,90.3,100.03,3.32,15.97
2020,1,1,15,2.59,81.6,100.02,3.32,15.34
2020,1,1,16,2.79,73.3,100.03,3.79,12.45
2020,1,1,17,2.93,66.1,100.08,3.52,10.3
2020,1,1,18,3.07,62.0,100.15,3.41,9.32
2020,1,1,19,3.25,61.1,100.21,3.34,8.38
2020,1,1,20,3.19,58.9,100.25,3.36,7.98
2020,1,1,21,2.69,50.0,100.28,3.39,8.18
2020,1,1,22,2.21,33.0,100.29,3.42,8.38
2020,1,1,23,2.1,12.4,100.27,3.45,8.3
2020,1,2,0,2.38,355.4,100.23,3.46,7.91
2020,1,2,1,2.88,346.7,100.21,3.46,7.37
2020,1,2,2,3.42,346.0,100.19,3.46,6.84
2020,1,2,3,3.75,350.2,100.16,3.45,6.45
2020,1,2,4,3.79,354.1,100.16,3.44,6.24
2020,1,2,5,3.61,358.4,100.19,3.43,6.12
2020,1,2,6,3.3,2.3,100.26,3.43,6.02
2020,1,2,7,2.91,11.1,100.29,3.45,6.28
2020,1,2,8,2.43,28.6,100.33,3.6,8.78
2020,1,2,9,1.1,29.4,100.39,3.53,11.05
2020,1,2,10,1.27,245.3,100.4,3.13,15.04
2020,1,2,11,1.82,248.4,100.3,3.18,17.09
2020,1,2,12,1.58,257.5,100.17,3.36,17.93
2020,1,2,13,1.26,275.0,100.07,3.5,17.95
2020,1,2,14,1.1,303.1,100.02,3.58,17.6
2020,1,2,15,1.22,325.7,99.99,4.38,16.75
2020,1,2,16,1.65,333.0,99.99,4.18,15.15
2020,1,2,17,1.9,340.3,100.02,3.94,13.81
2020,1,2,18,1.78,341.4,100.04,3.89,13.45
2020,1,2,19,1.64,323.7,100.07,3.87,13.05
