-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.45   Longitude 74.189 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 209.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,0.7,346.0,99.61,3.62,6.93
2020,1,1,1,1.59,336.7,99.62,3.64,5.65
2020,1,1,2,2.26,344.6,99.62,3.66,4.8
2020,1,1,3,2.61,356.3,99.59,3.69,4.16
2020,1,1,4,2.66,9.1,99.58,3.72,3.77
2020,1,1,5,2.52,24.8,99.6,3.75,3.65
2020,1,1,6,2.24,43.7,99.67,3.78,3.68
2020,1,1,7,1.93,68.5,99.73,3.82,4.08
2020,1,1,8,1.78,97.1,99.82,3.99,6.46
2020,1,1,9,1.51,119.3,99.9,4.05,8.53
2020,1,1,10,1.8,126.4,99.93,4.14,11.79
2020,1,1,11,2.69,129.4,99.88,3.92,14.89
2020,1,1,12,2.82,125.5,99.81,3.87,15.82
2020,1,1,13,2.87,118.7,99.74,3.83,16.13
2020,1,1,14,2.57,109.3,99.7,3.86,15.92
2020,1,1,15,1.98,90.3,99.69,4.8,14.98
2020,1,1,16,1.8,54.0,99.69,4.56,13.0
2020,1,1,17,2.42,30.6,99.72,4.01,10.83
2020,1,1,18,3.13,23.7,99.8,3.97,9.27
2020,1,1,19,3.57,24.5,99.86,3.97,8.07
2020,1,1,20,3.74,29.4,99.89,3.97,7.3
2020,1,1,21,3.69,33.7,99.9,3.98,6.92
2020,1,1,22,3.32,32.4,99.9,4.01,6.94
2020,1,1,23,2.94,21.8,99.88,4.03,6.98
2020,1,2,0,3.0,2.3,99.84,4.06,6.63
2020,1,2,1,3.65,347.0,99.82,4.12,5.99
2020,1,2,2,4.62,339.7,99.8,4.15,5.65
2020,1,2,3,5.48,337.0,99.76,4.13,5.6
2020,1,2,4,5.89,336.5,99.77,4.09,5.6
2020,1,2,5,5.76,336.9,99.82,4.06,5.53
2020,1,2,6,5.28,338.7,99.89,4.05,5.43
2020,1,2,7,4.59,340.3,99.94,4.09,5.86
2020,1,2,8,3.43,344.4,99.99,4.28,8.02
2020,1,2,9,1.87,354.8,100.02,4.06,9.77
2020,1,2,10,0.74,324.4,100.02,4.17,11.88
2020,1,2,11,1.28,255.5,99.95,3.94,15.14
2020,1,2,12,1.3,260.2,99.85,3.9,16.66
2020,1,2,13,0.85,299.0,99.75,3.95,17.36
2020,1,2,14,1.32,347.3,99.7,4.02,17.38
2020,1,2,15,2.36,3.2,99.68,4.92,16.31
2020,1,2,16,3.7,13.8,99.67,5.24,13.18
2020,1,2,17,4.5,21.3,99.7,4.65,11.06
2020,1,2,18,4.66,27.2,99.72,4.58,10.42
2020,1,2,19,4.3,32.2,99.73,4.52,10.08
2020,1,2,20,3.79,35.5,99.74,4.45,9.88
2020,1,2,21,3.3,34.1,99.75,4.37,9.72
2020,1,2,22,2.89,24.8,99.73,4.29,9.35
2020,1,2,23,2.71,5.9,99.71,4.14,8.76
2020,1,3,0,3.17,346.3,99.69,4.09,7.67
2020,1,3,1,3.88,337.4,99.68,4.07,6.55
2020,1,3,2,4.32,336.8,99.63,4.0,5.8
2020,1,3,3,4.53,338.5,99.57,3.91,5.24
2020,1,3,4,4.72,339.9,99.53,3.83,4.82
2020,1,3,5,4.57,344.7,99.54,3.78,4.65
2020,1,3,6,4.19,350.1,99.57,3.76,4.7
2020,1,3,7,3.53,355.0,99.6,3.88,5.64
2020,1,3,8,2.32,352.3,99.65,4.0,9.09
2020,1,3,9,0.99,324.9,99.7,4.01,11.6
2020,1,3,10,1.16,286.6,99.68,4.12,15.92
2020,1,3,11,1.73,254.3,99.57,4.3,18.84
2020,1,3,12,2.25,246.4,99.43,4.39,19.78
2020,1,3,13,2.54,247.8,99.32,4.3,20.16
2020,1,3,14,2.84,255.3,99.25,4.18,19.88
2020,1,3,15,3.16,266.0,99.22,4.94,18.6
2020,1,3,16,3.53,276.7,99.22,5.39,15.0
2020,1,3,17,3.84,285.1,99.26,4.56,12.86
2020,1,3,18,4.04,291.8,99.33,4.49,11.88
2020,1,3,19,4.01,298.0,99.38,4.43,11.17
2020,1,3,20,3.65,304.0,99.42,4.36,10.84
2020,1,3,21,3.05,310.7,99.43,4.29,10.78
2020,1,3,22,2.46,318.1,99.44,4.23,10.73
2020,1,3,23,1.94,323.6,99.43,4.2,10.26
2020,1,4,0,1.35,327.1,99.4,4.16,10.44
2020,1,4,1,0.57,333.0,99.35,4.15,10.49
2020,1,4,2,0.21,121.4,99.31,4.11,10.13
2020,1,4,3,0.8,144.1,99.26,4.09,9.59
2020,1,4,4,1.27,151.2,99.25,4.09,8.7
2020,1,4,5,1.68,159.8,99.27,4.08,7.92
2020,1,4,6,2.03,171.2,99.32,4.07,7.38
2020,1,4,7,2.35,183.2,99.38,4.15,7.41
2020,1,4,8,2.27,193.0,99.45,4.38,9.73
2020,1,4,9,1.6,200.9,99.52,4.37,11.89
2020,1,4,10,2.2,238.4,99.53,4.47,15.94
2020,1,4,11,2.87,259.6,99.45,4.43,18.42
2020,1,4,12,2.86,266.8,99.33,4.41,19.15
2020,1,4,13,2.72,270.4,99.22,4.39,19.34
2020,1,4,14,2.51,271.4,99.15,4.4,19.17
2020,1,4,15,2.23,277.0,99.13,5.1,18.31
2020,1,4,16,1.95,300.9,99.16,5.48,16.21
2020,1,4,17,2.04,329.7,99.23,4.83,15.02
2020,1,4,18,2.34,352.6,99.31,4.74,14.0
2020,1,4,19,2.58,7.3,99.38,4.69,13.29
2020,1,4,20,2.78,20.8,99.42,4.56,12.34
2020,1,4,21,3.11,33.3,99.43,4.48,11.27
2020,1,4,22,3.41,43.1,99.43,4.45,10.29
2020,1,4,23,3.75,51.6,99.39,4.44,9.29
2020,1,5,0,3.99,58.5,99.37,4.43,8.39
2020,1,5,1,4.21,64.7,99.35,4.43,7.57
2020,1,5,2,4.58,67.8,99.35,4.44,6.78
2020,1,5,3,4.78,68.6,99.34,4.46,6.19
2020,1,5,4,4.97,70.6,99.33,4.47,5.7
2020,1,5,5,4.85,73.4,99.34,4.49,5.38
2020,1,5,6,4.17,74.8,99.4,4.5,5.42
2020,1,5,7,3.4,73.4,99.46,4.57,6.37
2020,1,5,8,2.31,67.6,99.53,4.79,9.67
2020,1,5,9,1.23,62.8,99.57,4.83,11.3
2020,1,5,10,0.58,31.0,99.53,4.98,13.11
2020,1,5,11,0.87,346.0,99.47,4.72,15.15
2020,1,5,12,1.17,317.4,99.41,4.52,16.15
2020,1,5,13,1.64,317.0,99.34,4.7,16.01
2020,1,5,14,2.08,309.1,99.32,5.14,15.56
2020,1,5,15,2.73,308.3,99.32,5.94,14.22
2020,1,5,16,3.99,320.6,99.36,5.44,12.28
2020,1,5,17,4.78,335.0,99.42,5.15,11.01
2020,1,5,18,5.16,345.6,99.51,5.11,10.61
2020,1,5,19,5.15,0.4,99.54,5.12,10.22
2020,1,5,20,5.54,12.6,99.54,5.14,9.83
2020,1,5,21,5.85,9.6,99.58,5.15,9.59
2020,1,5,22,6.57,4.9,99.61,5.15,9.51
2020,1,5,23,7.16,6.0,99.6,5.2,9.46
2020,1,6,0,7.2,13.0,99.55,5.3,9.2
2020,1,6,1,6.86,19.6,99.53,5.41,8.93
2020,1,6,2,6.58,28.0,99.5,5.47,8.68
2020,1,6,3,6.32,36.7,99.48,5.5,8.51
2020,1,6,4,6.06,49.1,99.43,5.53,8.36
2020,1,6,5,5.66,54.3,99.46,5.58,8.19
2020,1,6,6,4.9,78.6,99.43,5.6,8.06
2020,1,6,7,2.56,49.0,99.57,5.74,8.37
2020,1,6,8,1.41,23.5,99.67,6.13,9.4
2020,1,6,9,0.24,7.1,99.72,6.1,10.05
2020,1,6,10,0.38,125.4,99.73,6.2,10.75
2020,1,6,11,0.88,118.6,99.66,6.29,11.23
2020,1,6,12,2.21,94.2,99.54,6.38,11.1
2020,1,6,13,2.56,93.1,99.47,6.49,11.47
2020,1,6,14,2.85,100.5,99.45,6.53,11.15
2020,1,6,15,3.0,110.9,99.46,6.65,10.57
2020,1,6,16,3.11,113.3,99.49,6.85,9.94
2020,1,6,17,4.09,109.7,99.49,6.8,9.24
2020,1,6,18,4.57,105.7,99.5,6.73,8.69
