-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  32.086   Longitude 73.88 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 205.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.42,339.8,99.67,3.56,6.45
2020,1,1,1,2.23,339.5,99.66,3.55,5.39
2020,1,1,2,2.74,347.6,99.66,3.53,4.51
2020,1,1,3,2.93,357.7,99.62,3.51,4.01
2020,1,1,4,2.84,8.1,99.61,3.5,3.83
2020,1,1,5,2.47,20.6,99.63,3.48,3.95
2020,1,1,6,1.88,38.1,99.69,3.47,4.25
2020,1,1,7,1.24,68.8,99.75,3.52,5.14
2020,1,1,8,1.04,120.0,99.84,3.74,6.79
2020,1,1,9,1.09,158.4,99.93,3.72,8.53
2020,1,1,10,1.28,164.1,99.97,3.87,11.11
2020,1,1,11,2.03,153.4,99.93,3.79,14.16
2020,1,1,12,2.25,142.4,99.85,3.77,15.07
2020,1,1,13,2.35,131.4,99.8,3.77,15.42
2020,1,1,14,2.21,119.6,99.76,3.78,15.48
2020,1,1,15,2.03,103.7,99.75,4.08,14.79
2020,1,1,16,1.87,85.1,99.75,4.58,12.33
2020,1,1,17,1.84,70.3,99.79,3.97,10.5
2020,1,1,18,1.87,60.6,99.86,3.86,9.65
2020,1,1,19,1.89,54.9,99.92,3.82,8.99
2020,1,1,20,1.84,52.5,99.95,3.81,8.84
2020,1,1,21,1.51,42.6,99.97,3.82,8.84
2020,1,1,22,1.15,6.5,99.98,3.83,8.77
2020,1,1,23,1.62,324.1,99.96,3.86,8.08
2020,1,2,0,2.51,311.6,99.93,3.89,7.27
2020,1,2,1,3.47,312.4,99.9,3.98,6.41
2020,1,2,2,4.29,318.2,99.88,4.02,5.96
2020,1,2,3,4.66,324.4,99.85,4.01,5.84
2020,1,2,4,4.56,329.4,99.84,4.02,5.85
2020,1,2,5,4.12,332.7,99.87,4.02,5.94
2020,1,2,6,3.54,333.9,99.93,3.99,6.16
2020,1,2,7,2.94,331.5,99.97,4.03,6.72
2020,1,2,8,2.06,334.4,100.02,4.59,8.54
2020,1,2,9,0.99,328.2,100.05,3.98,10.44
2020,1,2,10,1.53,252.9,100.08,3.87,12.51
2020,1,2,11,2.66,249.0,100.01,3.58,14.9
2020,1,2,12,2.31,257.5,99.9,3.43,16.39
2020,1,2,13,1.48,272.7,99.81,3.37,17.24
2020,1,2,14,0.95,306.9,99.76,3.36,17.34
2020,1,2,15,1.0,1.7,99.72,4.29,16.52
2020,1,2,16,1.66,36.9,99.71,4.34,14.61
2020,1,2,17,2.11,51.3,99.73,3.97,13.14
2020,1,2,18,2.23,66.2,99.75,3.96,12.49
2020,1,2,19,1.94,81.1,99.76,3.9,12.23
2020,1,2,20,1.23,92.3,99.77,3.79,12.21
2020,1,2,21,0.13,57.5,99.78,3.67,12.24
2020,1,2,22,1.31,296.8,99.79,3.65,10.78
2020,1,2,23,2.63,299.9,99.78,3.66,8.97
2020,1,3,0,3.5,307.3,99.75,3.71,7.5
2020,1,3,1,3.63,316.9,99.72,3.7,6.89
2020,1,3,2,3.62,327.4,99.67,3.68,6.45
2020,1,3,3,3.81,336.8,99.61,3.69,5.89
2020,1,3,4,3.87,344.2,99.57,3.76,5.9
2020,1,3,5,3.8,350.3,99.57,3.81,5.9
2020,1,3,6,3.47,353.0,99.59,3.85,6.09
2020,1,3,7,3.1,347.1,99.63,3.93,6.39
2020,1,3,8,2.42,332.9,99.68,4.14,9.33
2020,1,3,9,1.38,300.1,99.72,3.97,11.8
2020,1,3,10,1.77,268.4,99.69,4.0,15.68
2020,1,3,11,2.14,247.2,99.59,3.89,18.52
2020,1,3,12,2.5,236.4,99.46,3.98,19.44
2020,1,3,13,2.75,235.4,99.35,4.0,19.83
2020,1,3,14,3.0,241.7,99.27,4.01,19.55
2020,1,3,15,3.14,250.6,99.24,4.88,18.32
2020,1,3,16,3.36,258.9,99.24,5.57,14.89
2020,1,3,17,3.62,266.2,99.28,4.78,12.86
2020,1,3,18,3.77,273.0,99.35,4.7,11.96
2020,1,3,19,3.77,280.7,99.4,4.63,11.25
2020,1,3,20,3.46,290.0,99.43,4.54,10.84
