-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  32.086   Longitude 72.39 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 178.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.57,337.3,100.0,2.67,6.31
2020,1,1,1,3.37,349.1,99.98,2.65,5.24
2020,1,1,2,3.81,2.3,99.96,2.64,4.57
2020,1,1,3,4.05,15.8,99.93,2.64,4.12
2020,1,1,4,4.31,27.9,99.91,2.68,3.65
2020,1,1,5,4.48,37.7,99.93,2.74,3.25
2020,1,1,6,4.29,45.3,100.0,2.83,3.04
2020,1,1,7,3.76,51.3,100.07,2.94,3.57
2020,1,1,8,2.93,55.6,100.16,3.12,6.73
2020,1,1,9,1.76,58.0,100.25,3.19,8.78
2020,1,1,10,1.03,125.1,100.28,2.98,12.24
2020,1,1,11,1.32,147.0,100.23,2.92,14.58
2020,1,1,12,1.21,152.0,100.15,2.93,15.78
2020,1,1,13,1.17,134.7,100.08,2.92,16.45
2020,1,1,14,1.49,110.9,100.03,2.93,16.4
2020,1,1,15,1.82,99.8,100.03,2.97,15.62
2020,1,1,16,1.94,100.7,100.04,3.56,13.38
2020,1,1,17,2.04,101.0,100.08,3.3,11.64
2020,1,1,18,2.13,94.3,100.16,3.31,10.73
2020,1,1,19,2.01,80.8,100.23,3.3,10.17
2020,1,1,20,1.8,61.9,100.28,3.32,9.92
2020,1,1,21,1.75,45.2,100.32,3.37,9.75
2020,1,1,22,1.89,29.1,100.32,3.4,9.42
2020,1,1,23,2.11,14.0,100.31,3.41,9.07
2020,1,2,0,2.57,5.1,100.26,3.41,8.6
2020,1,2,1,3.15,4.4,100.24,3.41,8.13
2020,1,2,2,3.61,7.2,100.21,3.4,7.75
2020,1,2,3,3.84,9.0,100.17,3.39,7.41
2020,1,2,4,3.96,8.7,100.16,3.39,7.08
2020,1,2,5,4.17,8.8,100.19,3.38,6.66
2020,1,2,6,4.4,11.9,100.24,3.39,6.12
2020,1,2,7,4.53,21.1,100.27,3.42,5.92
2020,1,2,8,3.97,28.6,100.31,3.53,8.97
2020,1,2,9,1.77,13.7,100.41,3.53,11.21
2020,1,2,10,1.34,244.4,100.42,3.25,14.46
2020,1,2,11,2.25,242.4,100.31,3.33,16.49
2020,1,2,12,2.51,241.5,100.18,3.57,17.51
2020,1,2,13,2.47,244.9,100.1,3.71,17.54
2020,1,2,14,2.06,248.4,100.04,3.77,17.11
2020,1,2,15,1.53,245.3,100.01,3.94,16.43
2020,1,2,16,1.71,238.2,100.01,4.4,14.58
2020,1,2,17,2.14,239.0,100.03,4.02,13.03
2020,1,2,18,2.83,249.5,100.06,3.93,11.92
2020,1,2,19,3.77,260.1,100.08,3.81,10.63
2020,1,2,20,4.86,271.9,100.12,3.63,9.2
2020,1,2,21,5.53,283.3,100.14,3.51,8.27
2020,1,2,22,5.77,293.5,100.13,3.48,7.77
2020,1,2,23,5.69,304.1,100.11,3.52,7.43
2020,1,3,0,5.24,318.8,100.06,3.61,7.41
2020,1,3,1,4.85,335.1,100.02,3.7,7.9
2020,1,3,2,4.87,353.0,99.97,3.79,7.95
2020,1,3,3,4.98,4.1,99.92,3.86,7.81
2020,1,3,4,4.82,11.8,99.89,3.91,7.59
2020,1,3,5,4.63,14.6,99.89,3.93,6.69
2020,1,3,6,4.64,11.2,99.93,3.96,6.01
2020,1,3,7,4.72,5.3,99.97,4.02,6.21
2020,1,3,8,3.91,3.5,100.01,4.14,9.52
2020,1,3,9,2.07,0.6,100.04,4.25,11.97
2020,1,3,10,1.11,253.8,100.01,4.06,16.27
2020,1,3,11,2.39,227.5,99.9,4.09,18.42
2020,1,3,12,3.01,227.2,99.76,4.15,19.36
2020,1,3,13,3.22,228.1,99.64,4.17,19.81
2020,1,3,14,3.33,232.9,99.56,4.18,19.62
2020,1,3,15,3.41,240.9,99.53,4.19,18.87
2020,1,3,16,3.61,248.6,99.54,4.65,15.73
2020,1,3,17,3.75,259.9,99.58,4.31,13.03
2020,1,3,18,3.56,276.0,99.65,4.19,12.34
2020,1,3,19,3.39,298.4,99.71,4.12,11.75
2020,1,3,20,3.47,323.6,99.73,4.15,10.91
2020,1,3,21,3.85,346.9,99.75,4.23,9.81
2020,1,3,22,4.45,4.3,99.76,4.36,8.8
2020,1,3,23,4.94,16.0,99.75,4.5,8.01
2020,1,4,0,5.3,26.2,99.7,4.61,7.37
2020,1,4,1,5.51,33.5,99.65,4.68,6.82
2020,1,4,2,5.55,37.0,99.62,4.7,6.38
2020,1,4,3,5.42,37.7,99.58,4.7,6.0
2020,1,4,4,5.19,36.8,99.57,4.7,5.71
2020,1,4,5,4.94,35.2,99.6,4.71,5.48
2020,1,4,6,4.71,33.5,99.65,4.72,5.24
2020,1,4,7,4.61,32.4,99.71,4.73,5.67
2020,1,4,8,3.96,32.8,99.77,4.74,9.16
2020,1,4,9,2.4,34.5,99.84,4.72,12.17
2020,1,4,10,0.44,0.0,99.84,4.36,16.64
2020,1,4,11,0.49,271.2,99.75,4.17,18.76
2020,1,4,12,0.71,269.2,99.62,4.06,19.59
2020,1,4,13,0.76,286.8,99.51,3.94,19.89
2020,1,4,14,0.83,299.7,99.44,3.83,19.75
2020,1,4,15,0.88,313.6,99.43,3.85,19.25
2020,1,4,16,1.13,339.3,99.48,4.23,17.39
2020,1,4,17,1.8,7.3,99.55,3.93,15.45
2020,1,4,18,2.69,27.9,99.63,3.86,14.15
2020,1,4,19,3.42,42.7,99.7,3.8,12.68
2020,1,4,20,3.99,55.8,99.73,3.76,11.36
2020,1,4,21,4.38,67.4,99.74,3.71,10.28
2020,1,4,22,4.66,76.4,99.72,3.7,9.37
2020,1,4,23,4.63,81.9,99.71,3.72,8.73
2020,1,5,0,4.49,83.7,99.68,3.73,8.16
2020,1,5,1,4.61,79.8,99.66,3.75,7.49
2020,1,5,2,4.83,70.7,99.66,3.78,6.81
2020,1,5,3,5.41,62.5,99.66,3.82,6.24
2020,1,5,4,6.11,56.8,99.65,3.87,6.0
2020,1,5,5,6.31,52.6,99.7,3.94,5.89
2020,1,5,6,6.35,49.2,99.78,4.01,6.07
2020,1,5,7,6.26,46.6,99.84,4.06,6.92
2020,1,5,8,5.14,44.1,99.91,4.08,8.59
2020,1,5,9,3.71,39.3,99.94,4.08,9.71
2020,1,5,10,2.7,23.8,99.94,4.12,11.04
2020,1,5,11,2.28,1.5,99.9,4.22,12.36
2020,1,5,12,2.45,7.3,99.79,4.21,13.96
2020,1,5,13,2.63,3.0,99.71,4.22,14.77
2020,1,5,14,2.79,357.5,99.69,4.33,14.72
2020,1,5,15,3.18,3.8,99.71,4.69,13.75
2020,1,5,16,3.85,15.8,99.73,4.79,11.9
2020,1,5,17,4.69,21.3,99.77,4.79,10.51
2020,1,5,18,5.69,25.2,99.82,4.93,10.07
2020,1,5,19,6.44,25.1,99.85,5.09,9.74
2020,1,5,20,6.35,21.7,99.9,5.26,9.3
2020,1,5,21,6.54,16.9,99.96,5.42,9.13
2020,1,5,22,6.6,17.4,99.99,5.56,8.9
2020,1,5,23,6.65,22.6,99.94,5.62,8.65
2020,1,6,0,6.34,22.2,99.91,5.66,8.44
2020,1,6,1,6.06,21.2,99.9,5.68,8.26
2020,1,6,2,5.69,21.6,99.87,5.69,8.08
2020,1,6,3,5.15,28.0,99.82,5.67,7.81
2020,1,6,4,4.87,41.8,99.82,5.64,7.75
2020,1,6,5,4.43,49.5,99.81,5.6,7.18
2020,1,6,6,4.28,24.3,99.96,5.66,7.23
2020,1,6,7,3.3,40.0,99.97,5.7,7.21
2020,1,6,8,2.31,35.1,100.02,5.77,7.89
2020,1,6,9,1.8,20.1,100.08,5.92,8.42
2020,1,6,10,1.15,43.6,100.08,5.96,9.14
2020,1,6,11,1.66,88.3,99.93,6.0,9.97
2020,1,6,12,0.81,118.8,99.86,6.03,10.99
2020,1,6,13,1.1,139.1,99.75,6.01,11.17
2020,1,6,14,0.7,142.0,99.74,6.06,11.03
2020,1,6,15,0.96,116.0,99.75,6.14,10.78
2020,1,6,16,1.49,103.6,99.74,6.55,10.17
2020,1,6,17,1.66,87.6,99.76,6.62,9.58
2020,1,6,18,1.27,87.7,99.85,6.6,9.43
2020,1,6,19,1.4,80.1,99.86,6.71,9.21
2020,1,6,20,1.14,65.0,99.88,6.74,9.1
2020,1,6,21,0.79,70.9,99.9,6.66,9.05
2020,1,6,22,0.45,46.8,99.89,6.7,9.07
2020,1,6,23,0.63,9.2,99.86,6.61,8.98
2020,1,7,0,1.0,346.1,99.85,6.62,8.8
2020,1,7,1,1.26,342.9,99.83,6.63,8.68
2020,1,7,2,1.6,345.9,99.79,6.61,8.6
