-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  32.349   Longitude 73.135 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 298.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.01,335.5,98.6,3.15,4.98
2020,1,1,1,3.84,340.5,98.6,3.15,3.85
2020,1,1,2,4.38,348.3,98.58,3.16,3.12
2020,1,1,3,4.63,355.5,98.54,3.19,2.71
2020,1,1,4,4.62,2.7,98.51,3.25,2.44
2020,1,1,5,4.29,9.9,98.53,3.3,2.42
2020,1,1,6,3.67,16.6,98.58,3.34,2.82
2020,1,1,7,2.82,21.5,98.64,3.37,3.93
2020,1,1,8,1.92,21.1,98.73,3.69,6.8
2020,1,1,9,1.02,9.6,98.82,3.56,9.11
2020,1,1,10,0.94,148.5,98.87,3.58,12.25
2020,1,1,11,2.06,151.3,98.82,3.46,14.49
2020,1,1,12,2.45,146.8,98.76,3.44,15.35
2020,1,1,13,2.54,141.2,98.71,3.44,15.84
2020,1,1,14,2.48,128.9,98.68,3.46,15.63
2020,1,1,15,2.58,115.5,98.67,3.53,14.61
2020,1,1,16,2.72,112.9,98.67,4.28,11.81
2020,1,1,17,2.47,115.9,98.72,3.88,9.93
2020,1,1,18,1.91,112.5,98.79,3.71,9.48
2020,1,1,19,1.38,96.2,98.86,3.63,9.25
2020,1,1,20,0.96,66.1,98.9,3.63,9.22
2020,1,1,21,0.77,12.8,98.92,3.63,9.0
2020,1,1,22,1.21,330.9,98.94,3.63,8.44
2020,1,1,23,1.92,320.1,98.92,3.64,7.88
2020,1,2,0,2.77,320.0,98.88,3.68,7.27
2020,1,2,1,3.69,328.3,98.86,3.72,6.63
2020,1,2,2,4.26,340.4,98.83,3.74,6.39
2020,1,2,3,4.4,353.1,98.78,3.75,6.29
2020,1,2,4,4.2,3.1,98.77,3.76,6.22
2020,1,2,5,3.73,7.7,98.79,3.75,6.24
2020,1,2,6,3.23,5.3,98.84,3.71,6.37
2020,1,2,7,2.74,3.1,98.89,3.74,6.81
2020,1,2,8,2.25,11.8,98.92,4.18,8.66
2020,1,2,9,1.18,3.9,98.97,3.76,10.71
2020,1,2,10,1.26,226.9,99.0,3.55,13.28
2020,1,2,11,2.28,227.8,98.93,3.25,15.44
2020,1,2,12,1.97,231.8,98.81,3.18,16.85
2020,1,2,13,1.26,231.8,98.71,3.29,17.46
2020,1,2,14,0.52,227.4,98.66,3.39,17.43
2020,1,2,15,0.25,96.8,98.63,3.91,16.79
2020,1,2,16,0.9,91.9,98.63,4.06,15.12
2020,1,2,17,1.44,108.7,98.64,3.73,13.58
2020,1,2,18,1.49,128.5,98.66,3.67,12.85
2020,1,2,19,1.26,165.3,98.68,3.6,12.48
2020,1,2,20,1.44,224.4,98.7,3.6,11.57
2020,1,2,21,2.24,263.1,98.72,3.58,10.1
2020,1,2,22,2.98,287.4,98.71,3.56,8.94
2020,1,2,23,3.61,305.8,98.69,3.54,7.79
2020,1,3,0,3.8,321.0,98.65,3.51,7.14
2020,1,3,1,3.82,332.8,98.62,3.49,6.74
2020,1,3,2,4.24,341.4,98.58,3.52,6.4
2020,1,3,3,4.72,348.6,98.53,3.58,6.24
2020,1,3,4,4.98,352.5,98.49,3.63,6.14
2020,1,3,5,5.0,354.7,98.48,3.65,6.01
2020,1,3,6,5.02,351.2,98.51,3.62,5.32
2020,1,3,7,5.14,345.2,98.55,3.7,5.62
2020,1,3,8,4.52,339.6,98.59,3.92,9.22
2020,1,3,9,3.13,330.7,98.62,3.97,11.62
2020,1,3,10,2.03,302.5,98.6,4.08,14.92
2020,1,3,11,1.71,254.7,98.51,3.96,17.63
2020,1,3,12,2.02,233.9,98.38,4.01,18.64
2020,1,3,13,2.22,229.6,98.27,4.05,19.03
2020,1,3,14,2.24,233.3,98.19,4.11,18.79
2020,1,3,15,2.13,243.2,98.16,4.45,17.88
2020,1,3,16,2.1,260.1,98.15,5.12,15.39
2020,1,3,17,2.41,283.2,98.19,4.55,13.43
2020,1,3,18,3.02,305.7,98.25,4.5,11.88
2020,1,3,19,3.88,326.0,98.31,4.46,10.26
2020,1,3,20,4.72,342.8,98.33,4.46,9.1
2020,1,3,21,5.36,354.8,98.36,4.51,8.22
2020,1,3,22,5.63,1.3,98.37,4.57,7.44
2020,1,3,23,5.43,5.4,98.36,4.62,6.75
2020,1,4,0,4.98,10.9,98.32,4.64,6.2
2020,1,4,1,4.47,16.7,98.27,4.65,5.8
2020,1,4,2,4.09,20.5,98.23,4.64,5.52
