-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  30.814   Longitude 73.88 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 184.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,0.31,7.3,99.88,3.21,7.36
2020,1,1,1,1.24,345.5,99.89,3.22,6.31
2020,1,1,2,1.97,358.0,99.88,3.24,5.28
2020,1,1,3,2.47,12.4,99.86,3.27,4.56
2020,1,1,4,2.82,28.1,99.85,3.31,3.87
2020,1,1,5,3.05,45.5,99.88,3.35,3.35
2020,1,1,6,3.14,63.9,99.95,3.39,3.0
2020,1,1,7,3.14,83.8,100.02,3.42,3.32
2020,1,1,8,2.91,102.3,100.1,3.49,6.3
2020,1,1,9,2.11,116.8,100.18,3.55,8.6
2020,1,1,10,2.45,119.9,100.2,3.54,12.39
2020,1,1,11,2.63,120.4,100.15,3.42,14.91
2020,1,1,12,2.55,114.8,100.06,3.33,15.71
2020,1,1,13,2.62,105.0,99.99,3.27,15.97
2020,1,1,14,2.61,93.3,99.96,3.25,15.78
2020,1,1,15,2.61,81.4,99.94,3.47,15.07
2020,1,1,16,2.56,65.0,99.95,3.93,12.39
2020,1,1,17,2.74,45.4,100.0,3.45,10.32
2020,1,1,18,3.23,34.5,100.07,3.39,9.02
2020,1,1,19,3.7,33.3,100.13,3.37,7.88
2020,1,1,20,4.01,37.0,100.16,3.39,7.08
2020,1,1,21,4.06,38.6,100.18,3.45,6.84
2020,1,1,22,3.89,34.8,100.18,3.53,6.86
2020,1,1,23,3.75,25.7,100.16,3.59,6.73
