-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  30.814   Longitude 72.39 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 157.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.88,10.1,100.21,2.66,6.72
2020,1,1,1,2.65,6.1,100.21,2.65,5.68
2020,1,1,2,3.32,9.9,100.19,2.65,4.6
2020,1,1,3,3.77,19.7,100.17,2.65,3.78
2020,1,1,4,4.04,32.3,100.15,2.67,3.21
2020,1,1,5,4.14,45.7,100.19,2.72,2.85
2020,1,1,6,4.0,59.3,100.26,2.79,2.69
2020,1,1,7,3.65,73.9,100.34,2.86,3.22
2020,1,1,8,2.96,88.8,100.42,2.99,6.24
2020,1,1,9,1.81,100.5,100.5,3.06,8.31
2020,1,1,10,1.68,104.9,100.52,3.1,11.55
2020,1,1,11,1.87,106.5,100.47,3.08,14.21
2020,1,1,12,1.62,99.6,100.37,3.13,15.03
2020,1,1,13,1.68,82.5,100.3,3.15,15.7
2020,1,1,14,2.1,72.3,100.25,3.16,15.98
2020,1,1,15,2.46,67.3,100.24,3.17,15.39
2020,1,1,16,2.62,60.5,100.25,3.56,12.69
2020,1,1,17,2.88,55.3,100.31,3.33,10.39
2020,1,1,18,3.22,55.0,100.38,3.21,9.27
2020,1,1,19,3.46,53.9,100.44,3.19,8.56
2020,1,1,20,3.32,49.0,100.49,3.22,8.39
2020,1,1,21,3.14,41.0,100.53,3.26,8.35
2020,1,1,22,3.11,34.0,100.54,3.26,8.09
2020,1,1,23,3.15,23.8,100.52,3.25,7.8
2020,1,2,0,3.36,12.0,100.5,3.25,7.47
2020,1,2,1,3.58,5.1,100.47,3.24,7.04
2020,1,2,2,3.95,3.1,100.44,3.25,6.45
2020,1,2,3,4.24,3.7,100.4,3.26,5.93
2020,1,2,4,4.31,4.9,100.4,3.28,5.46
2020,1,2,5,4.23,8.1,100.43,3.3,4.97
2020,1,2,6,4.1,13.7,100.49,3.31,4.59
2020,1,2,7,3.9,24.4,100.53,3.33,4.92
2020,1,2,8,2.91,28.9,100.59,3.4,8.17
2020,1,2,9,1.59,359.6,100.66,3.45,10.39
2020,1,2,10,1.69,311.6,100.66,3.17,14.11
2020,1,2,11,1.93,302.9,100.57,3.21,15.67
2020,1,2,12,2.17,302.4,100.44,3.32,16.1
2020,1,2,13,2.24,309.0,100.35,3.39,16.19
2020,1,2,14,2.23,322.5,100.29,3.45,16.12
2020,1,2,15,2.23,331.4,100.26,3.73,15.54
2020,1,2,16,2.71,327.9,100.25,4.2,13.38
2020,1,2,17,3.18,324.6,100.28,3.82,11.83
2020,1,2,18,3.35,316.3,100.32,3.75,11.28
2020,1,2,19,3.57,305.2,100.36,3.67,10.67
2020,1,2,20,4.35,300.1,100.38,3.45,9.24
2020,1,2,21,5.15,302.0,100.4,3.27,8.02
2020,1,2,22,5.76,306.2,100.4,3.16,7.32
2020,1,2,23,6.23,310.5,100.37,3.1,6.93
2020,1,3,0,6.26,316.7,100.32,3.1,6.73
2020,1,3,1,5.82,325.1,100.28,3.18,6.86
2020,1,3,2,5.23,335.6,100.23,3.25,6.61
2020,1,3,3,4.76,343.5,100.19,3.33,5.94
2020,1,3,4,4.12,354.0,100.16,3.39,5.67
2020,1,3,5,3.47,4.5,100.15,3.43,5.84
2020,1,3,6,2.8,9.0,100.19,3.47,6.18
2020,1,3,7,2.2,359.7,100.24,3.49,6.73
2020,1,3,8,1.54,335.9,100.29,3.64,8.97
2020,1,3,9,1.18,286.3,100.33,3.65,11.2
2020,1,3,10,2.03,264.1,100.29,3.7,15.27
2020,1,3,11,2.88,251.8,100.17,3.84,18.41
2020,1,3,12,3.33,247.8,100.02,3.99,19.55
2020,1,3,13,3.49,247.0,99.89,4.07,20.12
2020,1,3,14,3.55,250.1,99.81,4.1,20.01
2020,1,3,15,3.56,256.0,99.77,4.14,19.29
2020,1,3,16,3.54,264.3,99.78,4.63,16.07
2020,1,3,17,3.34,273.3,99.82,4.24,13.84
2020,1,3,18,2.72,281.4,99.89,4.09,13.62
2020,1,3,19,2.14,292.2,99.94,4.03,13.43
2020,1,3,20,1.71,306.2,99.96,4.02,13.24
2020,1,3,21,1.44,320.9,99.99,4.02,12.82
2020,1,3,22,1.32,335.4,100.0,4.02,12.31
2020,1,3,23,1.18,352.7,99.98,4.03,11.41
2020,1,4,0,1.01,32.9,99.93,4.04,10.84
2020,1,4,1,1.33,81.3,99.88,4.04,10.03
2020,1,4,2,1.82,110.6,99.83,4.04,9.1
2020,1,4,3,2.15,130.7,99.78,4.05,8.31
2020,1,4,4,2.27,149.0,99.77,4.06,7.74
2020,1,4,5,2.34,167.4,99.79,4.06,7.2
2020,1,4,6,2.39,183.1,99.85,4.07,6.83
2020,1,4,7,2.4,193.2,99.91,4.08,6.86
2020,1,4,8,1.98,196.1,99.98,4.1,9.13
2020,1,4,9,1.39,193.7,100.04,4.15,11.57
2020,1,4,10,1.81,182.5,100.04,4.2,14.68
2020,1,4,11,2.38,183.6,99.95,4.2,17.66
2020,1,4,12,2.17,191.2,99.82,4.18,19.16
2020,1,4,13,1.66,201.2,99.7,4.15,19.81
2020,1,4,14,1.06,221.2,99.63,4.12,19.8
2020,1,4,15,0.71,266.8,99.62,4.37,19.27
2020,1,4,16,1.06,326.9,99.65,4.71,17.54
2020,1,4,17,1.76,358.7,99.72,4.21,15.62
2020,1,4,18,2.51,20.3,99.81,4.06,14.54
2020,1,4,19,3.03,36.4,99.89,4.02,13.47
2020,1,4,20,3.52,51.6,99.93,4.01,12.31
2020,1,4,21,3.92,65.1,99.94,4.01,11.21
2020,1,4,22,4.37,78.1,99.93,4.01,10.13
2020,1,4,23,4.66,88.3,99.91,4.02,9.25
2020,1,5,0,5.19,93.8,99.87,4.04,8.4
2020,1,5,1,5.91,95.6,99.83,4.07,7.89
2020,1,5,2,6.19,94.1,99.83,4.09,7.61
2020,1,5,3,6.45,90.4,99.82,4.12,7.08
2020,1,5,4,6.67,87.1,99.82,4.14,6.71
2020,1,5,5,6.47,83.6,99.87,4.17,6.58
2020,1,5,6,6.19,79.9,99.94,4.2,6.77
2020,1,5,7,5.8,75.7,100.01,4.23,7.29
2020,1,5,8,4.1,71.8,100.09,4.27,8.32
2020,1,5,9,2.69,64.0,100.13,4.3,9.33
2020,1,5,10,1.89,46.5,100.13,4.38,10.56
2020,1,5,11,1.75,24.2,100.06,4.53,11.7
2020,1,5,12,2.14,44.4,99.95,4.55,13.68
2020,1,5,13,2.47,53.5,99.87,4.49,15.15
2020,1,5,14,2.73,50.1,99.84,4.47,15.41
2020,1,5,15,3.37,38.7,99.83,4.64,14.69
2020,1,5,16,4.67,31.7,99.84,4.71,12.83
2020,1,5,17,5.48,34.1,99.89,4.57,11.44
2020,1,5,18,5.76,41.0,99.94,4.57,11.04
2020,1,5,19,5.65,48.9,99.97,4.6,10.55
2020,1,5,20,5.62,48.4,100.03,4.62,10.15
2020,1,5,21,5.45,45.8,100.1,4.66,9.99
2020,1,5,22,5.52,45.5,100.13,4.73,9.73
2020,1,5,23,5.78,48.2,100.09,4.84,9.33
2020,1,6,0,6.03,44.3,100.07,4.98,9.02
2020,1,6,1,5.8,39.6,100.06,5.15,8.76
2020,1,6,2,5.36,37.0,100.08,5.35,8.38
2020,1,6,3,5.03,44.5,100.03,5.54,7.93
2020,1,6,4,4.91,45.2,100.0,5.66,7.42
2020,1,6,5,4.44,52.0,100.02,5.76,7.27
2020,1,6,6,3.49,37.7,100.08,5.77,6.59
2020,1,6,7,4.1,19.7,100.19,5.82,7.03
2020,1,6,8,3.2,35.5,100.23,5.9,7.58
2020,1,6,9,2.8,32.9,100.27,6.05,8.15
2020,1,6,10,2.63,34.3,100.29,6.16,9.19
2020,1,6,11,2.46,58.3,100.14,6.14,9.99
2020,1,6,12,0.95,51.4,100.06,6.28,11.56
2020,1,6,13,0.23,135.0,99.96,6.31,12.08
2020,1,6,14,0.29,153.4,99.93,6.41,11.92
2020,1,6,15,0.22,110.9,99.96,6.48,11.67
2020,1,6,16,1.02,85.5,99.94,6.71,11.09
2020,1,6,17,1.48,70.7,99.96,6.77,10.13
2020,1,6,18,0.79,28.8,100.07,6.92,9.98
2020,1,6,19,0.94,39.8,100.07,6.84,9.65
2020,1,6,20,0.6,7.7,100.1,6.75,9.45
2020,1,6,21,0.73,334.1,100.11,6.68,9.22
2020,1,6,22,1.24,327.2,100.11,6.65,8.83
2020,1,6,23,1.64,325.0,100.08,6.58,8.43
2020,1,7,0,2.17,313.3,100.07,6.54,8.06
2020,1,7,1,2.56,311.7,100.05,6.48,7.78
2020,1,7,2,2.89,314.0,100.02,6.39,7.42
2020,1,7,3,3.47,316.8,99.98,6.32,7.14
2020,1,7,4,4.03,320.3,99.96,6.27,7.1
2020,1,7,5,4.6,322.2,99.98,6.18,6.87
2020,1,7,6,4.98,323.2,100.02,6.13,6.83
2020,1,7,7,4.98,323.4,100.07,6.16,7.37
2020,1,7,8,4.25,322.2,100.12,6.27,8.86
2020,1,7,9,3.8,320.4,100.16,6.0,10.85
2020,1,7,10,3.59,316.6,100.14,5.79,12.39
2020,1,7,11,3.71,312.6,100.03,5.65,14.05
2020,1,7,12,3.97,309.4,99.91,5.56,15.26
2020,1,7,13,4.17,307.2,99.8,5.49,15.96
2020,1,7,14,4.07,305.4,99.72,5.43,16.04
2020,1,7,15,3.78,305.0,99.68,5.37,15.49
2020,1,7,16,3.46,308.8,99.67,5.91,13.48
2020,1,7,17,3.04,317.0,99.68,5.38,10.75
2020,1,7,18,2.35,325.8,99.72,5.16,10.55
2020,1,7,19,1.67,328.2,99.74,5.12,10.36
2020,1,7,20,1.14,313.9,99.75,5.11,10.25
2020,1,7,21,0.97,274.7,99.76,5.09,10.01
2020,1,7,22,1.28,245.0,99.74,5.06,9.02
2020,1,7,23,1.44,230.9,99.71,5.05,8.4
2020,1,8,0,1.18,209.4,99.66,5.04,8.27
2020,1,8,1,0.97,163.2,99.63,5.04,7.94
2020,1,8,2,1.32,122.6,99.59,5.06,7.22
2020,1,8,3,1.66,102.2,99.56,5.08,6.1
2020,1,8,4,1.83,85.3,99.57,5.11,5.43
2020,1,8,5,1.94,72.9,99.63,5.14,4.93
2020,1,8,6,2.0,65.2,99.71,5.16,4.48
2020,1,8,7,2.07,60.8,99.78,5.17,4.62
2020,1,8,8,1.92,43.9,99.86,5.27,6.95
2020,1,8,9,1.74,15.3,99.94,5.38,9.98
2020,1,8,10,1.94,351.4,99.95,5.24,13.63
2020,1,8,11,2.36,338.9,99.88,5.03,14.96
2020,1,8,12,2.77,331.0,99.78,4.86,15.69
2020,1,8,13,3.11,327.5,99.71,4.71,16.0
2020,1,8,14,3.13,325.1,99.68,4.6,16.02
2020,1,8,15,2.96,325.5,99.69,4.52,15.64
2020,1,8,16,2.79,329.8,99.71,5.17,13.49
2020,1,8,17,2.57,336.1,99.78,4.61,11.45
2020,1,8,18,2.19,340.8,99.86,4.39,11.14
2020,1,8,19,1.7,339.3,99.94,4.28,10.86
2020,1,8,20,1.35,326.8,99.99,4.26,10.59
2020,1,8,21,1.35,298.3,100.02,4.25,10.05
2020,1,8,22,1.74,274.3,100.01,4.25,9.33
2020,1,8,23,2.5,265.4,99.97,4.26,8.14
2020,1,9,0,3.25,265.4,99.94,4.27,6.88
2020,1,9,1,3.74,270.2,99.92,4.3,5.76
2020,1,9,2,3.82,279.2,99.92,4.32,5.0
2020,1,9,3,3.5,293.4,99.92,4.32,4.53
2020,1,9,4,3.13,311.0,99.93,4.29,4.18
2020,1,9,5,2.7,326.0,100.01,4.24,4.03
2020,1,9,6,2.14,337.2,100.09,4.2,4.14
2020,1,9,7,1.51,347.0,100.17,4.17,4.52
2020,1,9,8,0.82,353.7,100.25,4.21,6.97
2020,1,9,9,0.36,284.4,100.32,4.33,9.55
2020,1,9,10,0.84,261.1,100.33,3.9,14.48
2020,1,9,11,0.88,279.1,100.28,3.55,16.56
2020,1,9,12,1.15,287.6,100.19,3.41,17.6
2020,1,9,13,1.23,297.0,100.12,3.32,18.1
2020,1,9,14,1.25,309.2,100.08,3.24,18.14
2020,1,9,15,1.24,319.2,100.06,3.21,17.58
2020,1,9,16,1.35,319.2,100.09,3.89,15.63
2020,1,9,17,1.61,309.7,100.16,3.38,13.21
2020,1,9,18,1.91,302.4,100.26,3.29,12.47
2020,1,9,19,2.19,300.2,100.35,3.31,11.47
2020,1,9,20,1.99,303.9,100.38,3.26,11.0
2020,1,9,21,1.58,314.2,100.37,3.2,10.43
2020,1,9,22,1.46,331.0,100.34,3.16,9.65
2020,1,9,23,1.82,341.8,100.3,3.07,8.97
2020,1,10,0,2.38,345.4,100.27,3.02,7.56
2020,1,10,1,2.92,351.1,100.26,3.0,6.16
2020,1,10,2,3.45,1.5,100.25,2.97,4.93
2020,1,10,3,3.84,11.6,100.22,2.93,3.88
2020,1,10,4,3.99,18.1,100.22,2.86,3.21
2020,1,10,5,3.67,19.9,100.25,2.79,2.89
2020,1,10,6,3.01,8.4,100.32,2.72,2.98
2020,1,10,7,2.83,350.0,100.36,2.76,3.35
2020,1,10,8,2.66,342.2,100.4,2.81,6.53
2020,1,10,9,1.98,332.7,100.43,2.87,9.28
2020,1,10,10,3.74,311.5,100.43,3.19,13.82
2020,1,10,11,4.07,310.6,100.35,3.23,15.8
2020,1,10,12,3.91,308.7,100.25,3.17,16.73
2020,1,10,13,3.42,308.1,100.14,3.12,17.53
2020,1,10,14,3.12,302.4,100.09,3.07,17.64
2020,1,10,15,2.74,293.9,100.08,3.12,16.68
2020,1,10,16,2.23,289.9,100.06,4.12,14.32
2020,1,10,17,1.89,287.6,100.08,3.33,12.49
2020,1,10,18,2.37,271.9,100.15,3.3,10.96
2020,1,10,19,3.1,265.2,100.24,3.35,9.77
2020,1,10,20,3.48,264.2,100.27,3.46,9.26
2020,1,10,21,3.59,267.8,100.28,3.51,8.93
2020,1,10,22,3.53,272.3,100.25,3.53,8.69
2020,1,10,23,3.89,281.1,100.21,3.54,8.19
2020,1,11,0,4.3,291.7,100.18,3.55,7.78
2020,1,11,1,4.07,304.4,100.15,3.54,7.62
2020,1,11,2,3.64,322.8,100.11,3.51,7.46
2020,1,11,3,3.8,337.4,100.1,3.45,6.98
2020,1,11,4,4.0,347.6,100.11,3.38,6.55
2020,1,11,5,3.64,357.6,100.14,3.29,6.28
2020,1,11,6,2.86,5.2,100.2,3.21,6.38
2020,1,11,7,2.03,0.0,100.27,3.19,7.02
2020,1,11,8,1.56,350.4,100.33,3.12,8.8
2020,1,11,9,0.75,333.8,100.35,3.01,10.97
2020,1,11,10,1.64,283.8,100.31,3.05,15.39
2020,1,11,11,1.8,268.1,100.19,2.95,17.59
2020,1,11,12,2.4,265.2,100.07,2.88,18.95
2020,1,11,13,2.2,271.8,99.96,2.83,19.64
2020,1,11,14,1.78,283.3,99.89,2.8,19.75
2020,1,11,15,1.58,302.6,99.86,2.81,19.04
2020,1,11,16,1.68,327.6,99.87,3.76,16.76
