-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  30.551   Longitude 73.135 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 162.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.21,58.1,100.19,3.04,7.14
2020,1,1,1,1.54,29.6,100.18,3.04,6.21
2020,1,1,2,2.2,25.0,100.17,3.05,5.49
2020,1,1,3,2.8,30.7,100.14,3.07,4.56
2020,1,1,4,3.3,40.7,100.13,3.08,3.73
2020,1,1,5,3.63,53.6,100.16,3.11,3.11
2020,1,1,6,3.77,68.7,100.23,3.13,2.68
2020,1,1,7,3.81,85.8,100.31,3.15,3.1
2020,1,1,8,3.33,101.6,100.38,3.18,6.28
2020,1,1,9,2.2,113.0,100.46,3.22,8.55
2020,1,1,10,2.68,109.7,100.48,3.2,12.49
2020,1,1,11,2.65,105.8,100.42,3.16,14.68
2020,1,1,12,2.51,98.7,100.32,3.12,15.38
2020,1,1,13,2.61,88.0,100.25,3.06,15.7
2020,1,1,14,2.83,77.1,100.2,3.02,15.66
2020,1,1,15,3.15,70.0,100.19,3.02,15.19
2020,1,1,16,3.46,61.5,100.22,3.43,12.16
2020,1,1,17,3.87,51.3,100.26,3.15,9.32
2020,1,1,18,4.3,44.8,100.34,3.06,8.15
2020,1,1,19,4.77,43.4,100.4,3.03,7.15
2020,1,1,20,4.95,43.0,100.43,3.04,6.89
2020,1,1,21,4.86,39.2,100.46,3.07,6.79
2020,1,1,22,4.81,31.7,100.47,3.1,6.72
2020,1,1,23,4.94,25.3,100.44,3.14,6.48
2020,1,2,0,5.14,19.7,100.42,3.18,6.2
2020,1,2,1,5.15,14.3,100.4,3.24,5.9
2020,1,2,2,5.07,10.2,100.38,3.29,5.47
2020,1,2,3,4.98,7.7,100.36,3.32,5.03
2020,1,2,4,4.82,6.4,100.37,3.35,4.68
2020,1,2,5,4.55,8.8,100.41,3.36,4.34
2020,1,2,6,4.2,13.9,100.47,3.37,4.12
2020,1,2,7,3.8,25.6,100.52,3.37,4.76
2020,1,2,8,3.06,41.6,100.55,3.41,8.19
2020,1,2,9,1.53,44.7,100.61,3.46,10.62
2020,1,2,10,0.44,2.6,100.61,3.21,15.31
2020,1,2,11,0.71,314.4,100.5,3.2,17.48
2020,1,2,12,1.14,324.6,100.37,3.27,17.98
2020,1,2,13,1.53,336.5,100.28,3.32,17.97
2020,1,2,14,2.05,349.6,100.22,3.36,17.77
2020,1,2,15,2.7,351.7,100.2,3.86,16.81
2020,1,2,16,3.53,347.6,100.19,4.09,14.17
2020,1,2,17,4.19,349.0,100.22,3.78,12.33
2020,1,2,18,4.34,349.6,100.28,3.72,11.67
2020,1,2,19,4.03,348.0,100.31,3.72,11.35
2020,1,2,20,3.92,344.2,100.33,3.69,10.79
2020,1,2,21,4.35,338.7,100.35,3.57,9.3
