-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.45   Longitude 72.081 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 166.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.47,321.4,100.21,2.55,6.79
2020,1,1,1,2.91,338.5,100.2,2.57,5.97
2020,1,1,2,3.0,357.5,100.18,2.57,5.5
2020,1,1,3,3.05,18.6,100.15,2.57,5.1
2020,1,1,4,3.19,37.7,100.13,2.57,4.6
2020,1,1,5,3.32,53.8,100.15,2.58,4.1
2020,1,1,6,3.31,67.8,100.22,2.61,3.73
2020,1,1,7,3.11,80.7,100.3,2.67,3.82
2020,1,1,8,2.7,91.9,100.38,2.77,5.98
2020,1,1,9,1.86,100.2,100.46,2.8,7.58
2020,1,1,10,1.3,107.0,100.49,2.78,9.91
2020,1,1,11,1.21,100.5,100.44,2.65,13.08
2020,1,1,12,1.18,82.2,100.35,2.66,15.22
2020,1,1,13,1.65,76.0,100.26,2.7,16.1
2020,1,1,14,2.13,74.8,100.22,2.74,16.13
2020,1,1,15,2.33,70.7,100.21,2.82,15.46
2020,1,1,16,2.61,70.7,100.23,3.01,13.28
2020,1,1,17,3.02,76.6,100.28,2.98,11.25
2020,1,1,18,3.01,79.5,100.35,3.0,10.68
2020,1,1,19,2.55,75.5,100.43,3.01,10.49
2020,1,1,20,2.04,69.3,100.49,3.01,10.43
2020,1,1,21,1.78,62.3,100.51,3.03,10.3
2020,1,1,22,1.64,50.7,100.52,3.04,10.05
2020,1,1,23,1.62,35.5,100.51,3.05,9.71
2020,1,2,0,1.65,23.9,100.47,3.06,9.33
2020,1,2,1,1.78,13.0,100.45,3.05,8.94
2020,1,2,2,2.09,6.9,100.43,3.05,8.36
2020,1,2,3,2.43,5.0,100.39,3.06,7.66
2020,1,2,4,2.67,6.9,100.39,3.07,7.02
2020,1,2,5,2.92,13.7,100.43,3.08,6.3
2020,1,2,6,3.26,26.0,100.47,3.11,5.62
2020,1,2,7,3.46,37.6,100.51,3.17,5.43
2020,1,2,8,2.4,34.3,100.59,3.29,7.85
2020,1,2,9,1.39,343.3,100.69,3.26,9.85
2020,1,2,10,1.77,310.4,100.68,3.03,12.91
2020,1,2,11,2.01,307.1,100.57,3.03,14.23
2020,1,2,12,2.25,304.3,100.45,3.07,14.74
2020,1,2,13,2.47,312.2,100.34,3.14,14.85
2020,1,2,14,2.32,325.0,100.28,3.2,14.9
2020,1,2,15,1.8,344.6,100.25,3.25,14.64
2020,1,2,16,1.3,353.4,100.24,3.35,13.58
2020,1,2,17,0.81,326.1,100.26,3.27,13.07
2020,1,2,18,1.21,273.8,100.31,3.28,12.53
2020,1,2,19,2.43,262.2,100.34,3.32,11.21
2020,1,2,20,3.55,268.7,100.37,3.34,9.65
2020,1,2,21,4.23,276.8,100.38,3.37,8.79
2020,1,2,22,5.12,287.9,100.37,3.46,8.31
2020,1,2,23,5.56,301.5,100.34,3.63,8.55
2020,1,3,0,5.41,317.4,100.29,3.86,8.4
2020,1,3,1,5.12,334.2,100.25,4.08,8.03
2020,1,3,2,4.95,347.0,100.21,4.25,7.35
2020,1,3,3,4.57,1.0,100.17,4.34,6.56
2020,1,3,4,4.17,15.7,100.14,4.37,6.09
2020,1,3,5,3.91,24.0,100.15,4.36,5.75
2020,1,3,6,3.64,22.5,100.21,4.36,5.43
2020,1,3,7,3.41,15.1,100.27,4.42,5.52
2020,1,3,8,2.6,13.8,100.31,4.56,8.19
2020,1,3,9,1.22,10.8,100.34,4.66,10.42
2020,1,3,10,0.92,294.3,100.31,4.36,14.38
2020,1,3,11,1.73,254.2,100.19,4.07,17.45
2020,1,3,12,2.09,246.6,100.03,4.06,18.62
2020,1,3,13,2.13,245.0,99.91,4.08,19.25
2020,1,3,14,2.1,250.3,99.82,4.12,19.29
2020,1,3,15,2.01,259.7,99.78,4.18,18.78
2020,1,3,16,1.62,273.9,99.78,4.28,16.94
2020,1,3,17,1.12,304.8,99.81,4.16,15.52
2020,1,3,18,1.09,346.7,99.88,4.13,14.78
2020,1,3,19,1.36,3.8,99.94,4.12,14.14
2020,1,3,20,1.58,12.8,99.97,4.12,13.5
2020,1,3,21,1.94,22.1,99.99,4.13,12.59
2020,1,3,22,2.51,30.5,100.01,4.16,11.4
2020,1,3,23,3.18,41.3,99.99,4.21,10.0
2020,1,4,0,3.98,54.5,99.93,4.26,8.62
2020,1,4,1,4.63,64.8,99.89,4.33,7.63
2020,1,4,2,4.82,71.2,99.86,4.42,6.93
2020,1,4,3,4.59,73.3,99.82,4.52,6.3
2020,1,4,4,4.21,71.1,99.82,4.6,5.64
2020,1,4,5,3.93,65.7,99.85,4.67,5.01
2020,1,4,6,3.83,58.1,99.91,4.72,4.58
2020,1,4,7,3.89,51.2,99.96,4.75,4.85
2020,1,4,8,3.61,46.1,100.03,4.79,7.7
2020,1,4,9,2.73,44.1,100.09,4.74,10.36
2020,1,4,10,2.36,47.1,100.1,4.64,13.37
2020,1,4,11,2.27,56.7,100.0,4.45,16.41
2020,1,4,12,2.04,57.8,99.87,4.32,18.42
2020,1,4,13,1.84,51.8,99.75,4.25,19.19
2020,1,4,14,1.68,42.8,99.68,4.19,19.24
2020,1,4,15,1.71,35.0,99.67,4.16,18.87
2020,1,4,16,2.09,29.5,99.7,4.25,16.79
2020,1,4,17,2.78,34.1,99.75,4.1,14.89
2020,1,4,18,3.42,45.1,99.83,4.05,13.69
2020,1,4,19,3.81,58.9,99.9,3.99,12.75
2020,1,4,20,4.3,73.4,99.93,3.94,11.68
2020,1,4,21,4.79,86.9,99.93,3.91,10.69
2020,1,4,22,5.09,97.6,99.93,3.89,9.95
2020,1,4,23,5.01,105.9,99.91,3.89,9.37
2020,1,5,0,4.99,106.8,99.88,3.91,8.82
2020,1,5,1,5.01,101.5,99.86,3.93,8.69
2020,1,5,2,4.88,92.3,99.86,3.94,8.1
2020,1,5,3,5.23,81.6,99.86,3.96,7.53
2020,1,5,4,5.67,73.4,99.87,3.98,7.07
2020,1,5,5,5.98,66.7,99.93,4.01,6.98
2020,1,5,6,6.17,62.1,100.0,4.04,6.99
2020,1,5,7,5.92,57.8,100.07,4.08,7.03
2020,1,5,8,4.66,53.2,100.15,4.13,7.58
2020,1,5,9,3.51,49.3,100.18,4.18,8.32
2020,1,5,10,2.86,35.7,100.2,4.29,9.39
2020,1,5,11,3.12,26.6,100.14,4.36,10.94
2020,1,5,12,3.77,24.1,100.02,4.4,12.41
2020,1,5,13,4.2,19.8,99.95,4.5,13.13
2020,1,5,14,4.65,20.7,99.91,4.61,13.31
2020,1,5,15,5.27,21.0,99.9,4.78,12.99
2020,1,5,16,5.88,24.1,99.91,4.94,11.94
2020,1,5,17,6.47,28.7,99.95,5.04,10.72
2020,1,5,18,6.68,32.9,100.0,5.11,10.32
2020,1,5,19,6.59,34.7,100.06,5.15,9.8
2020,1,5,20,6.31,34.1,100.14,5.22,9.28
2020,1,5,21,5.91,33.3,100.19,5.31,9.01
2020,1,5,22,6.03,35.1,100.19,5.41,8.82
2020,1,5,23,6.01,38.9,100.17,5.5,8.51
2020,1,6,0,6.04,38.3,100.15,5.59,8.42
2020,1,6,1,5.54,33.0,100.15,5.69,8.22
2020,1,6,2,5.0,34.6,100.13,5.77,7.93
2020,1,6,3,4.74,41.9,100.07,5.83,7.55
2020,1,6,4,4.62,41.5,100.08,5.86,7.25
2020,1,6,5,4.16,44.0,100.06,5.87,7.0
2020,1,6,6,4.7,16.9,100.22,5.86,7.06
2020,1,6,7,4.28,36.4,100.23,5.84,7.03
2020,1,6,8,3.49,38.2,100.3,5.8,7.31
2020,1,6,9,3.04,34.0,100.37,5.76,7.63
2020,1,6,10,2.6,46.9,100.34,5.74,7.9
2020,1,6,11,1.99,68.2,100.23,5.85,9.68
2020,1,6,12,1.07,70.9,100.13,5.81,10.47
2020,1,6,13,0.85,67.1,100.03,5.8,10.6
2020,1,6,14,1.23,33.0,100.0,5.81,10.67
2020,1,6,15,1.52,40.2,100.0,5.81,10.48
2020,1,6,16,2.13,48.4,99.99,5.89,10.12
2020,1,6,17,2.35,35.3,100.04,6.03,9.57
2020,1,6,18,2.14,29.7,100.13,6.09,9.33
2020,1,6,19,2.44,32.3,100.14,6.15,8.97
2020,1,6,20,2.33,19.3,100.16,6.21,8.68
2020,1,6,21,2.51,6.9,100.18,6.22,8.47
2020,1,6,22,2.85,3.2,100.17,6.17,8.22
2020,1,6,23,3.01,1.9,100.14,6.13,7.95
2020,1,7,0,3.07,357.2,100.13,6.1,7.73
2020,1,7,1,3.24,356.1,100.11,6.09,7.61
2020,1,7,2,3.35,356.2,100.07,6.07,7.41
2020,1,7,3,3.44,353.5,100.04,6.06,7.24
2020,1,7,4,3.79,347.4,100.01,6.04,7.11
2020,1,7,5,4.26,342.1,100.03,6.02,7.1
