-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  24.86   Longitude 67.001 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,6.83,61.2,101.11,4.98,13.19
2020,1,1,1,7.26,58.9,101.1,4.93,12.73
2020,1,1,2,7.68,57.4,101.09,4.89,12.32
2020,1,1,3,7.94,56.2,101.1,4.85,11.94
2020,1,1,4,8.21,55.7,101.14,4.83,11.62
2020,1,1,5,8.5,55.0,101.22,4.81,11.34
2020,1,1,6,8.69,53.6,101.31,4.8,11.28
2020,1,1,7,8.28,53.5,101.38,4.74,12.38
2020,1,1,8,9.0,54.8,101.45,4.58,14.26
2020,1,1,9,9.21,56.7,101.45,4.41,16.18
2020,1,1,10,8.63,58.7,101.37,4.31,17.73
2020,1,1,11,7.89,60.5,101.25,4.22,18.98
2020,1,1,12,7.18,61.4,101.15,4.13,19.82
2020,1,1,13,6.56,62.1,101.09,4.03,20.24
2020,1,1,14,6.28,62.2,101.07,3.98,20.18
2020,1,1,15,6.42,61.7,101.09,4.16,19.46
2020,1,1,16,6.93,60.0,101.15,4.68,17.18
2020,1,1,17,7.65,57.4,101.25,4.76,15.66
2020,1,1,18,8.09,55.4,101.36,4.79,14.94
2020,1,1,19,8.2,53.0,101.42,4.81,14.3
2020,1,1,20,8.1,52.1,101.46,4.81,13.82
2020,1,1,21,8.01,52.7,101.47,4.8,13.52
2020,1,1,22,7.97,52.5,101.46,4.78,13.3
2020,1,1,23,7.97,51.3,101.43,4.77,13.03
2020,1,2,0,7.98,50.3,101.4,4.77,12.73
2020,1,2,1,8.14,50.8,101.38,4.76,12.35
2020,1,2,2,8.39,52.1,101.36,4.75,12.02
2020,1,2,3,8.49,52.0,101.37,4.75,11.76
2020,1,2,4,8.46,52.4,101.41,4.75,11.55
2020,1,2,5,8.46,51.5,101.49,4.75,11.41
2020,1,2,6,8.41,49.7,101.58,4.75,11.55
2020,1,2,7,7.65,49.7,101.63,4.69,13.0
2020,1,2,8,7.76,49.5,101.67,4.6,15.09
2020,1,2,9,7.45,53.3,101.66,4.63,17.31
