-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  25.496   Longitude 67.702 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 270.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,7.6,32.6,98.59,2.61,7.92
2020,1,1,1,8.03,31.9,98.58,2.6,7.6
2020,1,1,2,8.39,31.3,98.57,2.61,7.32
2020,1,1,3,8.57,29.7,98.57,2.64,7.0
2020,1,1,4,8.65,28.0,98.62,2.67,6.55
2020,1,1,5,8.74,26.2,98.7,2.71,6.13
2020,1,1,6,8.72,24.3,98.78,2.75,6.03
2020,1,1,7,8.03,23.9,98.85,2.78,7.68
2020,1,1,8,9.43,31.9,98.9,2.68,10.48
2020,1,1,9,10.05,36.7,98.92,2.56,13.06
2020,1,1,10,9.65,38.8,98.84,2.5,14.9
2020,1,1,11,8.96,40.7,98.73,2.47,16.25
2020,1,1,12,8.17,41.6,98.64,2.44,17.17
2020,1,1,13,7.46,41.2,98.59,2.42,17.45
2020,1,1,14,7.02,39.7,98.58,2.4,17.13
2020,1,1,15,6.79,37.2,98.61,2.42,16.1
2020,1,1,16,6.7,31.5,98.66,2.52,13.01
2020,1,1,17,7.08,27.6,98.75,2.57,11.09
2020,1,1,18,7.49,27.0,98.84,2.6,10.55
2020,1,1,19,7.75,28.0,98.9,2.62,10.13
2020,1,1,20,7.8,28.5,98.94,2.62,9.72
2020,1,1,21,7.77,28.4,98.94,2.61,9.35
2020,1,1,22,7.79,27.5,98.92,2.62,9.07
2020,1,1,23,7.9,26.2,98.9,2.63,8.74
2020,1,2,0,8.09,25.6,98.88,2.65,8.32
2020,1,2,1,8.38,26.3,98.85,2.66,7.74
2020,1,2,2,8.62,27.3,98.82,2.68,7.36
2020,1,2,3,8.69,26.5,98.82,2.69,7.1
2020,1,2,4,8.71,25.8,98.87,2.7,6.83
2020,1,2,5,8.86,24.2,98.95,2.7,6.73
2020,1,2,6,8.88,22.6,99.03,2.69,6.97
2020,1,2,7,8.17,21.9,99.08,2.69,8.83
2020,1,2,8,9.08,26.6,99.12,2.73,11.56
2020,1,2,9,9.22,30.7,99.11,2.83,14.1
2020,1,2,10,8.39,33.9,99.01,3.16,16.21
2020,1,2,11,7.2,36.7,98.87,3.38,17.6
2020,1,2,12,6.23,38.2,98.78,3.51,18.53
2020,1,2,13,5.65,36.1,98.73,3.54,18.9
2020,1,2,14,5.67,31.8,98.74,3.52,18.54
2020,1,2,15,6.06,26.6,98.79,3.46,17.52
2020,1,2,16,6.49,23.8,98.86,3.41,14.55
2020,1,2,17,7.09,21.9,98.96,3.33,12.53
2020,1,2,18,7.28,22.4,99.04,3.31,11.99
2020,1,2,19,7.04,24.4,99.07,3.34,11.74
2020,1,2,20,6.65,26.6,99.08,3.41,11.65
2020,1,2,21,6.32,28.6,99.05,3.51,11.29
2020,1,2,22,6.31,28.5,99.0,3.6,10.72
2020,1,2,23,6.36,27.3,98.95,3.7,10.09
2020,1,3,0,6.35,25.9,98.91,3.8,9.46
2020,1,3,1,6.42,24.1,98.89,3.94,8.9
2020,1,3,2,6.45,20.8,98.86,4.08,8.46
2020,1,3,3,6.55,17.5,98.87,4.19,8.1
2020,1,3,4,6.64,16.6,98.93,4.26,7.84
2020,1,3,5,6.63,17.4,99.01,4.31,7.61
2020,1,3,6,6.54,18.2,99.09,4.35,7.94
2020,1,3,7,5.67,19.7,99.13,4.4,10.57
2020,1,3,8,5.43,28.5,99.16,4.43,13.47
2020,1,3,9,4.92,33.8,99.13,4.54,16.56
2020,1,3,10,4.35,32.2,99.03,4.72,18.9
2020,1,3,11,3.88,26.6,98.87,4.87,20.31
2020,1,3,12,3.44,20.4,98.74,5.03,21.3
2020,1,3,13,3.18,14.8,98.64,5.16,21.75
2020,1,3,14,3.12,11.3,98.6,5.26,21.55
2020,1,3,15,3.02,15.1,98.61,5.31,20.67
2020,1,3,16,2.96,33.2,98.65,5.36,17.38
2020,1,3,17,2.87,48.5,98.73,5.36,15.69
2020,1,3,18,2.51,59.7,98.78,5.36,15.12
2020,1,3,19,1.95,65.8,98.81,5.37,14.82
2020,1,3,20,1.29,62.8,98.81,5.37,14.7
2020,1,3,21,0.76,31.6,98.81,5.39,14.51
2020,1,3,22,1.12,336.9,98.79,5.42,13.98
2020,1,3,23,1.89,321.9,98.75,5.49,13.12
2020,1,4,0,2.5,316.9,98.72,5.61,12.39
2020,1,4,1,2.85,315.4,98.67,5.76,11.94
2020,1,4,2,2.99,314.3,98.62,5.95,11.74
2020,1,4,3,2.9,310.9,98.6,6.18,11.76
2020,1,4,4,2.6,306.3,98.62,6.45,11.96
2020,1,4,5,2.29,302.0,98.66,6.74,12.18
2020,1,4,6,2.07,300.5,98.71,7.01,12.46
2020,1,4,7,1.61,293.1,98.77,7.27,14.71
2020,1,4,8,1.74,270.3,98.83,7.86,17.6
2020,1,4,9,1.63,278.8,98.84,8.23,20.87
2020,1,4,10,0.97,288.1,98.75,7.64,23.02
2020,1,4,11,0.39,240.8,98.6,7.09,24.45
2020,1,4,12,1.04,177.8,98.44,6.75,25.29
2020,1,4,13,1.38,180.8,98.36,6.58,25.46
2020,1,4,14,1.44,192.4,98.34,6.53,25.1
2020,1,4,15,1.71,194.9,98.35,6.62,24.15
2020,1,4,16,2.67,200.6,98.4,6.93,21.1
2020,1,4,17,3.65,217.2,98.5,7.5,18.93
2020,1,4,18,4.42,229.2,98.57,8.29,17.54
2020,1,4,19,4.6,238.5,98.6,9.19,16.47
2020,1,4,20,4.38,251.9,98.64,9.99,15.61
2020,1,4,21,4.24,263.1,98.63,10.57,14.93
2020,1,4,22,4.12,275.4,98.58,10.95,14.43
2020,1,4,23,4.17,289.3,98.54,11.13,14.0
2020,1,5,0,4.24,302.7,98.52,11.14,13.71
2020,1,5,1,3.74,313.6,98.48,11.07,13.53
2020,1,5,2,3.31,324.6,98.42,10.96,13.37
2020,1,5,3,3.25,332.1,98.41,10.83,13.11
