-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  25.496   Longitude 66.3 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 76.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.96,85.7,100.81,6.7,16.17
2020,1,1,1,4.85,76.5,100.79,6.28,15.8
2020,1,1,2,5.62,70.2,100.79,5.89,15.28
2020,1,1,3,6.28,66.3,100.81,5.62,14.78
2020,1,1,4,6.8,65.0,100.86,5.41,14.44
2020,1,1,5,7.2,64.5,100.94,5.26,14.07
2020,1,1,6,7.5,63.9,101.04,5.17,13.78
2020,1,1,7,7.61,64.5,101.12,5.08,14.39
2020,1,1,8,7.92,65.5,101.18,5.0,15.47
2020,1,1,9,7.66,66.4,101.2,5.0,16.66
2020,1,1,10,6.99,67.3,101.13,5.05,18.0
2020,1,1,11,6.19,70.2,101.01,4.97,19.07
2020,1,1,12,5.5,74.2,100.91,4.82,19.84
2020,1,1,13,4.99,78.7,100.84,4.66,20.26
2020,1,1,14,4.82,82.3,100.81,4.57,20.28
2020,1,1,15,5.09,83.8,100.82,4.67,19.81
2020,1,1,16,5.76,84.1,100.88,4.95,18.19
2020,1,1,17,6.65,82.7,100.98,5.01,16.95
2020,1,1,18,7.4,80.0,101.08,5.06,16.38
2020,1,1,19,7.59,76.7,101.15,5.08,15.76
2020,1,1,20,7.28,72.8,101.2,5.1,15.16
2020,1,1,21,6.84,67.9,101.22,5.1,14.71
2020,1,1,22,6.49,61.5,101.22,5.07,14.33
2020,1,1,23,6.34,56.2,101.18,5.03,13.99
2020,1,2,0,6.34,54.1,101.16,4.99,13.68
2020,1,2,1,6.62,54.8,101.12,4.96,13.4
2020,1,2,2,6.92,55.5,101.1,4.94,13.2
2020,1,2,3,7.03,54.5,101.11,4.93,13.0
2020,1,2,4,7.18,55.3,101.16,4.92,12.82
2020,1,2,5,7.34,54.2,101.25,4.9,12.67
2020,1,2,6,7.52,55.0,101.33,4.88,12.69
2020,1,2,7,7.42,56.9,101.39,4.84,14.08
2020,1,2,8,7.33,59.9,101.43,4.73,15.64
2020,1,2,9,6.81,63.1,101.42,4.68,17.21
2020,1,2,10,5.83,67.7,101.31,4.62,18.66
2020,1,2,11,4.66,73.8,101.17,4.52,19.74
2020,1,2,12,3.41,77.6,101.06,4.34,20.46
