-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  25.759   Longitude 67.001 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 350.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,5.72,47.1,97.69,3.06,8.39
2020,1,1,1,6.31,45.7,97.67,3.02,8.0
2020,1,1,2,6.79,45.1,97.66,3.01,7.75
2020,1,1,3,7.12,44.5,97.67,3.02,7.57
2020,1,1,4,7.41,44.8,97.7,3.03,7.35
2020,1,1,5,7.7,45.1,97.78,3.04,6.95
2020,1,1,6,7.86,44.7,97.87,3.02,6.71
2020,1,1,7,7.63,45.2,97.93,2.96,8.14
2020,1,1,8,8.78,47.4,97.99,2.87,10.53
2020,1,1,9,9.01,48.7,98.0,2.87,12.98
2020,1,1,10,8.6,49.6,97.93,2.83,14.89
2020,1,1,11,7.9,51.0,97.83,2.79,16.2
2020,1,1,12,7.15,52.4,97.74,2.77,17.02
2020,1,1,13,6.54,54.1,97.69,2.76,17.19
2020,1,1,14,6.2,55.8,97.68,2.76,16.7
2020,1,1,15,6.11,58.1,97.7,2.78,15.56
2020,1,1,16,5.89,63.1,97.76,2.94,12.85
2020,1,1,17,5.88,65.0,97.85,2.99,10.77
2020,1,1,18,5.94,63.1,97.93,2.99,10.12
2020,1,1,19,5.94,58.8,97.99,2.97,9.57
2020,1,1,20,5.88,53.4,98.02,2.93,9.02
2020,1,1,21,5.85,47.4,98.04,2.9,8.66
2020,1,1,22,5.92,41.3,98.03,2.88,8.35
2020,1,1,23,6.1,38.2,97.99,2.85,7.99
2020,1,2,0,6.28,38.9,97.97,2.81,7.52
2020,1,2,1,6.65,42.1,97.94,2.75,7.09
2020,1,2,2,7.09,43.9,97.91,2.69,6.92
2020,1,2,3,7.38,42.4,97.92,2.64,6.75
2020,1,2,4,7.65,41.2,97.96,2.61,6.61
2020,1,2,5,7.92,39.2,98.05,2.6,6.55
2020,1,2,6,8.17,39.2,98.13,2.6,6.85
2020,1,2,7,7.96,40.7,98.18,2.61,9.0
2020,1,2,8,8.85,45.2,98.21,2.66,11.58
2020,1,2,9,8.97,48.4,98.21,2.72,14.01
2020,1,2,10,8.13,51.8,98.1,2.8,15.85
2020,1,2,11,6.78,54.6,97.97,2.87,17.17
2020,1,2,12,5.52,53.2,97.88,2.96,18.08
2020,1,2,13,4.75,53.1,97.84,3.07,18.45
2020,1,2,14,4.46,50.6,97.85,3.2,18.04
2020,1,2,15,4.36,48.7,97.91,3.32,16.9
2020,1,2,16,4.47,54.9,97.98,3.54,14.6
2020,1,2,17,4.96,64.0,98.06,3.62,13.18
2020,1,2,18,5.03,69.4,98.12,3.66,12.39
2020,1,2,19,4.76,67.8,98.16,3.7,11.3
2020,1,2,20,4.57,61.6,98.16,3.72,10.35
2020,1,2,21,4.54,53.7,98.14,3.78,9.8
2020,1,2,22,4.52,47.1,98.1,3.84,9.47
2020,1,2,23,4.46,41.2,98.04,3.88,9.1
2020,1,3,0,4.44,36.2,98.0,3.92,8.66
2020,1,3,1,4.47,32.5,97.97,3.95,8.3
2020,1,3,2,4.47,28.9,97.96,3.99,8.0
2020,1,3,3,4.46,27.9,97.97,4.04,7.77
2020,1,3,4,4.4,30.9,98.02,4.09,7.61
2020,1,3,5,4.32,36.3,98.09,4.15,7.48
2020,1,3,6,4.22,41.2,98.16,4.21,7.78
2020,1,3,7,3.85,43.9,98.22,4.29,10.96
2020,1,3,8,3.41,47.9,98.23,4.36,14.17
2020,1,3,9,2.92,42.2,98.21,4.5,17.38
2020,1,3,10,2.3,32.4,98.1,4.81,19.65
2020,1,3,11,1.58,23.5,97.94,5.13,21.23
2020,1,3,12,0.88,5.2,97.79,5.35,22.31
2020,1,3,13,0.6,317.0,97.7,5.46,22.83
2020,1,3,14,0.7,274.9,97.66,5.49,22.67
2020,1,3,15,0.85,228.8,97.66,5.55,21.81
2020,1,3,16,2.01,182.0,97.69,5.75,19.22
2020,1,3,17,3.28,176.0,97.77,5.71,17.05
2020,1,3,18,3.66,178.4,97.83,5.78,16.03
2020,1,3,19,3.55,184.5,97.87,5.88,15.26
2020,1,3,20,3.22,193.8,97.88,6.0,14.68
2020,1,3,21,2.76,207.6,97.89,6.14,14.27
2020,1,3,22,2.42,227.0,97.88,6.31,13.95
2020,1,3,23,2.23,246.4,97.84,6.5,13.62
2020,1,4,0,2.05,260.7,97.8,6.69,13.35
2020,1,4,1,1.94,275.0,97.76,6.85,13.02
2020,1,4,2,1.9,288.1,97.71,6.96,12.63
2020,1,4,3,1.83,298.4,97.68,7.0,12.3
2020,1,4,4,1.72,313.3,97.69,6.97,12.09
2020,1,4,5,1.84,333.2,97.74,6.85,11.84
2020,1,4,6,2.23,351.2,97.78,6.7,11.7
2020,1,4,7,2.02,4.8,97.84,6.64,14.12
2020,1,4,8,1.24,12.6,97.9,6.69,17.01
2020,1,4,9,1.73,22.4,97.9,6.2,21.58
2020,1,4,10,1.44,43.6,97.81,5.75,23.88
2020,1,4,11,1.22,82.5,97.65,5.5,25.11
2020,1,4,12,1.36,123.9,97.51,5.33,25.78
2020,1,4,13,1.36,150.4,97.44,5.24,25.89
2020,1,4,14,1.62,170.4,97.42,5.23,25.47
2020,1,4,15,2.46,176.7,97.42,5.42,24.37
2020,1,4,16,3.81,186.5,97.48,6.14,20.88
2020,1,4,17,4.76,197.2,97.58,6.85,18.31
