-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  45.464   Longitude 9.19 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 209.03 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.32,352.3,100.46,3.49,3.75
2020,1,1,1,2.17,356.0,100.43,3.35,4.42
2020,1,1,2,1.86,355.4,100.41,3.2,5.07
2020,1,1,3,1.65,0.3,100.39,3.12,5.21
2020,1,1,4,1.68,25.0,100.39,3.08,5.1
2020,1,1,5,2.13,58.6,100.42,3.06,4.92
2020,1,1,6,2.92,82.5,100.46,3.06,3.88
2020,1,1,7,3.67,94.2,100.51,3.12,2.77
2020,1,1,8,4.08,97.6,100.58,3.33,2.4
2020,1,1,9,3.7,98.1,100.65,4.08,4.6
2020,1,1,10,2.88,99.4,100.69,4.68,7.07
2020,1,1,11,3.01,101.5,100.7,4.38,8.43
2020,1,1,12,3.54,102.5,100.65,4.48,9.1
2020,1,1,13,3.96,103.1,100.6,4.88,9.27
2020,1,1,14,3.86,103.9,100.57,5.26,8.82
2020,1,1,15,3.31,100.4,100.56,5.38,6.99
2020,1,1,16,3.23,88.0,100.55,4.91,4.63
2020,1,1,17,3.41,78.7,100.57,4.91,3.65
2020,1,1,18,3.46,75.3,100.62,4.9,3.3
2020,1,1,19,3.44,75.2,100.68,4.84,3.0
2020,1,1,20,3.54,74.6,100.72,4.77,2.92
2020,1,1,21,3.81,74.5,100.74,4.64,2.85
2020,1,1,22,4.0,75.4,100.77,4.44,2.92
2020,1,1,23,3.84,75.8,100.8,4.17,3.06
2020,1,2,0,3.4,73.8,100.79,3.94,3.24
2020,1,2,1,2.9,69.0,100.78,3.76,3.47
2020,1,2,2,2.46,64.0,100.78,3.61,3.61
2020,1,2,3,2.08,55.0,100.77,3.49,3.58
2020,1,2,4,1.92,44.6,100.75,3.41,3.33
2020,1,2,5,1.78,34.5,100.73,3.33,3.07
2020,1,2,6,1.71,20.6,100.74,3.26,2.81
2020,1,2,7,1.83,7.6,100.75,3.22,2.41
2020,1,2,8,1.94,358.8,100.76,3.32,2.34
2020,1,2,9,1.94,355.6,100.78,3.97,3.69
2020,1,2,10,1.53,349.1,100.8,4.32,5.87
2020,1,2,11,0.79,314.0,100.76,4.18,7.57
2020,1,2,12,0.74,275.4,100.69,4.34,8.58
2020,1,2,13,0.68,255.6,100.6,4.52,9.09
2020,1,2,14,0.75,232.1,100.52,4.72,8.99
2020,1,2,15,1.21,240.9,100.48,4.7,7.92
2020,1,2,16,1.75,263.4,100.49,4.33,5.47
2020,1,2,17,2.01,293.5,100.5,4.25,3.7
2020,1,2,18,2.22,320.3,100.53,4.21,2.79
2020,1,2,19,2.22,336.1,100.53,4.17,2.72
2020,1,2,20,2.13,344.8,100.52,4.12,2.98
2020,1,2,21,2.1,347.6,100.5,4.06,3.28
2020,1,2,22,2.03,347.2,100.49,3.98,3.55
2020,1,2,23,1.93,342.2,100.46,3.89,3.7
2020,1,3,0,1.86,332.5,100.42,3.8,3.65
2020,1,3,1,1.78,322.3,100.39,3.72,3.48
2020,1,3,2,1.87,309.6,100.37,3.64,3.27
2020,1,3,3,2.23,301.4,100.33,3.59,3.08
2020,1,3,4,2.52,298.7,100.29,3.56,2.89
2020,1,3,5,2.59,296.1,100.28,3.53,2.89
2020,1,3,6,2.58,291.8,100.28,3.55,3.02
2020,1,3,7,2.5,289.2,100.3,3.56,3.11
2020,1,3,8,2.29,288.4,100.31,3.66,3.59
2020,1,3,9,2.08,282.2,100.32,4.01,4.86
2020,1,3,10,2.06,271.4,100.33,4.61,6.32
2020,1,3,11,2.32,268.0,100.29,4.56,7.42
2020,1,3,12,2.62,267.2,100.21,4.84,8.28
2020,1,3,13,2.67,263.1,100.12,5.17,8.51
2020,1,3,14,2.59,259.1,100.06,5.4,7.99
2020,1,3,15,2.48,258.8,100.03,5.23,6.88
2020,1,3,16,2.14,259.5,100.0,4.75,6.0
2020,1,3,17,1.84,255.2,99.99,4.64,5.74
2020,1,3,18,1.83,251.9,100.0,4.63,5.6
2020,1,3,19,1.99,250.9,100.0,4.65,5.26
2020,1,3,20,2.31,249.2,100.0,4.66,4.85
2020,1,3,21,2.7,249.8,99.97,4.68,4.19
2020,1,3,22,3.37,257.0,99.94,4.65,3.38
2020,1,3,23,4.22,271.2,99.91,4.56,2.79
2020,1,4,0,4.64,283.8,99.87,4.35,2.48
2020,1,4,1,4.37,294.5,99.83,4.07,2.71
2020,1,4,2,3.89,302.6,99.81,3.81,2.57
2020,1,4,3,3.81,306.8,99.79,3.67,2.17
2020,1,4,4,4.06,312.1,99.81,3.59,1.86
2020,1,4,5,3.66,316.2,99.83,3.51,1.82
2020,1,4,6,3.68,321.2,99.86,3.43,1.43
2020,1,4,7,3.89,330.8,99.92,3.37,1.53
2020,1,4,8,3.83,345.6,99.96,3.49,2.44
2020,1,4,9,3.55,356.3,100.02,4.11,5.61
2020,1,4,10,2.52,1.4,100.04,4.5,8.16
2020,1,4,11,1.82,346.0,100.03,4.71,10.06
2020,1,4,12,2.04,319.8,99.97,4.91,11.62
2020,1,4,13,2.39,309.7,99.89,5.24,12.43
2020,1,4,14,2.67,304.0,99.85,5.89,12.4
2020,1,4,15,3.02,290.5,99.79,5.84,10.6
2020,1,4,16,4.24,295.8,99.78,4.97,8.23
2020,1,4,17,5.16,302.7,99.78,4.64,7.28
2020,1,4,18,5.69,314.1,99.79,4.3,6.57
2020,1,4,19,5.9,328.7,99.86,3.9,5.8
2020,1,4,20,5.83,338.7,99.91,3.58,5.26
2020,1,4,21,5.14,342.6,99.93,3.25,5.13
2020,1,4,22,4.59,347.5,99.95,2.98,5.1
2020,1,4,23,4.38,352.8,99.95,2.83,4.74
2020,1,5,0,4.38,355.7,99.96,2.74,4.32
2020,1,5,1,4.61,356.0,99.99,2.7,3.82
2020,1,5,2,4.82,354.6,100.03,2.66,3.55
2020,1,5,3,5.11,354.4,100.07,2.65,3.36
2020,1,5,4,5.27,357.1,100.1,2.64,3.08
2020,1,5,5,5.69,2.2,100.15,2.66,2.35
2020,1,5,6,6.27,8.3,100.21,2.7,1.54
2020,1,5,7,6.85,16.4,100.26,2.73,0.96
2020,1,5,8,7.37,24.2,100.33,2.96,1.6
2020,1,5,9,7.13,31.1,100.4,3.58,4.97
2020,1,5,10,5.82,35.0,100.47,3.64,7.75
2020,1,5,11,4.32,42.7,100.48,3.82,9.33
2020,1,5,12,3.73,62.2,100.45,4.04,10.65
2020,1,5,13,3.28,85.8,100.41,4.12,11.39
2020,1,5,14,3.39,98.8,100.4,4.65,11.11
2020,1,5,15,3.89,101.7,100.41,5.39,9.18
2020,1,5,16,4.4,97.0,100.43,4.33,6.16
2020,1,5,17,4.83,88.9,100.46,3.94,4.76
2020,1,5,18,5.11,83.7,100.5,3.84,4.13
2020,1,5,19,5.2,80.2,100.57,3.71,3.67
2020,1,5,20,5.23,76.6,100.61,3.55,3.24
2020,1,5,21,5.31,73.8,100.65,3.37,2.85
2020,1,5,22,5.57,72.2,100.69,3.2,2.42
2020,1,5,23,5.64,71.5,100.72,3.02,2.12
2020,1,6,0,5.42,70.9,100.72,2.91,1.98
2020,1,6,1,5.09,70.6,100.71,2.9,1.91
2020,1,6,2,4.63,71.4,100.7,2.87,1.98
2020,1,6,3,4.08,74.6,100.68,2.83,2.1
2020,1,6,4,3.59,80.7,100.67,2.78,2.09
2020,1,6,5,3.28,88.8,100.66,2.73,2.11
2020,1,6,6,3.15,95.7,100.68,2.71,1.81
2020,1,6,7,3.03,98.3,100.7,2.68,1.4
2020,1,6,8,2.96,97.6,100.74,2.81,1.6
2020,1,6,9,2.83,96.1,100.77,3.58,3.55
2020,1,6,10,3.23,95.9,100.78,3.48,5.33
2020,1,6,11,3.51,100.7,100.75,3.93,6.47
2020,1,6,12,3.1,106.9,100.67,4.19,7.17
2020,1,6,13,2.67,111.1,100.58,4.34,7.45
2020,1,6,14,2.29,116.1,100.53,4.45,7.29
2020,1,6,15,2.0,128.3,100.49,4.83,6.27
2020,1,6,16,1.63,134.0,100.47,4.35,4.09
2020,1,6,17,1.15,115.2,100.46,4.25,3.18
2020,1,6,18,1.24,85.8,100.45,4.23,2.59
2020,1,6,19,1.72,81.0,100.43,4.2,1.94
2020,1,6,20,2.18,87.1,100.42,4.15,1.09
2020,1,6,21,2.51,93.4,100.41,4.1,0.48
2020,1,6,22,2.55,95.8,100.4,4.04,0.22
2020,1,6,23,2.19,98.9,100.38,3.99,0.47
2020,1,7,0,1.48,104.0,100.34,3.92,0.96
2020,1,7,1,0.6,112.7,100.31,3.83,1.4
2020,1,7,2,0.23,260.1,100.28,3.76,1.25
2020,1,7,3,0.85,272.0,100.23,3.66,0.89
2020,1,7,4,1.24,274.2,100.18,3.54,0.41
2020,1,7,5,1.26,281.9,100.13,3.37,-0.05
2020,1,7,6,1.2,292.1,100.13,3.21,0.0
2020,1,7,7,0.94,298.8,100.12,3.13,0.39
2020,1,7,8,0.98,300.0,100.13,3.17,0.88
2020,1,7,9,1.51,295.5,100.15,3.63,2.08
2020,1,7,10,1.64,289.7,100.18,3.51,3.74
2020,1,7,11,1.8,294.0,100.18,3.75,5.28
2020,1,7,12,1.71,296.4,100.12,3.97,6.83
2020,1,7,13,1.42,294.0,100.05,4.15,7.62
2020,1,7,14,1.25,279.7,100.03,4.35,7.64
2020,1,7,15,1.46,255.7,100.04,4.74,6.25
2020,1,7,16,1.52,267.7,100.07,4.1,3.89
2020,1,7,17,1.6,310.7,100.1,3.99,2.54
2020,1,7,18,2.18,348.9,100.15,3.92,1.53
2020,1,7,19,2.95,10.5,100.21,3.79,0.84
2020,1,7,20,3.84,23.2,100.26,3.58,0.32
