-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  45.464   Longitude 10.472 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 303.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.97,19.0,99.35,2.81,5.07
2020,1,1,1,3.06,34.4,99.32,2.72,4.54
2020,1,1,2,3.7,49.5,99.33,2.71,3.54
2020,1,1,3,4.99,59.4,99.35,2.75,2.3
2020,1,1,4,6.43,62.0,99.36,2.83,1.33
2020,1,1,5,7.1,58.7,99.37,2.86,1.01
2020,1,1,6,7.0,55.4,99.4,2.85,0.81
2020,1,1,7,7.08,53.8,99.46,2.84,0.78
2020,1,1,8,7.15,55.4,99.51,2.99,1.52
2020,1,1,9,6.68,59.0,99.55,3.53,3.96
2020,1,1,10,5.91,66.7,99.6,4.04,6.04
2020,1,1,11,5.38,81.0,99.61,4.54,7.43
2020,1,1,12,5.58,89.3,99.57,5.08,8.24
2020,1,1,13,5.35,93.5,99.52,5.28,8.52
2020,1,1,14,4.51,98.2,99.48,5.43,8.29
2020,1,1,15,3.78,98.5,99.46,5.37,6.78
2020,1,1,16,3.71,87.7,99.46,4.73,4.33
2020,1,1,17,4.08,76.8,99.48,4.49,3.36
2020,1,1,18,4.59,71.7,99.54,4.31,2.93
2020,1,1,19,4.98,67.6,99.6,4.12,2.65
2020,1,1,20,5.27,63.9,99.64,3.94,2.47
2020,1,1,21,5.51,62.4,99.67,3.78,2.36
2020,1,1,22,5.64,62.7,99.7,3.67,2.28
2020,1,1,23,5.57,62.1,99.71,3.59,2.2
2020,1,2,0,5.35,59.9,99.69,3.53,2.11
2020,1,2,1,5.01,57.0,99.68,3.45,2.06
2020,1,2,2,4.6,53.3,99.67,3.37,2.08
2020,1,2,3,4.2,49.6,99.65,3.28,2.2
2020,1,2,4,3.82,48.3,99.62,3.2,2.39
2020,1,2,5,3.48,49.1,99.6,3.13,2.52
2020,1,2,6,3.1,48.5,99.61,3.06,2.71
2020,1,2,7,2.77,45.9,99.61,2.99,2.87
2020,1,2,8,2.51,43.5,99.63,3.05,3.37
2020,1,2,9,2.22,47.9,99.65,3.81,4.91
2020,1,2,10,1.87,64.9,99.66,4.23,6.87
2020,1,2,11,1.52,90.4,99.63,4.3,8.11
2020,1,2,12,1.31,108.3,99.56,4.71,9.15
2020,1,2,13,0.99,123.9,99.48,4.92,9.58
2020,1,2,14,0.77,132.4,99.42,4.98,9.43
2020,1,2,15,0.69,143.3,99.37,5.0,8.41
2020,1,2,16,0.28,102.5,99.37,4.39,7.49
2020,1,2,17,0.79,10.9,99.38,4.28,6.78
2020,1,2,18,1.46,2.0,99.39,4.19,6.18
2020,1,2,19,1.69,357.0,99.39,4.09,5.93
2020,1,2,20,1.58,350.2,99.37,3.98,5.94
2020,1,2,21,1.5,336.9,99.35,3.87,5.88
2020,1,2,22,1.58,324.5,99.33,3.78,5.69
2020,1,2,23,1.77,315.2,99.31,3.68,5.14
2020,1,3,0,1.96,308.6,99.27,3.61,4.89
2020,1,3,1,2.16,300.6,99.24,3.55,4.65
2020,1,3,2,2.42,296.5,99.21,3.48,4.0
2020,1,3,3,2.7,299.0,99.17,3.4,3.21
2020,1,3,4,2.8,307.9,99.13,3.31,2.7
2020,1,3,5,2.74,318.1,99.13,3.19,2.55
2020,1,3,6,2.58,326.1,99.15,3.08,2.63
2020,1,3,7,2.37,333.1,99.17,2.98,2.8
2020,1,3,8,2.08,341.5,99.19,3.03,3.34
2020,1,3,9,1.66,351.0,99.21,3.45,4.63
2020,1,3,10,1.01,328.4,99.22,3.84,6.12
2020,1,3,11,1.57,272.2,99.18,4.2,7.03
2020,1,3,12,2.48,265.4,99.1,4.62,7.55
2020,1,3,13,3.04,263.2,99.01,4.92,7.96
2020,1,3,14,3.08,257.6,98.95,5.19,7.74
2020,1,3,15,3.12,250.7,98.91,5.29,6.46
2020,1,3,16,3.18,251.9,98.88,4.94,5.14
2020,1,3,17,3.12,253.6,98.87,4.93,4.75
2020,1,3,18,3.11,254.3,98.87,4.96,4.56
2020,1,3,19,3.22,254.9,98.86,4.96,4.39
2020,1,3,20,3.48,256.2,98.85,4.92,4.15
2020,1,3,21,3.65,257.5,98.84,4.87,3.89
2020,1,3,22,3.69,261.1,98.82,4.81,3.65
2020,1,3,23,3.6,269.0,98.78,4.69,3.27
2020,1,4,0,3.46,280.5,98.73,4.51,2.73
2020,1,4,1,3.3,295.5,98.7,4.29,2.52
2020,1,4,2,3.19,314.6,98.68,4.07,2.75
2020,1,4,3,3.17,333.8,98.66,3.83,3.13
2020,1,4,4,3.43,347.2,98.67,3.57,3.06
2020,1,4,5,3.45,356.7,98.69,3.3,3.0
2020,1,4,6,3.64,2.2,98.74,3.14,2.53
2020,1,4,7,4.39,2.1,98.79,3.06,1.67
2020,1,4,8,4.9,6.1,98.85,3.27,1.9
2020,1,4,9,4.66,9.9,98.9,4.22,4.65
2020,1,4,10,3.59,16.0,98.93,4.53,7.5
2020,1,4,11,2.36,17.0,98.9,4.63,8.88
2020,1,4,12,1.2,358.1,98.85,4.83,10.26
2020,1,4,13,1.13,302.7,98.77,5.0,11.2
2020,1,4,14,1.45,281.9,98.72,5.52,10.81
2020,1,4,15,1.9,270.6,98.65,5.42,9.15
2020,1,4,16,2.85,289.5,98.63,4.91,7.12
2020,1,4,17,3.56,307.6,98.63,4.73,6.12
2020,1,4,18,4.38,326.7,98.63,4.65,5.55
2020,1,4,19,5.32,342.4,98.67,4.43,4.89
2020,1,4,20,5.22,351.9,98.71,4.07,4.62
2020,1,4,21,4.32,359.5,98.72,3.65,4.94
2020,1,4,22,3.37,15.3,98.75,3.24,5.68
2020,1,4,23,2.91,29.2,98.75,2.99,5.96
2020,1,5,0,2.88,34.4,98.76,2.88,5.66
2020,1,5,1,3.0,39.6,98.78,2.81,5.25
2020,1,5,2,3.11,48.0,98.82,2.68,4.76
2020,1,5,3,3.22,54.7,98.88,2.62,4.45
2020,1,5,4,3.74,61.9,98.93,2.64,3.56
2020,1,5,5,4.51,58.8,99.0,2.7,2.17
2020,1,5,6,5.25,50.8,99.09,2.73,1.09
2020,1,5,7,6.23,44.2,99.17,2.76,0.46
2020,1,5,8,7.18,39.9,99.25,3.0,1.19
2020,1,5,9,7.17,41.1,99.33,3.66,4.17
2020,1,5,10,5.98,44.4,99.38,3.97,6.84
2020,1,5,11,4.09,52.0,99.39,4.17,8.27
2020,1,5,12,3.18,65.9,99.35,4.24,9.43
2020,1,5,13,2.88,80.0,99.34,4.26,9.87
2020,1,5,14,2.8,92.7,99.35,4.68,9.51
2020,1,5,15,2.77,100.2,99.37,4.99,7.96
2020,1,5,16,2.88,89.6,99.4,3.92,5.92
2020,1,5,17,3.51,74.1,99.44,3.64,4.48
2020,1,5,18,4.41,67.7,99.48,3.54,3.19
2020,1,5,19,5.26,65.8,99.53,3.44,2.28
2020,1,5,20,6.02,64.3,99.58,3.36,1.74
2020,1,5,21,6.68,62.4,99.62,3.3,1.44
2020,1,5,22,7.27,59.4,99.65,3.25,1.26
2020,1,5,23,7.48,56.4,99.66,3.16,1.07
2020,1,6,0,7.26,52.9,99.65,3.02,0.77
2020,1,6,1,6.92,51.0,99.62,2.86,0.54
2020,1,6,2,6.56,51.7,99.61,2.72,0.38
2020,1,6,3,6.21,53.9,99.59,2.59,0.33
