-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  46.1   Longitude 10.097 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1347.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.56,40.7,87.52,2.16,-0.08
2020,1,1,1,2.35,42.2,87.5,2.06,0.38
2020,1,1,2,2.11,46.3,87.48,2.0,0.76
2020,1,1,3,1.94,51.9,87.47,1.95,0.96
2020,1,1,4,1.91,54.4,87.45,1.94,0.87
2020,1,1,5,1.87,44.1,87.45,1.95,0.65
2020,1,1,6,2.03,24.8,87.47,1.98,0.0
2020,1,1,7,2.1,18.0,87.5,2.0,-0.45
2020,1,1,8,2.15,14.3,87.54,2.08,-0.41
2020,1,1,9,2.16,7.7,87.58,2.59,0.89
2020,1,1,10,1.9,6.6,87.61,3.56,2.74
2020,1,1,11,0.78,351.9,87.62,3.72,4.75
2020,1,1,12,0.74,239.3,87.58,3.9,5.86
2020,1,1,13,0.93,222.4,87.54,4.02,5.45
2020,1,1,14,0.83,226.5,87.52,3.82,4.73
2020,1,1,15,0.56,265.9,87.5,3.32,3.84
2020,1,1,16,0.64,335.0,87.5,3.0,2.64
2020,1,1,17,0.81,13.5,87.51,2.82,2.3
2020,1,1,18,0.76,45.5,87.56,2.67,2.39
2020,1,1,19,0.72,87.6,87.61,2.56,2.41
2020,1,1,20,0.85,119.6,87.65,2.55,2.06
2020,1,1,21,0.99,123.0,87.69,2.6,1.35
2020,1,1,22,1.02,116.3,87.72,2.63,0.72
2020,1,1,23,0.86,103.4,87.73,2.61,0.25
2020,1,2,0,0.68,72.1,87.71,2.61,-0.17
2020,1,2,1,0.79,36.3,87.7,2.62,-0.63
2020,1,2,2,1.04,22.6,87.7,2.64,-1.23
2020,1,2,3,1.29,18.0,87.69,2.63,-2.27
2020,1,2,4,1.56,21.5,87.67,2.68,-2.6
2020,1,2,5,1.82,23.6,87.66,2.72,-3.16
2020,1,2,6,2.01,24.7,87.67,2.77,-3.45
2020,1,2,7,2.11,26.4,87.67,2.81,-3.56
2020,1,2,8,2.1,29.0,87.68,2.87,-3.2
2020,1,2,9,1.96,32.3,87.7,3.17,-1.5
2020,1,2,10,1.71,35.5,87.72,3.82,0.77
2020,1,2,11,1.05,57.8,87.69,3.91,2.43
2020,1,2,12,0.84,104.5,87.64,4.1,3.36
2020,1,2,13,0.89,121.7,87.58,4.27,3.56
2020,1,2,14,0.94,121.5,87.54,4.52,3.23
2020,1,2,15,1.04,97.7,87.51,4.27,2.1
2020,1,2,16,1.27,84.6,87.5,3.85,0.75
2020,1,2,17,1.4,77.3,87.5,3.73,0.2
2020,1,2,18,1.46,72.1,87.49,3.62,0.12
2020,1,2,19,1.42,68.9,87.48,3.44,0.02
2020,1,2,20,1.37,64.6,87.45,3.22,-0.4
2020,1,2,21,1.33,59.2,87.43,3.04,-0.87
2020,1,2,22,1.28,49.4,87.4,2.92,-1.06
2020,1,2,23,1.21,38.3,87.38,2.85,-1.17
2020,1,3,0,1.23,27.2,87.34,2.81,-1.36
2020,1,3,1,1.25,22.7,87.3,2.76,-1.51
2020,1,3,2,1.26,18.0,87.26,2.69,-1.6
2020,1,3,3,1.24,9.8,87.21,2.63,-1.56
2020,1,3,4,1.21,3.3,87.18,2.59,-1.43
2020,1,3,5,1.18,358.5,87.16,2.56,-1.09
2020,1,3,6,1.09,355.8,87.17,2.54,-0.3
2020,1,3,7,1.01,354.9,87.19,2.53,0.16
2020,1,3,8,0.95,358.2,87.22,2.53,0.74
2020,1,3,9,0.87,1.3,87.24,2.66,1.76
2020,1,3,10,0.63,351.7,87.25,2.86,2.99
2020,1,3,11,0.65,287.9,87.22,3.37,3.99
2020,1,3,12,1.32,257.3,87.16,3.92,4.55
2020,1,3,13,1.44,255.5,87.1,4.41,4.2
2020,1,3,14,1.24,258.3,87.06,4.13,3.59
2020,1,3,15,1.01,268.9,87.03,3.72,2.89
2020,1,3,16,0.92,284.5,87.02,3.43,2.6
2020,1,3,17,0.88,294.8,87.0,3.28,2.51
2020,1,3,18,1.0,305.6,87.0,3.26,2.31
2020,1,3,19,1.24,317.9,86.99,3.24,2.01
2020,1,3,20,1.65,329.9,86.97,3.11,1.82
2020,1,3,21,2.01,340.2,86.96,2.94,1.34
2020,1,3,22,2.36,345.6,86.96,2.74,0.71
2020,1,3,23,2.48,353.0,86.94,2.6,0.22
2020,1,4,0,2.89,1.0,86.91,2.53,-0.78
2020,1,4,1,3.11,8.5,86.89,2.55,-1.69
2020,1,4,2,3.21,16.3,86.87,2.63,-2.59
2020,1,4,3,3.33,20.0,86.82,2.64,-3.51
2020,1,4,4,3.41,21.9,86.81,2.61,-4.42
2020,1,4,5,3.56,23.3,86.82,2.57,-5.19
2020,1,4,6,3.97,23.8,86.86,2.53,-5.79
2020,1,4,7,4.17,23.4,86.92,2.5,-5.98
2020,1,4,8,4.16,23.2,86.98,2.6,-5.2
2020,1,4,9,3.78,22.7,87.04,3.13,-2.57
2020,1,4,10,3.33,24.9,87.07,3.85,0.57
2020,1,4,11,2.84,25.0,87.05,4.06,2.79
2020,1,4,12,2.42,13.1,86.99,4.42,4.05
2020,1,4,13,2.49,1.8,86.93,4.85,4.3
2020,1,4,14,2.64,358.7,86.89,4.87,3.28
2020,1,4,15,2.98,356.5,86.85,4.24,1.63
2020,1,4,16,3.23,355.9,86.82,3.65,0.19
2020,1,4,17,3.35,0.7,86.81,3.32,-0.7
2020,1,4,18,4.24,4.7,86.83,3.04,-1.81
2020,1,4,19,5.28,6.9,86.85,2.93,-2.5
2020,1,4,20,5.63,5.4,86.84,2.76,-3.11
2020,1,4,21,5.63,4.9,86.83,2.53,-3.93
2020,1,4,22,5.57,5.6,86.83,2.35,-4.5
2020,1,4,23,5.28,5.7,86.82,2.22,-4.87
2020,1,5,0,5.01,6.3,86.81,2.11,-5.2
2020,1,5,1,4.64,7.4,86.82,2.04,-5.4
