-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  46.1   Longitude 8.283 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1770.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.85,328.7,83.29,1.66,-2.78
2020,1,1,1,2.55,325.9,83.27,1.66,-2.19
2020,1,1,2,2.34,322.3,83.26,1.68,-1.48
2020,1,1,3,2.28,320.2,83.23,1.68,-1.59
2020,1,1,4,2.46,320.1,83.21,1.68,-2.56
2020,1,1,5,2.79,320.1,83.22,1.67,-3.99
2020,1,1,6,2.99,319.5,83.23,1.68,-4.97
2020,1,1,7,3.08,318.7,83.24,1.69,-5.49
2020,1,1,8,3.03,320.2,83.25,1.71,-5.49
2020,1,1,9,2.8,323.1,83.29,1.86,-4.29
2020,1,1,10,2.4,324.3,83.32,2.18,-2.08
2020,1,1,11,2.02,322.8,83.3,2.7,0.16
2020,1,1,12,1.6,318.0,83.25,3.26,1.56
2020,1,1,13,1.27,311.5,83.21,3.15,1.8
2020,1,1,14,1.12,304.1,83.19,3.15,1.81
2020,1,1,15,1.11,297.3,83.18,3.13,1.67
2020,1,1,16,1.11,296.8,83.18,2.56,1.0
2020,1,1,17,1.1,300.5,83.19,1.97,-0.61
2020,1,1,18,1.08,305.6,83.24,1.81,-1.23
2020,1,1,19,0.98,310.9,83.28,1.75,-1.96
2020,1,1,20,0.74,315.5,83.3,1.71,-2.63
2020,1,1,21,0.47,326.3,83.31,1.71,-3.28
2020,1,1,22,0.08,14.0,83.33,1.75,-3.6
2020,1,1,23,0.19,78.1,83.35,1.82,-3.95
2020,1,2,0,0.31,33.2,83.35,1.89,-4.81
2020,1,2,1,0.58,6.9,83.33,1.99,-5.81
2020,1,2,2,0.76,357.7,83.33,2.15,-6.62
2020,1,2,3,0.97,346.3,83.31,2.31,-7.3
2020,1,2,4,1.29,339.0,83.28,2.35,-8.45
2020,1,2,5,1.65,330.2,83.27,2.33,-9.19
2020,1,2,6,1.91,325.2,83.27,2.34,-9.13
2020,1,2,7,2.08,323.8,83.27,2.31,-9.16
2020,1,2,8,2.1,325.1,83.27,2.32,-8.82
2020,1,2,9,1.94,327.9,83.28,2.45,-7.52
2020,1,2,10,1.66,327.3,83.28,2.64,-5.6
2020,1,2,11,1.33,325.7,83.26,3.09,-3.42
2020,1,2,12,0.88,336.6,83.18,3.39,-1.83
2020,1,2,13,0.46,26.0,83.1,3.59,-1.08
2020,1,2,14,0.54,42.0,83.06,3.67,-1.03
2020,1,2,15,0.71,20.7,83.02,3.61,-1.85
2020,1,2,16,0.99,359.4,83.0,3.15,-3.28
2020,1,2,17,1.35,352.8,83.0,2.85,-4.67
2020,1,2,18,1.72,346.5,83.02,2.66,-5.67
2020,1,2,19,2.03,337.4,83.03,2.45,-6.69
2020,1,2,20,2.32,329.7,83.02,2.22,-7.55
2020,1,2,21,2.54,325.9,83.01,2.08,-7.74
2020,1,2,22,2.62,324.0,83.0,2.0,-7.41
2020,1,2,23,2.6,322.0,82.99,1.95,-6.71
2020,1,3,0,2.63,321.3,82.96,1.91,-6.18
2020,1,3,1,2.6,321.2,82.94,1.87,-5.88
2020,1,3,2,2.56,321.3,82.93,1.83,-5.69
2020,1,3,3,2.56,322.0,82.91,1.79,-5.54
2020,1,3,4,2.58,324.0,82.88,1.77,-5.44
2020,1,3,5,2.59,324.1,82.88,1.8,-5.04
2020,1,3,6,2.51,324.7,82.9,1.87,-4.2
2020,1,3,7,2.32,326.6,82.91,1.95,-3.17
2020,1,3,8,2.09,328.3,82.92,2.04,-1.92
2020,1,3,9,1.79,326.0,82.93,2.19,-0.59
2020,1,3,10,1.61,324.3,82.94,2.51,0.78
2020,1,3,11,1.53,327.2,82.91,3.11,1.99
2020,1,3,12,1.55,330.1,82.84,3.2,2.39
2020,1,3,13,1.67,332.5,82.78,3.33,2.32
2020,1,3,14,1.85,333.3,82.74,3.51,2.09
2020,1,3,15,2.11,331.7,82.72,3.66,1.76
2020,1,3,16,2.37,328.7,82.72,3.7,1.41
2020,1,3,17,2.53,330.4,82.74,2.89,-0.4
2020,1,3,18,2.89,331.8,82.76,2.39,-2.55
