-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  46.363   Longitude 9.19 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2036.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.77,29.6,80.6,1.34,-8.45
2020,1,1,1,2.48,32.0,80.56,1.4,-7.8
2020,1,1,2,2.21,33.5,80.54,1.51,-6.99
2020,1,1,3,2.01,34.6,80.52,1.59,-6.95
2020,1,1,4,1.86,32.5,80.5,1.66,-6.96
2020,1,1,5,1.71,29.9,80.5,1.71,-6.75
2020,1,1,6,1.56,26.2,80.51,1.73,-6.43
2020,1,1,7,1.52,24.9,80.52,1.72,-6.26
2020,1,1,8,1.47,29.7,80.54,1.71,-5.99
2020,1,1,9,1.25,35.2,80.56,1.75,-4.87
2020,1,1,10,0.88,44.5,80.57,1.87,-3.08
2020,1,1,11,0.44,62.8,80.56,2.18,-1.16
2020,1,1,12,0.28,129.3,80.51,3.22,0.28
2020,1,1,13,0.42,159.0,80.47,3.23,0.66
2020,1,1,14,0.51,158.0,80.46,3.13,0.84
2020,1,1,15,0.51,145.4,80.45,3.07,0.91
2020,1,1,16,0.54,127.5,80.44,2.11,-0.2
2020,1,1,17,0.66,121.3,80.46,1.58,-1.74
2020,1,1,18,0.78,127.7,80.49,1.43,-2.54
2020,1,1,19,0.94,142.8,80.52,1.37,-3.27
2020,1,1,20,1.16,156.7,80.54,1.34,-4.28
2020,1,1,21,1.36,164.2,80.54,1.34,-5.31
2020,1,1,22,1.57,169.7,80.55,1.36,-6.25
2020,1,1,23,1.77,173.5,80.55,1.42,-7.18
2020,1,2,0,1.94,173.8,80.53,1.5,-8.16
2020,1,2,1,2.05,171.3,80.52,1.6,-9.2
2020,1,2,2,2.14,166.0,80.51,1.69,-10.14
2020,1,2,3,2.19,160.6,80.5,1.75,-10.87
2020,1,2,4,2.17,154.0,80.5,1.79,-11.21
2020,1,2,5,2.1,146.8,80.49,1.81,-11.19
2020,1,2,6,2.09,142.2,80.49,1.8,-11.1
2020,1,2,7,2.15,140.5,80.49,1.78,-11.1
2020,1,2,8,2.24,139.9,80.49,1.77,-11.51
2020,1,2,9,2.31,141.7,80.51,1.87,-10.7
2020,1,2,10,2.33,147.6,80.51,2.16,-8.56
2020,1,2,11,2.21,152.5,80.5,2.95,-5.12
2020,1,2,12,2.22,158.3,80.44,3.52,-2.96
2020,1,2,13,2.26,162.2,80.37,3.74,-2.44
2020,1,2,14,2.15,163.0,80.32,3.76,-2.51
2020,1,2,15,2.04,159.1,80.29,3.49,-3.59
2020,1,2,16,2.06,155.7,80.28,2.95,-5.75
2020,1,2,17,1.99,153.0,80.28,2.58,-7.62
2020,1,2,18,1.86,148.9,80.3,2.38,-8.59
2020,1,2,19,1.72,144.0,80.3,2.25,-9.2
2020,1,2,20,1.65,139.9,80.29,2.17,-9.68
2020,1,2,21,1.58,136.8,80.28,2.11,-10.07
2020,1,2,22,1.51,135.0,80.28,2.14,-9.96
2020,1,2,23,1.42,130.4,80.27,2.22,-9.41
2020,1,3,0,1.27,118.8,80.25,2.33,-8.54
2020,1,3,1,1.2,102.1,80.24,2.39,-7.81
2020,1,3,2,1.19,83.2,80.22,2.38,-7.32
2020,1,3,3,1.3,66.4,80.2,2.29,-7.38
2020,1,3,4,1.47,58.4,80.18,2.17,-7.76
2020,1,3,5,1.53,51.6,80.18,2.08,-7.84
2020,1,3,6,1.43,51.0,80.19,2.04,-7.34
2020,1,3,7,1.19,58.0,80.2,2.03,-6.25
2020,1,3,8,0.95,72.1,80.22,2.07,-4.81
2020,1,3,9,0.83,95.5,80.24,2.17,-3.33
2020,1,3,10,0.92,123.9,80.24,2.42,-1.87
2020,1,3,11,1.07,150.3,80.21,3.18,-0.07
2020,1,3,12,1.07,164.8,80.15,3.58,1.02
2020,1,3,13,0.89,171.0,80.09,3.61,1.28
2020,1,3,14,0.46,191.3,80.05,3.13,1.65
2020,1,3,15,0.73,320.0,80.03,3.38,1.51
2020,1,3,16,1.61,336.9,80.03,3.58,0.76
2020,1,3,17,2.21,341.2,80.04,2.9,-1.33
2020,1,3,18,2.69,344.9,80.07,2.46,-3.88
2020,1,3,19,3.01,348.5,80.1,2.2,-6.23
2020,1,3,20,3.17,353.7,80.1,2.13,-8.08
2020,1,3,21,3.08,359.6,80.1,2.14,-9.46
2020,1,3,22,3.15,358.4,80.09,2.12,-10.72
2020,1,3,23,3.68,357.2,80.07,1.98,-11.64
2020,1,4,0,3.95,0.1,80.04,1.96,-11.03
2020,1,4,1,3.97,3.6,80.0,2.13,-9.72
