-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  44.828   Longitude 10.097 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 170.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,5.83,249.3,100.95,4.54,1.0
2020,1,1,1,5.24,246.5,100.93,4.51,1.06
2020,1,1,2,4.6,240.7,100.92,4.48,1.38
2020,1,1,3,3.5,230.0,100.91,4.5,2.24
2020,1,1,4,2.48,202.5,100.92,4.5,2.55
2020,1,1,5,2.7,176.6,100.95,4.38,1.7
2020,1,1,6,3.05,175.1,100.99,4.27,1.38
2020,1,1,7,2.78,176.1,101.03,4.25,1.81
2020,1,1,8,1.76,160.4,101.09,4.29,3.04
2020,1,1,9,1.24,120.5,101.14,4.75,4.99
2020,1,1,10,1.6,95.0,101.19,5.01,6.98
2020,1,1,11,2.54,89.3,101.19,5.09,7.93
2020,1,1,12,3.28,86.5,101.14,5.26,8.58
2020,1,1,13,3.72,86.1,101.08,5.49,8.88
2020,1,1,14,3.71,85.5,101.05,5.67,8.75
2020,1,1,15,3.65,81.5,101.03,5.73,7.45
2020,1,1,16,3.95,81.4,101.01,5.22,4.59
2020,1,1,17,4.16,84.8,101.03,5.11,3.44
2020,1,1,18,4.24,89.2,101.09,5.05,3.01
2020,1,1,19,4.18,92.9,101.14,4.95,2.52
2020,1,1,20,4.14,92.4,101.18,4.85,2.11
2020,1,1,21,4.3,91.3,101.21,4.71,1.73
2020,1,1,22,4.46,93.0,101.24,4.54,1.3
2020,1,1,23,4.3,95.3,101.27,4.37,0.87
2020,1,2,0,3.81,97.1,101.26,4.24,0.56
2020,1,2,1,3.13,98.4,101.26,4.15,0.58
2020,1,2,2,2.4,102.0,101.26,4.11,0.91
2020,1,2,3,1.52,106.0,101.25,4.08,1.27
2020,1,2,4,0.49,120.8,101.23,4.04,1.69
2020,1,2,5,0.66,257.7,101.23,3.94,1.36
2020,1,2,6,1.66,265.9,101.25,3.82,0.38
2020,1,2,7,2.5,266.3,101.25,3.75,-0.41
2020,1,2,8,3.05,265.3,101.28,3.78,-0.24
2020,1,2,9,2.9,265.5,101.31,4.02,1.66
2020,1,2,10,2.33,275.9,101.32,4.34,3.49
2020,1,2,11,2.14,285.5,101.28,4.66,5.26
2020,1,2,12,2.04,290.9,101.2,4.98,6.83
2020,1,2,13,2.01,292.5,101.11,5.18,7.72
2020,1,2,14,1.85,291.6,101.04,5.33,8.08
2020,1,2,15,1.8,291.4,101.0,5.57,7.13
2020,1,2,16,2.16,288.1,100.97,5.0,5.17
2020,1,2,17,2.63,288.4,100.98,4.89,3.84
2020,1,2,18,3.01,288.8,100.99,4.82,2.93
2020,1,2,19,3.31,286.7,101.0,4.75,2.2
2020,1,2,20,3.52,278.0,100.98,4.69,1.76
2020,1,2,21,3.9,268.1,100.97,4.68,1.57
2020,1,2,22,4.31,262.8,100.94,4.71,1.69
2020,1,2,23,4.71,260.5,100.92,4.72,1.8
2020,1,3,0,5.11,259.4,100.89,4.69,1.73
2020,1,3,1,5.53,257.7,100.87,4.62,1.33
2020,1,3,2,6.07,254.4,100.85,4.58,1.21
2020,1,3,3,6.51,252.0,100.8,4.62,1.64
2020,1,3,4,6.52,251.6,100.76,4.68,1.93
2020,1,3,5,6.27,251.6,100.75,4.73,2.19
2020,1,3,6,6.01,250.4,100.77,4.78,2.57
2020,1,3,7,5.73,248.3,100.79,4.82,2.91
2020,1,3,8,5.25,245.7,100.8,4.92,3.56
2020,1,3,9,4.43,243.0,100.82,5.15,4.66
2020,1,3,10,3.94,244.4,100.83,5.41,5.82
2020,1,3,11,3.77,249.2,100.78,5.69,7.1
2020,1,3,12,3.82,254.0,100.69,5.94,8.43
2020,1,3,13,3.76,256.3,100.6,6.09,9.42
2020,1,3,14,3.48,255.2,100.54,6.32,9.43
2020,1,3,15,3.32,253.0,100.5,6.2,8.24
2020,1,3,16,3.55,249.4,100.48,5.75,6.68
2020,1,3,17,3.86,247.2,100.47,5.66,5.97
2020,1,3,18,4.13,247.2,100.46,5.65,5.76
2020,1,3,19,4.47,250.4,100.46,5.63,5.52
2020,1,3,20,5.03,253.5,100.47,5.62,5.3
2020,1,3,21,5.47,254.0,100.46,5.62,5.18
2020,1,3,22,6.3,250.2,100.44,5.59,5.21
2020,1,3,23,7.08,247.1,100.4,5.52,4.96
2020,1,4,0,7.73,248.3,100.35,5.41,4.46
2020,1,4,1,8.07,250.2,100.32,5.31,4.05
2020,1,4,2,7.98,250.9,100.3,5.16,3.72
2020,1,4,3,7.59,250.6,100.28,4.95,3.66
2020,1,4,4,7.09,253.3,100.28,4.74,3.25
2020,1,4,5,6.74,253.6,100.32,4.56,2.89
2020,1,4,6,6.63,248.9,100.36,4.42,2.7
2020,1,4,7,6.73,250.5,100.41,4.23,2.14
2020,1,4,8,6.21,253.0,100.47,4.23,2.8
2020,1,4,9,5.12,254.7,100.53,4.86,5.8
2020,1,4,10,3.82,258.1,100.56,5.1,7.88
2020,1,4,11,3.29,265.8,100.51,5.18,9.4
2020,1,4,12,3.44,273.8,100.44,5.29,10.61
2020,1,4,13,4.01,280.0,100.36,5.47,11.15
2020,1,4,14,4.34,277.6,100.31,5.67,11.03
2020,1,4,15,5.06,263.1,100.25,6.1,9.44
2020,1,4,16,7.08,259.5,100.21,5.47,7.19
2020,1,4,17,8.51,260.7,100.19,5.09,6.42
2020,1,4,18,9.0,264.1,100.19,4.95,6.46
2020,1,4,19,8.96,274.4,100.23,4.72,5.75
2020,1,4,20,8.86,289.2,100.28,4.56,5.25
2020,1,4,21,8.78,301.9,100.31,4.4,4.92
2020,1,4,22,8.03,315.3,100.32,4.12,4.42
2020,1,4,23,6.89,326.0,100.33,3.79,3.95
2020,1,5,0,5.82,330.8,100.32,3.51,3.83
2020,1,5,1,5.02,333.5,100.34,3.28,3.98
2020,1,5,2,4.26,336.8,100.38,3.09,4.16
2020,1,5,3,3.4,342.7,100.4,2.92,4.42
2020,1,5,4,1.98,356.2,100.44,2.72,5.16
2020,1,5,5,0.61,43.7,100.51,2.59,5.55
2020,1,5,6,0.76,121.0,100.59,2.58,4.98
2020,1,5,7,1.14,117.0,100.67,2.62,3.99
2020,1,5,8,1.54,87.0,100.75,2.79,4.3
2020,1,5,9,2.62,67.3,100.84,4.08,5.69
2020,1,5,10,3.05,68.1,100.92,3.99,7.71
2020,1,5,11,2.77,97.7,100.94,4.22,9.06
2020,1,5,12,3.31,112.9,100.89,4.57,10.3
2020,1,5,13,3.5,111.3,100.85,4.8,10.9
2020,1,5,14,3.58,104.6,100.85,5.01,10.73
2020,1,5,15,4.03,96.6,100.86,5.78,9.13
2020,1,5,16,4.69,93.9,100.87,4.84,5.92
2020,1,5,17,5.18,94.0,100.9,4.47,4.41
2020,1,5,18,5.45,96.0,100.94,4.43,3.79
2020,1,5,19,5.47,99.7,101.0,4.38,3.36
2020,1,5,20,5.28,101.9,101.05,4.34,3.04
2020,1,5,21,5.03,100.9,101.09,4.29,2.74
2020,1,5,22,4.94,95.1,101.13,4.23,2.41
2020,1,5,23,4.99,86.1,101.16,4.19,2.16
2020,1,6,0,4.97,78.9,101.17,4.12,1.66
2020,1,6,1,4.8,75.4,101.15,3.99,1.15
2020,1,6,2,4.58,73.8,101.15,3.82,0.69
2020,1,6,3,4.32,74.8,101.14,3.65,0.29
2020,1,6,4,3.99,80.0,101.13,3.51,-0.03
2020,1,6,5,3.68,88.3,101.13,3.4,-0.42
2020,1,6,6,3.32,97.1,101.13,3.31,-0.75
2020,1,6,7,2.95,104.3,101.16,3.25,-1.02
2020,1,6,8,2.71,107.8,101.2,3.42,-0.27
2020,1,6,9,2.27,107.4,101.22,3.61,1.95
2020,1,6,10,1.83,108.1,101.23,3.99,3.63
2020,1,6,11,1.5,107.1,101.2,4.52,5.58
2020,1,6,12,1.02,97.9,101.12,4.77,6.96
2020,1,6,13,0.74,75.2,101.04,4.87,7.67
2020,1,6,14,0.72,50.1,100.97,4.9,7.8
2020,1,6,15,1.08,30.6,100.94,5.18,7.03
2020,1,6,16,1.58,32.9,100.92,4.64,4.99
2020,1,6,17,1.7,43.8,100.91,4.47,3.8
2020,1,6,18,1.65,58.9,100.9,4.41,3.15
2020,1,6,19,1.6,77.7,100.9,4.34,2.57
2020,1,6,20,1.5,96.5,100.88,4.27,2.14
2020,1,6,21,1.26,116.4,100.87,4.22,2.04
2020,1,6,22,0.86,142.6,100.85,4.19,1.93
2020,1,6,23,0.62,200.8,100.82,4.17,1.72
2020,1,7,0,1.09,247.9,100.77,4.15,1.28
2020,1,7,1,1.93,260.1,100.75,4.1,0.36
2020,1,7,2,2.85,262.6,100.72,4.04,-0.39
2020,1,7,3,3.7,259.7,100.68,3.96,-0.59
2020,1,7,4,4.12,254.8,100.64,3.87,-0.1
2020,1,7,5,4.07,252.4,100.6,3.76,-0.13
2020,1,7,6,3.93,252.9,100.57,3.68,-0.29
2020,1,7,7,3.78,258.2,100.59,3.66,-0.25
2020,1,7,8,3.44,253.8,100.61,3.74,0.28
2020,1,7,9,3.35,248.8,100.64,3.99,1.51
2020,1,7,10,3.37,251.7,100.67,4.26,3.42
2020,1,7,11,3.28,255.5,100.66,4.42,5.22
2020,1,7,12,2.97,266.9,100.6,4.45,6.64
2020,1,7,13,2.62,276.1,100.55,4.43,7.12
2020,1,7,14,2.14,281.9,100.52,4.43,6.83
2020,1,7,15,1.76,281.8,100.54,4.62,5.74
2020,1,7,16,1.74,271.6,100.56,4.22,2.89
2020,1,7,17,1.86,266.9,100.6,4.02,1.36
2020,1,7,18,1.8,270.6,100.65,3.96,0.54
2020,1,7,19,1.74,269.3,100.71,3.89,-0.17
2020,1,7,20,1.63,268.9,100.78,3.83,-0.18
2020,1,7,21,1.35,274.7,100.84,3.78,0.1
2020,1,7,22,0.99,295.8,100.89,3.75,0.11
2020,1,7,23,0.78,274.4,100.91,3.76,-0.03
2020,1,8,0,1.0,248.8,100.92,3.74,0.0
2020,1,8,1,1.01,253.4,100.93,3.78,0.49
2020,1,8,2,1.02,302.6,100.99,3.67,0.64
2020,1,8,3,1.51,320.9,101.02,3.48,0.69
2020,1,8,4,1.75,311.1,101.02,3.27,0.3
2020,1,8,5,2.01,294.1,101.03,3.0,-0.5
2020,1,8,6,2.19,293.7,101.05,2.84,-0.72
2020,1,8,7,2.13,289.2,101.08,2.76,-0.78
2020,1,8,8,1.86,277.7,101.1,2.96,0.0
2020,1,8,9,1.53,277.5,101.12,3.49,2.59
2020,1,8,10,1.03,305.5,101.15,3.41,4.1
2020,1,8,11,0.89,347.7,101.15,3.57,5.74
2020,1,8,12,0.79,354.9,101.09,3.81,6.68
2020,1,8,13,0.54,353.7,101.01,4.04,7.27
2020,1,8,14,0.3,323.1,100.97,4.2,7.38
2020,1,8,15,0.62,270.9,100.95,4.54,6.67
2020,1,8,16,1.41,259.4,100.95,3.97,4.83
2020,1,8,17,2.28,254.7,100.96,3.78,3.33
2020,1,8,18,2.84,254.2,100.97,3.7,2.52
2020,1,8,19,2.96,254.5,100.98,3.63,2.24
2020,1,8,20,2.84,254.5,100.98,3.57,2.19
2020,1,8,21,2.73,250.5,100.98,3.51,2.21
2020,1,8,22,2.66,244.4,100.97,3.46,2.31
2020,1,8,23,2.66,240.0,100.95,3.42,2.45
2020,1,9,0,2.71,240.1,100.91,3.4,2.49
2020,1,9,1,2.74,240.3,100.88,3.41,2.55
2020,1,9,2,2.74,236.3,100.85,3.45,2.67
2020,1,9,3,2.84,235.2,100.8,3.53,2.62
2020,1,9,4,2.8,236.9,100.76,3.65,2.59
2020,1,9,5,2.74,235.3,100.75,3.81,2.51
2020,1,9,6,2.83,232.0,100.74,3.99,2.37
2020,1,9,7,3.04,231.0,100.73,4.17,2.16
2020,1,9,8,3.16,232.1,100.74,4.43,2.78
2020,1,9,9,2.99,232.7,100.75,5.0,5.03
2020,1,9,10,2.75,236.1,100.75,5.3,6.74
2020,1,9,11,3.51,239.5,100.69,5.63,8.54
2020,1,9,12,4.02,242.1,100.59,5.89,10.23
2020,1,9,13,4.14,243.4,100.5,6.03,11.04
2020,1,9,14,3.75,244.1,100.44,6.27,11.05
2020,1,9,15,3.04,245.1,100.4,6.37,9.61
2020,1,9,16,2.96,238.0,100.39,5.54,7.43
2020,1,9,17,3.47,228.7,100.41,5.41,6.03
2020,1,9,18,4.05,223.3,100.42,5.38,5.32
2020,1,9,19,4.47,220.7,100.43,5.35,4.69
2020,1,9,20,4.92,220.0,100.43,5.34,4.2
2020,1,9,21,5.11,220.2,100.42,5.33,3.91
2020,1,9,22,4.96,220.2,100.4,5.32,4.03
2020,1,9,23,4.71,219.7,100.36,5.31,4.33
2020,1,10,0,4.6,221.7,100.32,5.29,4.54
2020,1,10,1,4.47,225.7,100.29,5.26,4.65
