-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  44.828   Longitude 8.283 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.43,121.7,100.44,4.38,2.8
2020,1,1,1,2.03,122.5,100.43,4.37,3.0
2020,1,1,2,1.36,136.2,100.43,4.29,3.25
2020,1,1,3,0.85,174.0,100.41,4.08,3.9
2020,1,1,4,0.79,207.9,100.38,3.79,4.04
2020,1,1,5,0.69,220.9,100.39,3.47,4.32
2020,1,1,6,0.3,189.5,100.43,3.21,4.7
2020,1,1,7,0.37,90.0,100.47,3.02,4.57
2020,1,1,8,0.98,61.9,100.52,3.02,4.11
2020,1,1,9,1.76,49.2,100.6,3.8,4.58
2020,1,1,10,2.42,41.1,100.65,4.06,6.18
2020,1,1,11,2.86,43.3,100.65,4.05,7.06
2020,1,1,12,3.23,48.3,100.59,4.29,7.72
2020,1,1,13,3.6,52.8,100.53,4.52,7.96
2020,1,1,14,3.9,57.0,100.51,4.78,7.82
2020,1,1,15,3.92,58.3,100.51,5.16,6.43
2020,1,1,16,3.95,54.9,100.51,4.71,3.18
2020,1,1,17,3.82,47.9,100.55,4.72,1.81
2020,1,1,18,3.65,39.4,100.62,4.76,1.32
2020,1,1,19,3.48,36.1,100.68,4.72,0.94
2020,1,1,20,3.32,35.9,100.71,4.62,0.87
2020,1,1,21,3.1,32.9,100.73,4.47,1.03
2020,1,1,22,2.94,23.4,100.78,4.26,1.36
2020,1,1,23,2.73,13.8,100.82,4.04,1.16
2020,1,2,0,2.42,9.0,100.83,3.91,0.81
2020,1,2,1,2.14,3.5,100.82,3.82,0.4
2020,1,2,2,1.97,351.5,100.83,3.68,-0.22
2020,1,2,3,1.95,342.1,100.82,3.57,-0.81
2020,1,2,4,1.81,351.7,100.8,3.49,-0.99
2020,1,2,5,1.51,11.8,100.79,3.45,-0.59
2020,1,2,6,1.11,32.1,100.81,3.42,-0.21
2020,1,2,7,0.74,45.0,100.82,3.4,-0.1
2020,1,2,8,0.47,53.6,100.83,3.4,0.4
2020,1,2,9,0.4,69.3,100.85,3.6,1.66
2020,1,2,10,0.81,96.3,100.87,3.77,2.75
2020,1,2,11,1.44,86.4,100.85,4.06,4.54
2020,1,2,12,2.05,86.7,100.76,4.32,5.7
2020,1,2,13,2.87,93.8,100.67,4.46,5.84
2020,1,2,14,3.55,97.9,100.61,4.54,5.44
2020,1,2,15,3.88,101.1,100.57,4.56,4.53
2020,1,2,16,3.7,103.4,100.56,4.44,2.19
2020,1,2,17,3.19,103.4,100.55,4.35,1.17
2020,1,2,18,2.69,101.6,100.57,4.32,1.44
2020,1,2,19,2.43,98.5,100.56,4.34,2.11
2020,1,2,20,2.21,94.7,100.55,4.38,2.55
2020,1,2,21,2.08,92.5,100.54,4.39,2.63
2020,1,2,22,2.11,99.8,100.53,4.41,2.65
2020,1,2,23,2.17,101.7,100.52,4.42,2.63
