-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  44.565   Longitude 9.19 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 493.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.72,217.4,97.11,5.21,3.33
2020,1,1,1,3.26,218.0,97.07,5.24,3.77
2020,1,1,2,3.0,219.0,97.06,5.22,3.99
2020,1,1,3,2.88,220.8,97.03,5.21,4.2
2020,1,1,4,2.63,224.1,97.01,5.25,4.42
2020,1,1,5,2.19,226.3,97.03,5.35,4.89
2020,1,1,6,1.79,224.3,97.06,5.41,5.02
2020,1,1,7,1.65,216.9,97.1,5.43,4.94
2020,1,1,8,1.49,213.3,97.13,5.51,5.26
2020,1,1,9,1.25,213.6,97.18,5.77,6.44
2020,1,1,10,1.06,221.2,97.22,6.2,7.88
2020,1,1,11,0.84,240.7,97.22,6.3,8.88
2020,1,1,12,0.61,278.5,97.16,6.29,9.78
2020,1,1,13,0.47,335.1,97.11,6.31,10.36
2020,1,1,14,0.42,11.0,97.09,6.31,10.44
2020,1,1,15,0.3,30.0,97.08,6.21,9.75
2020,1,1,16,0.21,90.0,97.07,5.7,8.45
2020,1,1,17,0.46,152.9,97.09,5.62,7.76
2020,1,1,18,0.79,176.4,97.15,5.62,7.4
2020,1,1,19,0.91,194.6,97.2,5.61,6.86
2020,1,1,20,0.72,209.1,97.22,5.61,6.54
2020,1,1,21,0.29,194.0,97.25,5.59,6.44
2020,1,1,22,0.44,97.8,97.26,5.5,6.21
2020,1,1,23,0.83,80.3,97.28,5.35,5.75
2020,1,2,0,1.05,68.3,97.27,5.19,5.29
2020,1,2,1,1.29,60.9,97.26,5.04,4.76
2020,1,2,2,1.64,59.5,97.26,4.88,4.05
2020,1,2,3,1.77,63.1,97.25,4.77,3.85
2020,1,2,4,1.68,64.7,97.23,4.66,3.54
2020,1,2,5,1.49,69.1,97.23,4.58,3.33
2020,1,2,6,1.27,84.1,97.26,4.54,3.31
2020,1,2,7,1.17,113.1,97.27,4.56,3.42
2020,1,2,8,1.38,139.7,97.29,4.7,3.77
2020,1,2,9,1.75,158.3,97.32,5.2,5.17
2020,1,2,10,1.97,175.9,97.34,5.78,6.93
2020,1,2,11,2.14,192.4,97.32,6.04,8.1
2020,1,2,12,2.17,201.4,97.26,6.12,8.87
2020,1,2,13,2.08,200.3,97.18,6.1,9.19
2020,1,2,14,2.14,192.9,97.13,6.1,9.02
2020,1,2,15,2.37,187.5,97.1,6.23,8.24
2020,1,2,16,2.69,185.8,97.08,5.74,6.54
2020,1,2,17,3.0,185.4,97.1,5.6,5.51
2020,1,2,18,3.32,188.1,97.12,5.54,5.01
2020,1,2,19,3.5,194.8,97.13,5.47,4.56
2020,1,2,20,3.61,202.8,97.12,5.42,4.41
2020,1,2,21,3.75,210.5,97.12,5.39,4.35
2020,1,2,22,3.84,215.9,97.1,5.39,4.3
2020,1,2,23,3.82,220.4,97.08,5.44,4.31
2020,1,3,0,3.69,223.1,97.05,5.5,4.38
2020,1,3,1,3.5,223.7,97.02,5.55,4.44
2020,1,3,2,3.45,222.5,97.0,5.57,4.63
2020,1,3,3,3.44,221.6,96.95,5.6,4.71
2020,1,3,4,3.44,221.3,96.91,5.64,4.92
2020,1,3,5,3.51,221.6,96.9,5.62,4.89
2020,1,3,6,3.64,221.4,96.92,5.66,4.98
2020,1,3,7,3.73,219.2,96.93,5.69,5.11
2020,1,3,8,3.7,214.4,96.94,5.72,5.33
2020,1,3,9,3.65,210.1,96.95,5.92,6.26
2020,1,3,10,3.79,208.5,96.97,6.03,6.97
2020,1,3,11,3.99,207.6,96.93,6.1,7.33
2020,1,3,12,4.08,207.3,96.86,6.16,7.66
2020,1,3,13,4.1,205.4,96.79,6.18,7.78
2020,1,3,14,4.07,203.2,96.73,6.21,7.62
2020,1,3,15,4.04,201.4,96.7,6.22,7.28
2020,1,3,16,4.38,200.2,96.68,6.15,6.58
2020,1,3,17,4.65,200.9,96.66,6.16,6.4
2020,1,3,18,4.56,203.4,96.65,6.21,6.58
2020,1,3,19,4.35,208.3,96.65,6.24,6.66
2020,1,3,20,4.02,216.3,96.65,6.24,6.65
2020,1,3,21,3.58,226.1,96.63,6.18,6.49
2020,1,3,22,3.41,235.3,96.62,6.08,6.44
2020,1,3,23,3.25,237.7,96.59,5.95,6.22
2020,1,4,0,3.03,244.6,96.55,5.67,5.78
2020,1,4,1,2.76,255.8,96.51,5.44,5.69
2020,1,4,2,2.63,266.3,96.48,5.13,5.42
2020,1,4,3,2.51,273.9,96.45,4.87,5.27
2020,1,4,4,2.63,291.7,96.44,4.65,4.87
2020,1,4,5,3.05,308.2,96.47,4.48,4.32
2020,1,4,6,3.08,315.8,96.5,4.3,4.03
2020,1,4,7,3.28,322.4,96.52,4.17,3.73
2020,1,4,8,3.49,332.9,96.57,4.25,3.86
2020,1,4,9,2.99,341.4,96.63,5.12,6.27
2020,1,4,10,2.59,346.6,96.68,5.29,8.34
2020,1,4,11,2.29,344.6,96.66,5.33,9.84
2020,1,4,12,2.45,333.9,96.59,5.41,11.02
2020,1,4,13,2.9,325.1,96.53,5.62,11.44
2020,1,4,14,3.17,322.6,96.5,5.82,11.3
2020,1,4,15,3.01,315.3,96.48,6.37,10.15
2020,1,4,16,3.3,297.0,96.45,5.59,8.09
2020,1,4,17,3.93,291.5,96.47,5.17,6.69
2020,1,4,18,4.09,290.5,96.47,5.16,6.43
2020,1,4,19,4.22,297.1,96.5,5.06,5.97
2020,1,4,20,4.69,310.1,96.52,4.97,5.43
2020,1,4,21,5.28,322.7,96.54,4.84,4.94
2020,1,4,22,5.79,338.8,96.53,4.61,4.58
2020,1,4,23,6.1,351.5,96.53,4.31,4.26
2020,1,5,0,6.34,358.6,96.51,4.03,3.95
2020,1,5,1,6.63,3.7,96.52,3.8,3.68
2020,1,5,2,6.77,7.0,96.54,3.62,3.45
2020,1,5,3,6.65,10.1,96.57,3.5,3.26
2020,1,5,4,6.18,13.6,96.59,3.39,3.21
2020,1,5,5,5.7,16.4,96.64,3.3,3.14
2020,1,5,6,5.29,17.8,96.69,3.25,2.98
2020,1,5,7,4.83,20.9,96.74,3.2,2.84
2020,1,5,8,4.29,27.9,96.81,3.38,3.41
2020,1,5,9,3.69,39.7,96.88,4.24,5.7
2020,1,5,10,2.96,46.6,96.96,4.21,7.34
2020,1,5,11,2.22,50.9,97.0,4.47,8.38
2020,1,5,12,1.69,85.2,96.96,4.52,10.06
2020,1,5,13,1.42,120.5,96.93,4.71,11.01
2020,1,5,14,1.32,148.6,96.92,4.86,11.3
2020,1,5,15,1.12,148.9,96.93,5.48,10.47
2020,1,5,16,1.18,142.6,96.94,4.47,8.88
2020,1,5,17,1.38,145.6,96.97,4.19,7.86
2020,1,5,18,1.56,155.4,97.02,4.21,7.28
2020,1,5,19,1.64,169.4,97.07,4.28,6.87
2020,1,5,20,1.69,187.1,97.12,4.4,6.5
2020,1,5,21,1.76,202.0,97.15,4.52,6.28
2020,1,5,22,1.69,207.9,97.18,4.63,5.96
2020,1,5,23,1.52,204.0,97.21,4.75,5.78
2020,1,6,0,1.48,199.8,97.21,4.86,5.37
2020,1,6,1,1.54,201.4,97.19,4.95,5.01
2020,1,6,2,1.72,210.0,97.18,5.02,4.77
2020,1,6,3,1.88,222.0,97.18,5.02,4.42
2020,1,6,4,2.13,231.7,97.16,4.98,3.99
2020,1,6,5,2.46,236.8,97.16,4.89,3.38
2020,1,6,6,2.74,239.0,97.17,4.78,2.86
2020,1,6,7,2.88,240.0,97.18,4.65,2.49
2020,1,6,8,2.85,241.3,97.21,4.61,2.78
2020,1,6,9,2.67,242.8,97.23,4.95,4.52
2020,1,6,10,2.37,242.9,97.25,5.02,5.77
2020,1,6,11,2.49,247.6,97.22,5.09,6.7
2020,1,6,12,2.6,255.7,97.15,5.13,7.43
2020,1,6,13,2.53,261.8,97.08,5.14,7.73
2020,1,6,14,2.28,266.2,97.04,5.13,7.63
2020,1,6,15,1.96,274.4,97.01,5.28,6.99
2020,1,6,16,1.5,289.0,96.99,4.87,5.4
2020,1,6,17,1.01,302.9,96.98,4.6,4.73
2020,1,6,18,0.59,312.9,96.97,4.51,4.7
2020,1,6,19,0.21,301.4,96.95,4.42,4.53
2020,1,6,20,0.31,215.8,96.94,4.34,4.37
2020,1,6,21,0.8,212.3,96.92,4.26,4.32
2020,1,6,22,1.31,221.0,96.91,4.19,3.99
2020,1,6,23,1.7,229.5,96.88,4.14,3.6
2020,1,7,0,1.97,240.4,96.85,4.12,3.3
2020,1,7,1,2.22,252.5,96.83,4.13,3.01
2020,1,7,2,2.41,262.1,96.81,4.16,2.88
2020,1,7,3,2.49,269.5,96.78,4.17,2.8
2020,1,7,4,2.21,267.9,96.73,4.16,2.55
2020,1,7,5,1.85,256.9,96.69,4.15,2.88
2020,1,7,6,1.74,242.0,96.65,4.14,2.9
2020,1,7,7,1.55,237.1,96.64,4.14,2.94
2020,1,7,8,0.98,228.7,96.66,4.19,3.42
2020,1,7,9,0.49,219.2,96.69,4.27,4.03
2020,1,7,10,0.23,304.4,96.72,4.46,4.96
2020,1,7,11,0.9,354.9,96.72,4.39,6.13
2020,1,7,12,1.66,11.1,96.66,4.37,7.07
2020,1,7,13,2.37,18.7,96.6,4.48,7.71
2020,1,7,14,2.82,24.5,96.57,4.6,7.76
2020,1,7,15,3.09,26.6,96.58,4.94,6.83
2020,1,7,16,3.39,24.2,96.58,4.4,4.23
2020,1,7,17,3.61,23.4,96.6,4.01,2.88
2020,1,7,18,4.04,25.7,96.63,3.92,2.06
2020,1,7,19,4.68,29.7,96.67,3.85,1.32
2020,1,7,20,5.29,32.9,96.72,3.81,0.76
2020,1,7,21,5.54,34.9,96.77,3.84,0.36
2020,1,7,22,5.78,36.6,96.83,3.93,0.08
2020,1,7,23,5.68,36.5,96.87,4.02,-0.05
2020,1,8,0,5.4,35.3,96.88,4.06,-0.07
2020,1,8,1,5.21,29.7,96.9,4.06,-0.04
2020,1,8,2,5.21,22.1,96.93,4.06,-0.13
2020,1,8,3,5.52,17.7,96.96,4.03,-0.21
