-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  45.464   Longitude 7.908 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 594.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.08,346.1,96.03,2.85,5.16
2020,1,1,1,1.13,347.2,96.0,2.75,5.46
2020,1,1,2,1.14,339.5,96.0,2.68,5.64
2020,1,1,3,1.1,333.4,95.97,2.59,5.94
2020,1,1,4,1.15,339.0,95.94,2.54,5.71
2020,1,1,5,1.44,349.6,95.96,2.54,4.82
2020,1,1,6,1.64,1.7,96.0,2.57,4.14
2020,1,1,7,1.84,8.7,96.04,2.6,3.11
2020,1,1,8,2.19,13.7,96.09,2.7,2.85
2020,1,1,9,2.41,16.4,96.17,3.52,3.85
2020,1,1,10,2.1,20.1,96.22,4.26,6.22
2020,1,1,11,1.88,29.3,96.21,3.89,7.43
2020,1,1,12,1.86,39.3,96.15,4.02,8.02
2020,1,1,13,2.07,49.3,96.1,4.2,8.17
2020,1,1,14,2.25,54.8,96.09,4.62,7.7
2020,1,1,15,2.11,56.4,96.08,4.55,6.16
2020,1,1,16,1.97,47.5,96.08,3.81,4.17
2020,1,1,17,1.97,30.2,96.1,3.6,3.35
2020,1,1,18,1.99,17.9,96.15,3.45,3.36
2020,1,1,19,2.02,15.5,96.2,3.27,3.36
2020,1,1,20,2.09,16.7,96.22,3.13,3.2
2020,1,1,21,2.18,17.6,96.25,3.02,3.03
2020,1,1,22,2.22,19.5,96.27,2.94,2.96
2020,1,1,23,2.21,23.2,96.29,2.92,2.84
2020,1,2,0,2.25,21.7,96.29,2.91,2.57
2020,1,2,1,2.33,18.5,96.27,2.88,2.37
2020,1,2,2,2.32,16.3,96.27,2.88,2.28
2020,1,2,3,2.28,11.9,96.25,2.93,1.97
2020,1,2,4,2.54,12.7,96.23,3.04,1.62
2020,1,2,5,2.62,10.8,96.22,3.08,1.13
2020,1,2,6,2.45,8.7,96.23,3.09,1.01
2020,1,2,7,2.2,1.0,96.23,3.09,0.77
2020,1,2,8,2.08,353.1,96.24,3.12,1.09
2020,1,2,9,1.91,351.3,96.26,3.58,2.66
2020,1,2,10,1.62,354.7,96.27,3.88,4.7
