-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  33.448   Longitude -112.074 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,7.27,51.1,96.0,3.89,4.35
2020,1,1,1,7.16,57.5,95.95,3.75,3.93
2020,1,1,2,7.32,62.9,95.92,3.67,3.61
2020,1,1,3,7.3,67.8,95.89,3.62,3.36
2020,1,1,4,6.99,69.4,95.88,3.59,3.14
2020,1,1,5,6.55,73.9,95.88,3.56,2.98
2020,1,1,6,6.31,84.7,95.87,3.55,2.82
2020,1,1,7,5.27,83.6,95.94,3.54,2.87
2020,1,1,8,4.52,83.5,96.01,4.14,6.02
2020,1,1,9,3.1,106.7,96.03,3.76,9.6
2020,1,1,10,2.15,148.3,95.97,3.89,12.14
2020,1,1,11,1.05,222.3,95.89,3.94,14.04
2020,1,1,12,2.21,271.0,95.77,3.97,15.41
2020,1,1,13,2.29,270.5,95.6,4.02,15.93
2020,1,1,14,2.89,255.0,95.44,4.05,15.93
2020,1,1,15,4.16,243.0,95.34,4.2,15.13
2020,1,1,16,3.59,257.6,95.32,5.37,12.81
2020,1,1,17,3.3,301.2,95.44,5.09,10.13
2020,1,1,18,2.44,300.8,95.47,4.76,9.71
2020,1,1,19,1.63,250.2,95.42,4.63,9.81
2020,1,1,20,2.21,214.1,95.35,4.49,9.09
2020,1,1,21,2.61,211.9,95.32,4.31,8.06
2020,1,1,22,2.53,229.5,95.3,4.23,7.62
2020,1,1,23,1.91,258.8,95.3,4.09,7.52
2020,1,2,0,1.05,274.4,95.27,3.99,7.57
2020,1,2,1,0.46,261.2,95.23,3.96,7.06
2020,1,2,2,0.63,221.8,95.22,3.95,6.49
2020,1,2,3,1.39,214.1,95.18,3.96,5.38
2020,1,2,4,1.72,220.7,95.15,3.96,4.66
2020,1,2,5,1.56,226.8,95.14,3.95,4.39
2020,1,2,6,0.98,237.1,95.17,3.92,4.43
2020,1,2,7,0.52,331.5,95.26,3.9,3.99
2020,1,2,8,0.99,45.0,95.36,4.37,5.6
2020,1,2,9,2.02,44.6,95.42,4.14,8.39
2020,1,2,10,4.25,41.4,95.49,4.03,11.47
2020,1,2,11,4.24,36.0,95.47,3.79,13.76
2020,1,2,12,3.54,16.1,95.42,3.52,15.35
2020,1,2,13,3.38,354.6,95.36,3.27,16.24
2020,1,2,14,3.7,339.1,95.34,3.07,16.6
2020,1,2,15,3.88,323.6,95.38,3.08,16.37
2020,1,2,16,3.82,298.1,95.45,4.9,13.78
2020,1,2,17,4.33,283.2,95.54,4.08,10.27
2020,1,2,18,4.26,287.5,95.64,3.79,9.27
2020,1,2,19,3.68,299.5,95.74,3.64,8.9
2020,1,2,20,2.47,332.8,95.82,3.49,8.7
2020,1,2,21,2.62,31.8,95.9,3.49,7.59
2020,1,2,22,3.92,58.3,95.99,3.49,6.37
2020,1,2,23,5.23,66.1,96.06,3.44,5.34
2020,1,3,0,6.32,67.7,96.11,3.38,4.28
