-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  33.448   Longitude -110.996 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 920.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,6.36,51.6,91.2,3.67,2.33
2020,1,1,1,6.11,57.1,91.15,3.57,1.98
2020,1,1,2,6.07,62.6,91.12,3.49,1.67
2020,1,1,3,6.03,65.9,91.09,3.44,1.44
2020,1,1,4,5.78,68.8,91.07,3.39,1.24
2020,1,1,5,5.34,71.0,91.08,3.35,1.06
2020,1,1,6,5.17,76.1,91.08,3.31,0.87
2020,1,1,7,4.69,72.6,91.12,3.31,1.01
2020,1,1,8,4.07,67.9,91.18,3.99,4.57
2020,1,1,9,2.21,78.0,91.21,3.53,8.11
2020,1,1,10,1.05,210.2,91.15,3.46,11.46
2020,1,1,11,2.3,261.0,91.06,3.5,13.16
2020,1,1,12,3.75,276.4,90.96,3.61,13.83
2020,1,1,13,3.94,278.0,90.85,3.7,13.94
2020,1,1,14,3.6,258.9,90.66,3.75,13.61
2020,1,1,15,5.22,258.8,90.63,3.88,12.62
2020,1,1,16,4.25,257.2,90.56,4.62,10.21
2020,1,1,17,4.09,295.6,90.7,4.89,6.7
2020,1,1,18,3.1,301.7,90.74,4.85,6.32
2020,1,1,19,1.46,287.1,90.69,4.6,6.78
2020,1,1,20,0.97,221.2,90.63,4.44,6.92
2020,1,1,21,1.35,194.1,90.57,4.27,6.38
2020,1,1,22,1.26,225.0,90.54,4.09,5.76
2020,1,1,23,1.66,286.8,90.55,3.99,4.95
2020,1,2,0,1.45,311.6,90.51,3.91,4.66
2020,1,2,1,0.57,328.5,90.48,3.84,4.89
2020,1,2,2,0.25,211.8,90.46,3.79,4.59
2020,1,2,3,1.28,180.9,90.42,3.78,3.59
2020,1,2,4,1.95,180.3,90.38,3.79,2.67
2020,1,2,5,2.1,178.4,90.37,3.81,2.02
2020,1,2,6,1.73,168.3,90.4,3.83,1.75
