-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  34.084   Longitude -111.312 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1348.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,6.04,47.2,86.61,3.06,-0.4
2020,1,1,1,5.87,51.6,86.55,3.04,-0.65
2020,1,1,2,5.89,54.7,86.51,3.04,-0.88
2020,1,1,3,5.94,57.0,86.47,3.06,-1.45
2020,1,1,4,5.83,57.3,86.46,3.07,-2.33
2020,1,1,5,5.4,58.6,86.45,3.04,-2.73
2020,1,1,6,5.17,63.4,86.45,3.04,-2.72
2020,1,1,7,4.72,56.1,86.5,3.06,-2.63
2020,1,1,8,3.86,51.7,86.55,3.53,1.72
2020,1,1,9,1.36,64.8,86.55,3.49,5.37
2020,1,1,10,1.44,241.8,86.51,3.59,8.39
2020,1,1,11,2.61,265.4,86.44,3.61,9.81
2020,1,1,12,3.47,277.5,86.34,3.62,10.59
2020,1,1,13,3.34,275.3,86.21,3.65,10.94
2020,1,1,14,3.49,256.8,86.03,3.67,10.78
2020,1,1,15,4.54,244.8,85.97,3.75,9.55
2020,1,1,16,4.18,265.1,86.0,4.34,6.84
2020,1,1,17,4.09,281.4,86.08,4.39,2.64
2020,1,1,18,3.13,285.2,86.08,4.43,3.19
2020,1,1,19,1.81,259.5,86.02,4.17,3.99
2020,1,1,20,2.04,218.0,85.97,4.09,3.09
2020,1,1,21,2.56,210.6,85.93,4.0,1.85
2020,1,1,22,2.25,233.8,85.92,3.79,1.24
2020,1,1,23,1.92,271.8,85.92,3.71,1.23
2020,1,2,0,1.18,296.8,85.85,3.65,1.52
2020,1,2,1,1.22,350.5,85.8,3.62,1.26
2020,1,2,2,1.63,12.1,85.76,3.61,0.62
2020,1,2,3,1.54,27.1,85.72,3.62,0.0
2020,1,2,4,1.56,39.8,85.68,3.62,-0.67
2020,1,2,5,1.91,43.3,85.66,3.62,-1.47
2020,1,2,6,2.58,43.9,85.7,3.61,-2.28
2020,1,2,7,3.53,39.6,85.77,3.6,-2.33
2020,1,2,8,3.61,34.0,85.83,3.9,0.88
2020,1,2,9,5.51,29.7,85.89,3.67,3.57
2020,1,2,10,6.71,27.4,85.95,3.36,5.84
2020,1,2,11,6.46,24.6,85.93,3.11,7.52
2020,1,2,12,5.79,16.1,85.88,2.82,8.58
2020,1,2,13,5.55,9.1,85.88,2.6,8.98
2020,1,2,14,5.33,4.8,85.89,2.54,8.84
2020,1,2,15,4.87,359.5,85.95,2.65,8.2
2020,1,2,16,4.08,357.8,86.06,3.44,5.85
2020,1,2,17,3.69,3.6,86.16,3.29,1.23
2020,1,2,18,3.51,13.7,86.26,3.06,0.1
2020,1,2,19,3.6,27.5,86.33,3.0,-0.98
