-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  34.084   Longitude -112.836 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 771.03 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,7.41,50.0,92.85,3.15,2.25
2020,1,1,1,7.3,51.1,92.8,3.12,2.06
2020,1,1,2,7.05,51.1,92.78,3.11,1.91
2020,1,1,3,6.58,52.3,92.77,3.1,1.74
2020,1,1,4,6.06,62.0,92.72,3.09,1.6
2020,1,1,5,5.37,58.5,92.79,3.05,1.77
2020,1,1,6,4.92,50.4,92.84,3.04,2.02
2020,1,1,7,4.08,53.0,92.89,3.68,4.57
2020,1,1,8,2.85,78.1,92.84,3.52,8.41
2020,1,1,9,0.63,171.7,92.84,3.45,11.19
2020,1,1,10,2.26,258.5,92.79,3.48,13.15
2020,1,1,11,2.87,249.2,92.63,3.47,13.88
2020,1,1,12,3.02,240.0,92.48,3.43,14.18
2020,1,1,13,4.48,254.3,92.42,3.38,14.07
2020,1,1,14,4.64,241.7,92.22,3.42,12.84
2020,1,1,15,4.94,283.2,92.29,4.33,10.42
2020,1,1,16,5.3,321.7,92.38,4.3,7.22
2020,1,1,17,4.25,335.8,92.38,4.19,6.25
2020,1,1,18,3.0,340.1,92.31,3.93,6.11
2020,1,1,19,2.26,332.1,92.24,3.76,6.14
2020,1,1,20,2.93,327.4,92.22,3.75,5.18
2020,1,1,21,3.94,332.8,92.22,3.73,4.01
2020,1,1,22,4.67,337.7,92.21,3.67,3.27
2020,1,1,23,4.91,339.0,92.16,3.6,2.9
2020,1,2,0,5.1,343.7,92.14,3.53,2.6
2020,1,2,1,5.14,347.5,92.14,3.46,2.39
