-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  34.348   Longitude -112.074 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1343.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,7.96,48.5,86.69,2.54,-2.47
2020,1,1,1,7.57,53.4,86.61,2.54,-2.67
2020,1,1,2,7.32,56.6,86.57,2.59,-2.69
2020,1,1,3,6.83,59.1,86.54,2.65,-2.63
2020,1,1,4,6.03,61.8,86.51,2.72,-2.58
2020,1,1,5,5.33,74.1,86.49,2.77,-2.38
2020,1,1,6,4.52,81.2,86.49,2.81,-1.78
2020,1,1,7,3.68,71.1,86.56,2.85,-0.89
2020,1,1,8,3.17,74.3,86.59,3.69,1.96
2020,1,1,9,1.79,116.9,86.57,3.34,5.5
2020,1,1,10,1.6,210.1,86.54,3.48,7.93
2020,1,1,11,2.67,258.1,86.48,3.52,9.59
2020,1,1,12,2.98,265.6,86.35,3.48,10.66
2020,1,1,13,2.89,251.9,86.17,3.42,11.3
2020,1,1,14,4.41,246.1,86.03,3.46,11.4
2020,1,1,15,4.75,239.9,85.9,3.6,10.17
2020,1,1,16,4.2,273.0,86.0,4.65,7.27
2020,1,1,17,4.22,303.3,86.1,4.4,4.21
2020,1,1,18,2.47,309.7,86.04,4.05,4.09
2020,1,1,19,1.07,291.3,85.97,3.73,4.15
2020,1,1,20,0.75,231.5,85.9,3.65,3.46
2020,1,1,21,0.79,249.3,85.88,3.62,2.62
2020,1,1,22,1.1,334.1,85.89,3.57,1.83
2020,1,1,23,2.21,11.8,85.89,3.52,0.27
2020,1,2,0,3.05,21.9,85.84,3.49,-0.86
2020,1,2,1,4.28,17.4,85.83,3.46,-2.18
2020,1,2,2,4.38,16.2,85.82,3.47,-2.44
2020,1,2,3,4.58,11.1,85.79,3.47,-2.65
2020,1,2,4,4.76,8.6,85.77,3.46,-2.88
2020,1,2,5,4.92,14.1,85.79,3.43,-3.1
2020,1,2,6,5.38,17.4,85.83,3.4,-3.27
2020,1,2,7,5.57,17.7,85.92,3.36,-3.27
2020,1,2,8,5.11,19.1,86.0,3.59,-0.06
2020,1,2,9,6.32,19.0,86.08,3.69,2.92
2020,1,2,10,8.2,26.8,86.15,3.4,5.72
2020,1,2,11,8.04,24.1,86.16,3.05,7.51
2020,1,2,12,7.18,18.1,86.11,2.76,8.67
2020,1,2,13,6.74,14.0,86.08,2.53,9.36
2020,1,2,14,6.32,8.9,86.09,2.43,9.62
2020,1,2,15,5.67,4.8,86.13,2.45,9.3
2020,1,2,16,4.53,359.5,86.22,3.49,6.59
2020,1,2,17,4.11,358.7,86.31,3.17,2.33
2020,1,2,18,4.42,6.4,86.41,3.0,0.71
2020,1,2,19,4.59,16.1,86.48,2.92,-0.42
2020,1,2,20,4.85,28.3,86.53,2.86,-1.46
2020,1,2,21,5.07,33.0,86.6,2.8,-2.14
2020,1,2,22,5.28,32.0,86.66,2.75,-2.58
2020,1,2,23,5.61,32.3,86.7,2.72,-2.73
2020,1,3,0,5.89,33.3,86.74,2.71,-2.76
2020,1,3,1,6.13,35.0,86.79,2.73,-2.75
2020,1,3,2,6.05,33.5,86.84,2.74,-2.77
2020,1,3,3,5.93,31.3,86.86,2.74,-2.84
2020,1,3,4,5.88,28.8,86.88,2.72,-2.99
2020,1,3,5,5.88,27.1,86.94,2.69,-3.08
2020,1,3,6,5.94,28.3,87.0,2.67,-3.1
2020,1,3,7,6.06,28.9,87.06,2.67,-2.98
2020,1,3,8,5.76,29.5,87.15,2.74,0.24
2020,1,3,9,6.12,33.0,87.22,2.74,3.5
2020,1,3,10,6.73,36.4,87.25,2.89,6.96
2020,1,3,11,5.76,33.3,87.26,3.06,9.52
2020,1,3,12,4.71,24.6,87.24,3.17,11.44
2020,1,3,13,3.95,16.6,87.22,3.23,12.81
2020,1,3,14,3.46,20.8,87.22,3.3,13.39
2020,1,3,15,3.12,35.0,87.25,3.48,13.0
2020,1,3,16,2.97,57.4,87.3,4.94,9.87
2020,1,3,17,3.46,65.7,87.36,3.99,5.87
2020,1,3,18,4.18,64.0,87.42,3.85,3.51
2020,1,3,19,4.76,57.2,87.45,3.73,1.87
2020,1,3,20,5.52,47.9,87.48,3.58,0.73
2020,1,3,21,6.45,43.4,87.5,3.42,0.2
2020,1,3,22,7.18,42.2,87.51,3.29,0.16
2020,1,3,23,7.57,42.6,87.47,3.25,0.41
2020,1,4,0,7.7,43.5,87.42,3.22,0.48
2020,1,4,1,7.81,44.7,87.39,3.18,0.29
2020,1,4,2,7.91,47.7,87.38,3.15,-0.02
2020,1,4,3,8.08,50.4,87.37,3.12,-0.31
2020,1,4,4,8.22,52.2,87.35,3.09,-0.51
2020,1,4,5,8.22,54.8,87.38,3.04,-0.63
2020,1,4,6,7.96,59.7,87.42,2.99,-0.63
2020,1,4,7,7.23,67.8,87.46,2.94,-0.51
2020,1,4,8,6.12,76.2,87.51,3.47,3.37
2020,1,4,9,4.03,83.2,87.57,3.16,8.45
2020,1,4,10,2.28,119.4,87.59,2.99,11.64
2020,1,4,11,1.81,138.1,87.52,2.99,13.55
2020,1,4,12,1.5,169.7,87.41,3.04,15.03
2020,1,4,13,1.89,202.4,87.33,3.06,16.35
2020,1,4,14,2.26,209.2,87.28,3.16,16.61
2020,1,4,15,2.51,214.4,87.28,3.41,15.98
2020,1,4,16,2.52,212.2,87.29,5.61,12.95
2020,1,4,17,2.11,210.2,87.31,4.15,10.13
2020,1,4,18,1.17,211.4,87.34,3.76,10.24
2020,1,4,19,0.32,91.8,87.35,3.65,9.5
2020,1,4,20,1.73,59.4,87.37,3.69,7.74
2020,1,4,21,2.76,60.0,87.38,3.69,6.09
2020,1,4,22,3.35,61.3,87.4,3.6,5.15
2020,1,4,23,3.71,61.8,87.38,3.5,4.48
2020,1,5,0,4.01,64.1,87.34,3.37,4.0
2020,1,5,1,4.26,68.5,87.29,3.2,3.67
2020,1,5,2,4.45,71.8,87.25,3.01,3.4
2020,1,5,3,4.52,73.7,87.2,2.83,3.24
2020,1,5,4,4.41,76.4,87.18,2.66,3.22
2020,1,5,5,4.22,79.6,87.2,2.51,3.29
2020,1,5,6,3.91,82.5,87.24,2.41,3.56
2020,1,5,7,3.63,84.9,87.27,2.36,3.91
2020,1,5,8,3.43,90.8,87.3,3.3,5.84
2020,1,5,9,2.98,101.4,87.33,3.56,10.15
2020,1,5,10,2.02,147.3,87.34,2.6,13.08
2020,1,5,11,2.84,192.8,87.28,2.49,15.37
2020,1,5,12,3.32,219.3,87.17,2.51,16.61
2020,1,5,13,3.55,239.3,87.1,2.65,17.02
2020,1,5,14,3.52,255.0,87.05,2.83,16.95
2020,1,5,15,3.22,269.3,87.02,3.14,16.1
2020,1,5,16,2.87,283.1,87.02,5.39,12.94
2020,1,5,17,2.45,305.2,87.04,4.07,9.87
2020,1,5,18,2.61,341.9,87.08,3.84,8.42
2020,1,5,19,3.9,13.9,87.12,3.86,5.97
2020,1,5,20,5.6,27.8,87.15,3.78,3.78
2020,1,5,21,6.67,32.5,87.19,3.52,2.31
2020,1,5,22,7.68,34.7,87.23,3.34,1.24
2020,1,5,23,8.2,38.5,87.26,3.21,0.39
2020,1,6,0,8.86,38.8,87.24,3.1,-0.05
2020,1,6,1,9.12,38.5,87.23,3.02,-0.31
2020,1,6,2,9.04,34.6,87.25,2.98,-0.51
2020,1,6,3,9.32,34.5,87.28,2.97,-0.32
2020,1,6,4,9.23,38.2,87.3,3.0,-0.55
2020,1,6,5,9.06,40.0,87.34,3.0,-0.98
2020,1,6,6,8.84,38.7,87.42,2.96,-1.49
2020,1,6,7,8.55,38.9,87.47,2.87,-1.88
2020,1,6,8,7.86,37.0,87.54,2.9,1.69
2020,1,6,9,8.65,42.3,87.57,2.59,5.21
2020,1,6,10,10.26,45.1,87.57,2.11,8.34
2020,1,6,11,10.55,44.5,87.52,1.88,10.48
2020,1,6,12,10.16,44.0,87.46,1.83,11.75
2020,1,6,13,9.39,44.4,87.43,1.86,12.18
2020,1,6,14,8.41,44.9,87.43,1.91,12.19
2020,1,6,15,7.44,44.5,87.43,2.02,11.49
