-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  32.812   Longitude -111.312 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 725.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.03,65.9,93.36,3.83,5.85
2020,1,1,1,3.04,80.9,93.32,3.75,5.21
2020,1,1,2,3.46,95.3,93.29,3.71,4.45
2020,1,1,3,4.01,101.8,93.26,3.68,3.58
2020,1,1,4,4.34,104.0,93.25,3.64,3.03
2020,1,1,5,4.45,107.1,93.26,3.6,2.73
2020,1,1,6,4.8,112.6,93.27,3.57,2.35
2020,1,1,7,4.7,115.3,93.29,3.58,2.41
2020,1,1,8,4.08,113.5,93.37,4.23,5.76
2020,1,1,9,2.49,122.5,93.41,3.8,9.32
2020,1,1,10,1.0,192.1,93.35,3.66,12.25
2020,1,1,11,1.69,264.2,93.24,3.63,14.15
2020,1,1,12,3.39,287.8,93.13,3.75,14.96
2020,1,1,13,3.92,293.3,93.03,3.83,15.05
2020,1,1,14,2.98,278.3,92.86,3.87,14.77
2020,1,1,15,4.82,276.7,92.81,4.0,14.06
2020,1,1,16,3.53,256.8,92.69,4.9,11.97
2020,1,1,17,4.6,315.4,92.81,5.02,8.79
2020,1,1,18,5.07,339.9,92.91,4.72,7.38
2020,1,1,19,2.91,352.7,92.89,4.71,7.73
2020,1,1,20,0.82,39.1,92.82,4.41,8.6
2020,1,1,21,1.25,137.9,92.74,4.33,8.3
2020,1,1,22,1.48,179.6,92.7,4.21,7.81
2020,1,1,23,1.63,245.3,92.69,4.16,6.98
2020,1,2,0,1.88,287.7,92.67,4.11,6.18
2020,1,2,1,1.49,301.0,92.66,4.05,6.19
2020,1,2,2,1.14,272.5,92.65,3.99,6.04
2020,1,2,3,1.52,232.8,92.62,3.95,5.23
2020,1,2,4,2.27,217.8,92.59,3.93,4.1
2020,1,2,5,2.95,213.5,92.57,3.91,3.04
2020,1,2,6,3.13,213.9,92.58,3.87,2.39
2020,1,2,7,2.53,218.3,92.66,3.8,2.4
2020,1,2,8,2.14,222.3,92.76,4.1,4.49
2020,1,2,9,1.08,278.0,92.81,3.83,6.99
2020,1,2,10,2.4,9.3,92.87,3.83,9.74
2020,1,2,11,2.77,18.3,92.84,3.83,11.53
2020,1,2,12,2.92,359.0,92.78,3.7,12.93
2020,1,2,13,3.46,337.6,92.73,3.5,13.81
2020,1,2,14,4.26,327.4,92.73,3.29,14.13
2020,1,2,15,4.81,317.4,92.77,3.25,13.76
2020,1,2,16,5.28,297.5,92.86,4.1,11.59
2020,1,2,17,5.83,284.2,92.97,4.21,7.25
2020,1,2,18,5.39,281.8,93.08,4.04,5.93
2020,1,2,19,4.36,281.5,93.18,3.89,5.49
2020,1,2,20,2.78,284.6,93.25,3.67,5.97
2020,1,2,21,1.25,294.1,93.32,3.52,6.25
2020,1,2,22,0.46,2.5,93.4,3.43,6.08
2020,1,2,23,1.11,77.0,93.44,3.37,5.66
2020,1,3,0,2.32,85.5,93.49,3.36,4.4
2020,1,3,1,3.39,86.8,93.55,3.34,3.2
2020,1,3,2,3.83,83.7,93.62,3.28,2.58
