-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  32.812   Longitude -112.836 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 240.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.31,52.4,98.93,3.84,5.35
2020,1,1,1,4.45,70.2,98.9,3.83,4.56
2020,1,1,2,4.76,75.5,98.88,3.81,3.85
2020,1,1,3,5.01,72.3,98.9,3.77,3.36
2020,1,1,4,5.47,78.7,98.89,3.73,3.04
2020,1,1,5,5.5,86.7,98.88,3.72,2.93
2020,1,1,6,4.8,77.1,98.96,3.69,3.16
2020,1,1,7,4.28,71.4,99.04,3.95,6.09
2020,1,1,8,3.37,93.2,99.03,3.88,9.3
2020,1,1,9,2.74,114.6,98.94,4.04,12.2
2020,1,1,10,0.53,85.7,98.88,4.0,14.82
2020,1,1,11,1.31,277.0,98.73,3.81,17.1
2020,1,1,12,1.11,254.8,98.54,3.76,17.83
2020,1,1,13,2.4,271.9,98.47,3.73,18.08
2020,1,1,14,3.16,229.5,98.31,3.72,17.47
2020,1,1,15,3.94,244.1,98.25,4.56,15.62
2020,1,1,16,3.72,279.9,98.31,4.79,12.53
2020,1,1,17,3.16,331.1,98.43,4.23,11.91
2020,1,1,18,1.12,345.0,98.4,3.83,12.74
2020,1,1,19,1.04,236.0,98.32,3.65,12.09
2020,1,1,20,2.2,238.8,98.28,3.69,10.74
2020,1,1,21,2.75,252.4,98.25,3.69,9.63
2020,1,1,22,3.04,280.1,98.25,3.63,8.67
2020,1,1,23,3.33,303.5,98.22,3.58,7.87
2020,1,2,0,3.5,324.9,98.21,3.53,7.21
2020,1,2,1,3.5,340.5,98.21,3.5,6.71
2020,1,2,2,3.19,344.0,98.21,3.46,6.58
2020,1,2,3,3.05,337.9,98.18,3.43,6.36
2020,1,2,4,3.55,326.5,98.17,3.42,5.62
2020,1,2,5,4.65,321.3,98.2,3.41,4.53
2020,1,2,6,5.71,328.0,98.28,3.41,3.74
2020,1,2,7,5.53,336.4,98.36,3.66,6.48
2020,1,2,8,4.17,340.1,98.43,3.66,9.32
2020,1,2,9,5.56,358.0,98.47,3.85,12.73
2020,1,2,10,6.67,14.8,98.48,3.94,15.78
2020,1,2,11,6.05,18.0,98.42,3.82,17.48
2020,1,2,12,5.28,14.2,98.34,3.62,18.36
2020,1,2,13,5.0,5.5,98.33,3.43,18.76
2020,1,2,14,4.53,355.6,98.35,3.27,18.67
2020,1,2,15,3.58,338.9,98.42,4.7,16.67
2020,1,2,16,3.56,309.6,98.49,3.92,13.58
2020,1,2,17,5.18,303.0,98.59,3.72,11.3
2020,1,2,18,6.58,311.1,98.67,3.66,9.72
2020,1,2,19,6.99,324.3,98.74,3.61,8.61
2020,1,2,20,7.19,342.6,98.82,3.57,7.64
2020,1,2,21,7.41,0.0,98.89,3.54,6.84
2020,1,2,22,7.62,15.0,98.93,3.51,6.2
2020,1,2,23,7.66,27.4,98.97,3.48,5.62
2020,1,3,0,7.7,37.4,99.05,3.46,5.22
2020,1,3,1,7.81,46.3,99.14,3.44,4.92
2020,1,3,2,7.88,53.4,99.19,3.4,4.56
2020,1,3,3,7.79,56.8,99.23,3.37,4.28
2020,1,3,4,7.7,58.2,99.29,3.34,4.04
2020,1,3,5,7.63,59.8,99.37,3.29,3.79
2020,1,3,6,7.52,60.6,99.46,3.25,3.67
2020,1,3,7,7.35,58.9,99.55,3.33,6.66
2020,1,3,8,5.96,58.0,99.63,3.32,9.48
2020,1,3,9,6.09,62.9,99.67,3.33,12.87
2020,1,3,10,5.79,68.4,99.65,3.01,16.1
2020,1,3,11,4.51,61.5,99.61,2.85,17.74
2020,1,3,12,3.68,51.5,99.56,2.84,18.53
2020,1,3,13,3.39,51.1,99.54,2.87,18.71
2020,1,3,14,3.18,58.9,99.54,2.95,18.3
2020,1,3,15,2.54,71.6,99.57,4.46,16.44
2020,1,3,16,1.81,91.6,99.61,3.56,14.37
2020,1,3,17,1.13,103.3,99.65,3.2,13.79
2020,1,3,18,0.48,70.4,99.68,3.11,13.47
2020,1,3,19,1.02,2.2,99.72,3.06,12.84
2020,1,3,20,2.07,1.7,99.75,3.07,11.74
2020,1,3,21,3.0,12.5,99.77,3.14,10.62
2020,1,3,22,3.57,26.3,99.75,3.18,9.64
2020,1,3,23,3.92,39.6,99.71,3.21,8.79
2020,1,4,0,4.35,52.2,99.68,3.26,7.86
2020,1,4,1,5.05,63.7,99.68,3.34,6.86
2020,1,4,2,5.76,72.1,99.67,3.42,6.04
2020,1,4,3,6.24,77.2,99.68,3.46,5.4
2020,1,4,4,6.57,80.6,99.72,3.46,4.94
2020,1,4,5,6.8,82.9,99.77,3.44,4.61
2020,1,4,6,6.99,83.8,99.82,3.42,4.49
2020,1,4,7,6.95,82.6,99.88,3.61,7.27
2020,1,4,8,5.65,78.0,99.93,3.64,9.96
2020,1,4,9,5.09,72.1,99.95,3.62,13.05
2020,1,4,10,4.97,65.4,99.87,3.59,15.66
2020,1,4,11,4.62,61.3,99.75,3.58,17.59
2020,1,4,12,4.15,58.0,99.63,3.6,18.84
2020,1,4,13,3.72,56.1,99.56,3.62,19.58
2020,1,4,14,3.44,53.6,99.52,3.65,19.51
2020,1,4,15,3.2,46.3,99.51,5.24,17.35
2020,1,4,16,3.03,34.0,99.53,4.38,14.38
2020,1,4,17,3.05,22.1,99.56,4.0,13.26
2020,1,4,18,3.28,18.3,99.57,3.94,12.27
2020,1,4,19,3.81,19.0,99.58,3.92,11.06
2020,1,4,20,4.69,21.5,99.59,3.92,9.6
2020,1,4,21,5.66,26.9,99.59,3.93,8.44
2020,1,4,22,6.3,34.4,99.58,3.94,7.75
2020,1,4,23,6.31,44.2,99.54,3.95,7.2
2020,1,5,0,5.89,57.6,99.51,3.92,6.66
2020,1,5,1,5.54,68.7,99.48,3.88,6.17
2020,1,5,2,5.24,71.8,99.45,3.85,5.74
2020,1,5,3,5.04,71.2,99.45,3.82,5.3
2020,1,5,4,5.05,72.9,99.49,3.8,4.84
2020,1,5,5,5.22,76.6,99.55,3.79,4.4
2020,1,5,6,5.42,80.1,99.6,3.77,4.11
2020,1,5,7,5.61,83.3,99.67,4.0,7.09
2020,1,5,8,4.73,83.4,99.73,3.99,10.04
2020,1,5,9,4.36,78.5,99.73,3.99,13.02
2020,1,5,10,4.04,70.3,99.63,4.02,15.46
2020,1,5,11,3.67,56.6,99.49,4.03,17.35
2020,1,5,12,3.67,38.0,99.39,4.03,18.74
2020,1,5,13,3.82,29.4,99.31,3.98,19.76
2020,1,5,14,3.52,29.5,99.25,3.96,19.9
2020,1,5,15,3.0,32.6,99.25,5.57,17.91
2020,1,5,16,2.57,23.7,99.27,4.45,15.75
2020,1,5,17,2.77,0.6,99.32,4.17,14.6
2020,1,5,18,3.52,351.2,99.36,4.21,12.94
2020,1,5,19,4.49,342.8,99.39,4.23,11.19
2020,1,5,20,5.9,338.6,99.43,4.24,9.59
2020,1,5,21,7.2,344.0,99.47,4.24,8.59
2020,1,5,22,7.87,353.4,99.47,4.19,7.74
2020,1,5,23,7.88,1.4,99.45,4.09,6.69
2020,1,6,0,7.71,9.8,99.43,3.96,5.57
2020,1,6,1,7.52,17.6,99.42,3.84,4.72
2020,1,6,2,7.67,23.7,99.42,3.73,4.41
2020,1,6,3,8.18,26.9,99.44,3.66,4.48
2020,1,6,4,8.5,29.2,99.51,3.58,4.57
2020,1,6,5,8.49,32.1,99.59,3.51,4.54
2020,1,6,6,8.73,35.4,99.67,3.45,4.74
2020,1,6,7,8.81,42.1,99.77,3.54,8.27
2020,1,6,8,7.39,53.1,99.84,3.6,11.53
2020,1,6,9,8.12,65.9,99.87,3.57,14.68
2020,1,6,10,7.98,65.0,99.82,3.21,17.4
2020,1,6,11,7.62,56.3,99.71,2.65,19.48
2020,1,6,12,7.43,48.1,99.64,2.35,20.52
2020,1,6,13,6.9,42.0,99.6,2.28,20.9
2020,1,6,14,5.87,36.3,99.58,2.43,20.68
2020,1,6,15,4.2,27.2,99.57,4.39,17.93
2020,1,6,16,3.36,9.4,99.56,3.37,15.62
2020,1,6,17,3.75,355.4,99.56,3.14,14.23
2020,1,6,18,4.74,352.4,99.56,3.2,12.46
2020,1,6,19,6.09,359.3,99.55,3.23,10.79
2020,1,6,20,7.5,12.7,99.56,3.22,9.73
2020,1,6,21,8.63,24.9,99.56,3.19,9.09
2020,1,6,22,9.35,33.4,99.55,3.17,8.23
2020,1,6,23,9.66,40.3,99.54,3.14,7.24
2020,1,7,0,9.62,47.1,99.53,3.1,6.29
2020,1,7,1,9.63,54.6,99.53,3.06,5.55
2020,1,7,2,9.73,57.8,99.51,3.03,5.12
2020,1,7,3,9.79,57.8,99.5,3.0,4.86
2020,1,7,4,9.87,58.1,99.5,2.92,4.77
2020,1,7,5,10.13,58.4,99.5,2.83,4.87
2020,1,7,6,10.38,58.0,99.48,2.76,5.11
2020,1,7,7,9.54,58.7,99.47,2.75,7.8
2020,1,7,8,7.46,59.9,99.47,2.83,10.58
2020,1,7,9,7.58,68.1,99.43,2.85,14.25
2020,1,7,10,7.98,73.3,99.32,2.79,17.53
2020,1,7,11,8.12,74.1,99.16,2.62,20.12
2020,1,7,12,7.91,72.3,99.02,2.49,21.52
2020,1,7,13,7.04,67.6,98.93,2.62,21.54
2020,1,7,14,5.96,56.7,98.9,3.93,19.81
2020,1,7,15,5.58,41.3,98.88,4.62,16.82
2020,1,7,16,5.57,27.9,98.87,4.12,14.41
2020,1,7,17,5.69,18.8,98.87,3.89,13.27
2020,1,7,18,5.97,13.8,98.85,3.71,12.28
2020,1,7,19,6.12,14.4,98.83,3.56,11.38
2020,1,7,20,5.96,18.6,98.82,3.4,10.48
2020,1,7,21,5.64,25.9,98.79,3.32,9.84
2020,1,7,22,5.13,38.2,98.75,3.31,9.31
2020,1,7,23,4.72,56.4,98.71,3.33,8.74
2020,1,8,0,4.67,75.3,98.67,3.41,8.12
2020,1,8,1,4.54,88.0,98.65,3.54,7.67
2020,1,8,2,4.11,100.1,98.62,3.64,7.16
2020,1,8,3,3.79,114.5,98.56,3.67,6.74
2020,1,8,4,4.1,132.3,98.53,3.64,6.32
2020,1,8,5,5.35,149.2,98.51,3.64,5.82
2020,1,8,6,6.83,163.8,98.52,3.81,5.66
2020,1,8,7,7.24,172.5,98.54,4.35,8.01
2020,1,8,8,5.24,179.8,98.6,4.64,10.65
2020,1,8,9,4.22,199.4,98.61,4.58,13.76
2020,1,8,10,4.45,220.3,98.54,4.02,16.89
2020,1,8,11,5.15,236.4,98.44,3.42,19.07
2020,1,8,12,5.55,243.3,98.35,3.26,19.8
2020,1,8,13,5.76,244.3,98.32,3.21,19.95
2020,1,8,14,5.76,242.9,98.3,3.23,19.55
2020,1,8,15,5.51,239.4,98.31,4.31,17.13
2020,1,8,16,5.46,233.6,98.33,4.36,12.6
2020,1,8,17,5.42,228.4,98.37,4.12,11.12
2020,1,8,18,5.26,222.8,98.4,4.05,10.39
2020,1,8,19,5.12,219.4,98.43,4.02,9.93
2020,1,8,20,5.16,220.0,98.47,4.01,9.49
2020,1,8,21,5.15,222.4,98.5,4.0,8.86
2020,1,8,22,4.86,225.0,98.49,4.04,8.41
2020,1,8,23,4.41,233.9,98.47,4.13,8.11
2020,1,9,0,3.88,243.4,98.49,4.27,7.93
2020,1,9,1,3.06,241.8,98.47,4.46,8.08
2020,1,9,2,2.6,232.3,98.41,4.63,8.43
2020,1,9,3,2.88,216.1,98.38,4.71,7.66
2020,1,9,4,3.59,214.4,98.42,4.79,7.04
2020,1,9,5,4.07,210.4,98.45,4.84,6.66
2020,1,9,6,4.58,213.1,98.47,4.94,6.58
2020,1,9,7,4.89,217.5,98.49,5.17,8.51
2020,1,9,8,4.29,230.7,98.49,5.4,10.97
2020,1,9,9,5.21,254.3,98.49,5.15,14.2
2020,1,9,10,6.35,254.6,98.42,4.66,16.33
2020,1,9,11,7.31,253.3,98.31,4.34,17.19
2020,1,9,12,8.12,255.5,98.22,4.21,17.57
2020,1,9,13,8.21,257.3,98.16,4.33,17.6
2020,1,9,14,8.08,260.0,98.15,4.7,17.12
2020,1,9,15,7.68,263.8,98.19,5.25,15.68
2020,1,9,16,7.18,275.4,98.27,5.84,13.56
2020,1,9,17,6.44,289.9,98.35,6.1,12.6
2020,1,9,18,5.48,298.6,98.4,6.08,11.79
2020,1,9,19,4.61,302.2,98.42,5.89,11.03
2020,1,9,20,4.22,305.6,98.44,5.52,10.17
2020,1,9,21,4.39,306.3,98.46,5.09,9.21
2020,1,9,22,4.86,307.6,98.46,4.72,8.21
2020,1,9,23,5.61,312.3,98.45,4.43,7.3
2020,1,10,0,6.36,318.8,98.48,4.19,6.63
2020,1,10,1,6.92,322.8,98.54,3.98,5.95
2020,1,10,2,7.14,323.9,98.59,3.8,5.2
2020,1,10,3,6.99,327.4,98.65,3.68,4.44
2020,1,10,4,6.68,332.7,98.76,3.62,3.8
2020,1,10,5,6.23,337.3,98.89,3.61,3.26
2020,1,10,6,5.77,336.9,99.03,3.6,3.03
2020,1,10,7,4.43,341.4,99.15,3.65,5.74
2020,1,10,8,2.36,353.4,99.25,3.71,8.26
2020,1,10,9,3.05,359.1,99.3,3.55,11.89
2020,1,10,10,4.8,358.9,99.25,3.27,15.45
2020,1,10,11,5.19,354.5,99.16,2.97,17.83
2020,1,10,12,5.15,346.6,99.09,2.8,18.88
2020,1,10,13,5.4,337.9,99.07,2.66,19.16
2020,1,10,14,5.42,330.6,99.08,2.55,18.75
2020,1,10,15,5.2,319.1,99.12,3.57,16.5
