-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  32.549   Longitude -112.074 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 572.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.84,320.7,95.13,3.79,5.4
2020,1,1,1,2.01,317.0,95.08,3.72,5.8
2020,1,1,2,0.69,322.6,95.04,3.66,6.37
2020,1,1,3,0.71,113.3,95.0,3.64,6.23
2020,1,1,4,1.54,117.4,94.98,3.64,5.51
2020,1,1,5,2.0,121.9,95.0,3.63,5.02
2020,1,1,6,2.97,132.1,95.01,3.63,4.05
2020,1,1,7,3.53,141.7,95.03,3.66,3.64
2020,1,1,8,3.25,148.5,95.1,4.42,6.13
2020,1,1,9,2.02,158.8,95.15,4.08,9.5
2020,1,1,10,0.97,187.1,95.08,3.92,12.55
2020,1,1,11,0.87,260.1,94.95,3.84,14.92
2020,1,1,12,2.59,304.9,94.84,3.92,16.27
2020,1,1,13,3.06,314.2,94.72,3.96,16.84
2020,1,1,14,2.03,311.6,94.57,3.97,16.85
2020,1,1,15,3.93,293.9,94.53,4.15,16.45
2020,1,1,16,2.89,253.1,94.36,5.65,14.43
2020,1,1,17,4.27,294.8,94.4,5.37,10.94
2020,1,1,18,6.8,335.8,94.58,4.87,9.07
2020,1,1,19,5.03,347.4,94.62,4.89,8.46
2020,1,1,20,1.36,356.2,94.55,4.57,9.64
2020,1,1,21,1.1,194.8,94.47,4.4,9.46
2020,1,1,22,2.55,224.7,94.42,4.49,8.01
2020,1,1,23,3.64,251.8,94.41,4.57,6.93
2020,1,2,0,4.52,268.9,94.38,4.42,5.78
2020,1,2,1,4.89,278.7,94.37,4.22,4.8
2020,1,2,2,4.75,280.8,94.38,4.05,4.28
2020,1,2,3,4.64,275.4,94.36,3.88,3.91
2020,1,2,4,4.81,268.2,94.33,3.72,3.58
2020,1,2,5,5.04,262.1,94.32,3.58,3.34
2020,1,2,6,5.56,258.1,94.33,3.48,3.01
2020,1,2,7,6.1,262.9,94.39,3.44,2.83
2020,1,2,8,5.96,269.8,94.5,3.76,6.04
2020,1,2,9,4.96,288.3,94.56,3.56,8.8
2020,1,2,10,5.1,324.5,94.61,3.74,11.03
2020,1,2,11,4.83,351.1,94.6,3.98,12.72
2020,1,2,12,4.84,356.2,94.55,4.04,13.78
2020,1,2,13,4.77,354.3,94.51,3.96,14.37
2020,1,2,14,4.88,351.8,94.5,3.86,14.51
2020,1,2,15,5.0,345.4,94.56,3.82,14.1
2020,1,2,16,4.5,337.3,94.65,4.53,12.33
2020,1,2,17,3.63,319.7,94.75,4.43,8.72
2020,1,2,18,3.06,294.6,94.85,4.06,7.87
2020,1,2,19,3.01,273.2,94.92,3.86,7.53
2020,1,2,20,3.35,259.3,94.98,3.72,7.17
2020,1,2,21,3.65,254.9,95.04,3.62,6.78
2020,1,2,22,3.76,262.8,95.1,3.55,6.41
2020,1,2,23,3.29,268.4,95.14,3.45,6.47
2020,1,3,0,2.21,269.2,95.18,3.32,7.12
2020,1,3,1,0.71,278.9,95.24,3.23,7.85
2020,1,3,2,0.91,63.2,95.31,3.22,7.41
2020,1,3,3,2.01,75.6,95.36,3.25,6.33
2020,1,3,4,2.55,81.9,95.38,3.28,5.6
2020,1,3,5,2.71,80.2,95.44,3.28,5.25
2020,1,3,6,2.6,71.8,95.53,3.27,5.23
2020,1,3,7,2.59,62.6,95.6,3.27,5.16
2020,1,3,8,2.89,53.7,95.68,4.04,6.4
2020,1,3,9,2.92,44.6,95.77,3.67,9.02
2020,1,3,10,4.01,39.8,95.81,3.42,11.74
2020,1,3,11,4.39,46.4,95.78,3.02,14.09
2020,1,3,12,4.18,40.1,95.73,3.0,15.28
