-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  33.448   Longitude -113.152 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 425.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,7.01,36.1,96.72,3.42,4.01
2020,1,1,1,7.22,42.5,96.69,3.25,3.49
2020,1,1,2,7.51,46.7,96.69,3.14,3.09
2020,1,1,3,7.71,48.8,96.69,3.08,2.83
2020,1,1,4,7.91,56.1,96.66,3.07,2.73
2020,1,1,5,7.69,57.3,96.69,3.08,2.53
2020,1,1,6,7.46,52.1,96.77,3.08,2.46
2020,1,1,7,6.73,53.2,96.83,3.26,5.47
2020,1,1,8,4.95,76.7,96.79,3.28,8.49
2020,1,1,9,3.26,90.2,96.75,3.55,10.65
2020,1,1,10,1.16,74.1,96.72,3.63,12.75
2020,1,1,11,0.83,223.1,96.54,3.45,15.36
2020,1,1,12,1.4,214.3,96.35,3.34,16.42
2020,1,1,13,2.83,258.8,96.3,3.29,16.76
2020,1,1,14,3.86,222.7,96.06,3.3,15.98
2020,1,1,15,3.91,258.5,96.1,4.55,13.8
2020,1,1,16,4.16,309.0,96.17,4.39,10.93
2020,1,1,17,4.14,337.4,96.22,3.98,9.86
2020,1,1,18,3.01,336.8,96.18,3.78,9.53
2020,1,1,19,2.26,318.8,96.11,3.65,9.32
2020,1,1,20,2.87,313.0,96.09,3.63,8.24
2020,1,1,21,3.79,323.3,96.06,3.63,6.97
2020,1,1,22,5.05,334.7,96.06,3.63,5.71
2020,1,1,23,5.63,338.9,96.02,3.59,5.01
2020,1,2,0,6.02,343.1,96.0,3.55,4.52
2020,1,2,1,6.28,345.3,96.01,3.52,4.24
2020,1,2,2,6.16,342.2,95.98,3.48,3.97
2020,1,2,3,6.67,339.1,95.95,3.44,3.68
2020,1,2,4,7.82,337.1,95.94,3.42,3.56
2020,1,2,5,8.71,338.2,95.98,3.4,3.58
2020,1,2,6,9.28,343.9,96.06,3.41,3.74
2020,1,2,7,8.5,349.3,96.13,3.54,6.37
2020,1,2,8,6.57,347.9,96.21,3.72,8.98
2020,1,2,9,7.6,6.7,96.28,3.92,12.74
2020,1,2,10,7.24,20.6,96.3,3.75,15.4
2020,1,2,11,6.1,16.3,96.24,3.48,16.77
2020,1,2,12,5.43,5.7,96.16,3.24,17.57
2020,1,2,13,5.6,354.5,96.14,3.01,17.97
2020,1,2,14,5.53,344.7,96.17,2.83,17.79
2020,1,2,15,5.16,328.8,96.23,4.08,15.38
2020,1,2,16,6.01,317.4,96.31,3.78,10.98
2020,1,2,17,7.55,321.1,96.41,3.53,9.28
2020,1,2,18,8.58,333.7,96.49,3.42,8.43
2020,1,2,19,9.36,349.5,96.56,3.33,7.83
2020,1,2,20,10.09,2.5,96.65,3.21,7.42
2020,1,2,21,10.32,12.8,96.73,3.14,6.9
2020,1,2,22,10.29,21.5,96.78,3.09,6.31
2020,1,2,23,10.21,28.8,96.83,3.08,5.79
2020,1,3,0,10.17,35.0,96.91,3.09,5.49
2020,1,3,1,9.8,41.7,97.01,3.09,5.09
2020,1,3,2,9.3,46.2,97.07,3.06,4.51
2020,1,3,3,8.77,47.0,97.1,3.02,4.09
2020,1,3,4,8.49,45.7,97.16,2.99,3.91
2020,1,3,5,8.32,45.1,97.24,2.96,3.78
2020,1,3,6,8.22,44.2,97.32,2.94,3.7
2020,1,3,7,8.0,42.5,97.41,3.02,6.76
2020,1,3,8,6.2,44.8,97.49,2.96,9.94
2020,1,3,9,5.48,68.3,97.52,2.88,13.12
2020,1,3,10,4.31,76.0,97.5,2.79,15.13
2020,1,3,11,2.54,63.0,97.44,2.77,16.51
2020,1,3,12,1.58,32.6,97.38,2.75,17.67
2020,1,3,13,1.19,19.2,97.33,2.76,18.39
2020,1,3,14,0.51,24.5,97.33,2.87,18.43
2020,1,3,15,1.16,206.1,97.35,4.35,16.83
2020,1,3,16,2.49,220.0,97.4,3.72,13.7
2020,1,3,17,2.83,244.7,97.45,3.47,12.24
2020,1,3,18,3.05,277.7,97.49,3.4,11.16
2020,1,3,19,3.71,309.6,97.53,3.41,9.98
2020,1,3,20,4.41,332.6,97.56,3.41,9.01
2020,1,3,21,4.71,352.8,97.57,3.45,8.55
2020,1,3,22,4.86,15.5,97.55,3.51,8.04
2020,1,3,23,5.33,35.3,97.51,3.61,7.41
2020,1,4,0,6.05,46.3,97.49,3.69,6.8
2020,1,4,1,6.72,53.2,97.5,3.71,6.09
2020,1,4,2,7.25,58.0,97.49,3.64,5.43
2020,1,4,3,7.55,60.9,97.5,3.54,4.98
2020,1,4,4,7.74,63.8,97.54,3.46,4.77
2020,1,4,5,7.94,65.4,97.59,3.41,4.65
2020,1,4,6,8.15,65.7,97.64,3.38,4.61
2020,1,4,7,8.13,64.9,97.7,3.5,7.48
2020,1,4,8,6.57,68.0,97.76,3.47,10.35
2020,1,4,9,5.55,74.3,97.79,3.44,12.84
2020,1,4,10,4.83,73.3,97.71,3.5,14.92
2020,1,4,11,4.03,74.3,97.59,3.58,16.68
2020,1,4,12,3.28,78.9,97.49,3.6,18.19
2020,1,4,13,2.55,84.4,97.43,3.6,19.06
2020,1,4,14,1.96,86.8,97.4,3.68,18.99
2020,1,4,15,1.28,94.5,97.39,4.85,17.52
2020,1,4,16,0.3,43.7,97.41,3.89,16.06
2020,1,4,17,1.55,332.3,97.43,3.78,14.49
2020,1,4,18,3.0,340.1,97.44,3.95,12.56
2020,1,4,19,4.51,351.6,97.45,4.05,10.35
2020,1,4,20,5.9,2.5,97.46,4.08,8.91
2020,1,4,21,6.85,13.2,97.46,4.09,8.29
2020,1,4,22,7.35,23.9,97.44,4.09,7.96
2020,1,4,23,7.4,33.4,97.4,4.07,7.65
2020,1,5,0,7.22,41.7,97.36,4.04,7.29
2020,1,5,1,7.05,46.9,97.33,3.99,6.87
2020,1,5,2,6.87,47.7,97.3,3.92,6.47
2020,1,5,3,6.73,46.4,97.29,3.85,6.13
2020,1,5,4,6.66,46.1,97.31,3.77,5.9
2020,1,5,5,6.6,46.4,97.36,3.67,5.7
2020,1,5,6,6.44,48.0,97.4,3.58,5.62
2020,1,5,7,6.09,53.7,97.47,4.01,8.49
2020,1,5,8,4.9,64.6,97.53,3.76,12.67
2020,1,5,9,3.84,80.4,97.54,3.64,14.73
2020,1,5,10,3.06,81.4,97.47,3.68,16.36
2020,1,5,11,2.08,66.5,97.35,3.67,18.04
2020,1,5,12,1.45,21.1,97.25,3.53,19.83
2020,1,5,13,1.83,346.4,97.16,3.48,21.03
2020,1,5,14,2.48,333.6,97.1,3.68,20.96
2020,1,5,15,3.04,325.6,97.09,5.66,18.44
2020,1,5,16,4.34,323.2,97.13,4.76,14.2
2020,1,5,17,5.86,327.0,97.18,4.59,11.66
2020,1,5,18,6.89,334.0,97.23,4.49,10.35
2020,1,5,19,7.91,338.5,97.26,4.38,9.51
2020,1,5,20,9.24,343.1,97.3,4.23,9.1
2020,1,5,21,10.52,351.1,97.32,3.96,8.91
2020,1,5,22,11.02,358.9,97.32,3.66,8.44
2020,1,5,23,11.21,5.1,97.29,3.44,7.56
2020,1,6,0,11.21,12.1,97.26,3.33,6.91
2020,1,6,1,10.99,17.5,97.25,3.31,6.64
2020,1,6,2,10.82,22.5,97.27,3.3,6.56
2020,1,6,3,10.54,27.1,97.31,3.27,6.24
2020,1,6,4,10.16,28.7,97.37,3.26,5.75
2020,1,6,5,9.98,28.6,97.45,3.26,5.48
2020,1,6,6,10.04,31.7,97.54,3.27,5.54
2020,1,6,7,9.42,39.6,97.62,3.37,8.66
2020,1,6,8,7.53,48.7,97.71,3.38,11.9
2020,1,6,9,8.11,62.2,97.76,3.07,15.02
2020,1,6,10,7.25,65.4,97.71,2.59,17.5
2020,1,6,11,6.5,58.1,97.62,2.29,19.17
2020,1,6,12,6.17,48.4,97.54,2.21,20.18
2020,1,6,13,5.62,40.9,97.48,2.25,20.74
2020,1,6,14,4.71,34.5,97.44,2.51,20.71
2020,1,6,15,3.3,24.3,97.41,4.84,18.13
2020,1,6,16,3.08,5.0,97.42,3.45,15.63
2020,1,6,17,4.01,357.6,97.44,3.35,13.27
2020,1,6,18,5.28,0.2,97.46,3.43,11.06
2020,1,6,19,6.78,8.7,97.46,3.39,9.62
2020,1,6,20,8.4,18.2,97.47,3.26,8.96
2020,1,6,21,9.49,24.6,97.47,3.11,8.36
2020,1,6,22,9.86,28.1,97.46,2.94,7.71
2020,1,6,23,9.92,31.4,97.43,2.76,7.07
2020,1,7,0,9.78,36.3,97.39,2.64,6.63
2020,1,7,1,9.88,40.2,97.37,2.58,6.47
2020,1,7,2,9.86,40.8,97.34,2.56,6.34
2020,1,7,3,9.55,40.2,97.31,2.55,6.09
2020,1,7,4,9.25,41.4,97.32,2.53,5.81
2020,1,7,5,9.67,41.1,97.32,2.52,5.7
2020,1,7,6,10.15,41.5,97.31,2.5,5.8
2020,1,7,7,9.78,43.3,97.31,2.58,8.87
2020,1,7,8,7.5,46.6,97.32,2.66,12.1
