-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -26.825   Longitude -65.222 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 388.56 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.02,65.6,96.6,17.29,26.84
2020,1,1,1,2.72,77.7,96.6,17.32,26.32
2020,1,1,2,2.58,103.9,96.58,17.39,25.86
2020,1,1,3,3.3,140.8,96.59,16.96,25.05
2020,1,1,4,4.78,160.6,96.65,15.94,24.05
2020,1,1,5,4.94,173.6,96.72,15.3,23.32
2020,1,1,6,4.0,195.1,96.81,14.76,24.32
2020,1,1,7,3.5,195.4,96.86,13.52,26.97
2020,1,1,8,3.1,195.3,96.88,13.15,29.39
2020,1,1,9,2.8,179.6,96.84,13.2,31.16
2020,1,1,10,2.89,158.9,96.77,13.34,32.59
2020,1,1,11,3.13,145.4,96.69,13.19,33.63
2020,1,1,12,3.32,135.7,96.61,12.86,34.19
2020,1,1,13,3.36,128.2,96.52,12.2,34.72
2020,1,1,14,3.19,121.8,96.44,11.77,34.97
2020,1,1,15,2.93,115.9,96.37,11.54,34.73
2020,1,1,16,2.75,107.6,96.32,11.59,34.0
2020,1,1,17,2.6,98.0,96.35,12.52,32.87
2020,1,1,18,2.62,88.5,96.4,14.93,31.16
2020,1,1,19,2.81,74.3,96.5,17.67,28.87
2020,1,1,20,3.41,69.0,96.59,17.4,28.01
2020,1,1,21,4.13,72.7,96.67,17.23,27.12
2020,1,1,22,4.84,81.3,96.73,16.78,26.2
2020,1,1,23,5.1,91.5,96.76,16.13,25.27
2020,1,2,0,4.75,102.7,96.79,15.34,24.26
2020,1,2,1,3.84,119.2,96.79,14.97,23.34
2020,1,2,2,3.31,148.7,96.79,14.88,22.49
2020,1,2,3,3.51,172.0,96.81,14.58,21.96
2020,1,2,4,3.71,180.3,96.87,14.23,21.36
2020,1,2,5,3.27,180.0,96.93,14.1,20.93
