-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -26.825   Longitude -64.214 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 248.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.09,105.0,98.14,16.69,26.19
2020,1,1,1,2.51,109.8,98.13,16.35,25.57
2020,1,1,2,1.74,131.0,98.11,15.94,25.13
2020,1,1,3,2.72,169.6,98.11,15.7,24.32
2020,1,1,4,4.41,177.4,98.17,15.02,23.55
2020,1,1,5,4.71,178.4,98.24,14.37,23.09
2020,1,1,6,3.5,179.7,98.31,14.05,24.33
2020,1,1,7,3.16,168.9,98.36,13.74,27.74
2020,1,1,8,2.95,178.3,98.37,13.52,30.82
2020,1,1,9,3.07,183.2,98.35,13.34,33.0
2020,1,1,10,3.21,178.0,98.28,12.93,34.75
2020,1,1,11,3.26,169.4,98.2,12.21,36.02
2020,1,1,12,3.33,160.9,98.11,11.63,36.86
2020,1,1,13,3.56,151.6,98.02,11.46,37.35
2020,1,1,14,3.82,143.2,97.93,11.61,37.39
2020,1,1,15,4.15,136.6,97.86,11.82,36.9
2020,1,1,16,4.44,130.1,97.84,12.07,35.83
2020,1,1,17,4.51,123.8,97.86,12.95,34.02
2020,1,1,18,4.82,116.6,97.93,16.36,30.89
2020,1,1,19,5.4,110.7,98.02,17.12,28.54
2020,1,1,20,6.17,108.2,98.13,16.51,27.59
2020,1,1,21,6.82,110.2,98.23,15.44,26.65
2020,1,1,22,6.76,114.2,98.29,14.02,25.83
2020,1,1,23,6.32,119.8,98.31,13.3,24.56
2020,1,2,0,5.69,127.4,98.3,12.98,23.62
2020,1,2,1,4.58,139.4,98.29,13.19,22.8
2020,1,2,2,4.1,154.1,98.28,13.42,22.02
2020,1,2,3,3.91,163.8,98.31,13.38,21.53
2020,1,2,4,3.81,174.4,98.38,13.42,21.06
2020,1,2,5,3.55,178.1,98.46,13.44,20.84
2020,1,2,6,2.44,153.7,98.54,13.06,22.64
2020,1,2,7,2.32,104.8,98.59,11.82,25.65
2020,1,2,8,1.65,110.6,98.59,11.31,28.47
2020,1,2,9,1.55,129.8,98.56,11.28,30.93
2020,1,2,10,1.89,135.6,98.48,11.29,33.01
2020,1,2,11,2.29,135.4,98.38,11.34,34.71
2020,1,2,12,2.72,133.2,98.3,11.37,35.89
2020,1,2,13,3.22,130.1,98.21,11.35,36.6
2020,1,2,14,3.85,126.5,98.11,11.33,36.65
2020,1,2,15,4.41,123.9,98.06,11.34,36.17
2020,1,2,16,4.75,121.6,98.04,11.42,35.23
2020,1,2,17,4.92,121.5,98.08,11.55,33.5
2020,1,2,18,5.17,122.0,98.16,12.1,31.25
2020,1,2,19,6.04,121.7,98.26,12.97,28.22
2020,1,2,20,6.27,122.7,98.37,12.1,27.13
2020,1,2,21,5.97,122.2,98.45,11.54,25.88
2020,1,2,22,5.68,119.9,98.51,11.62,24.58
2020,1,2,23,5.44,117.0,98.54,11.77,23.78
2020,1,3,0,5.22,117.3,98.54,11.97,23.3
2020,1,3,1,4.73,121.3,98.53,12.06,22.97
2020,1,3,2,4.39,125.1,98.52,12.25,22.31
2020,1,3,3,3.91,126.6,98.53,12.48,21.43
2020,1,3,4,3.54,124.0,98.57,12.6,20.74
2020,1,3,5,3.11,119.3,98.64,12.62,20.61
2020,1,3,6,2.33,105.7,98.72,11.84,22.76
2020,1,3,7,2.13,94.3,98.75,11.32,26.05
2020,1,3,8,1.44,113.4,98.76,11.06,28.8
2020,1,3,9,1.39,143.5,98.71,11.04,30.92
2020,1,3,10,1.77,156.0,98.62,11.13,32.77
2020,1,3,11,2.21,153.7,98.53,11.15,34.36
2020,1,3,12,2.63,148.4,98.44,11.0,35.55
2020,1,3,13,3.13,142.4,98.35,10.8,36.26
2020,1,3,14,3.68,136.1,98.26,10.6,36.36
2020,1,3,15,4.12,131.6,98.19,10.39,35.93
2020,1,3,16,4.37,127.4,98.15,10.15,34.96
2020,1,3,17,4.39,124.1,98.16,9.95,33.47
2020,1,3,18,4.41,118.3,98.22,11.49,30.5
2020,1,3,19,5.07,112.1,98.28,12.76,26.55
2020,1,3,20,5.54,108.2,98.35,12.1,25.48
2020,1,3,21,5.74,104.0,98.43,11.74,24.62
2020,1,3,22,5.48,97.6,98.45,11.79,23.83
2020,1,3,23,5.08,88.0,98.43,12.0,23.09
2020,1,4,0,4.76,76.9,98.36,12.16,22.42
2020,1,4,1,4.54,65.5,98.3,12.25,21.83
2020,1,4,2,4.38,53.4,98.26,12.26,21.3
2020,1,4,3,4.19,41.4,98.24,12.28,20.77
2020,1,4,4,3.96,31.4,98.26,12.29,20.29
2020,1,4,5,3.68,24.1,98.31,12.33,20.17
2020,1,4,6,3.1,20.6,98.35,11.67,22.72
2020,1,4,7,3.28,30.6,98.38,11.02,26.2
2020,1,4,8,2.16,43.5,98.38,10.83,29.27
2020,1,4,9,1.34,81.4,98.34,10.71,31.82
2020,1,4,10,1.59,124.5,98.27,10.65,33.96
2020,1,4,11,2.09,136.7,98.17,10.45,35.69
2020,1,4,12,2.44,136.8,98.06,10.04,37.04
2020,1,4,13,2.8,130.5,97.95,9.64,37.86
2020,1,4,14,3.23,122.4,97.82,9.35,38.13
2020,1,4,15,3.69,114.5,97.7,9.14,37.83
2020,1,4,16,4.09,107.8,97.62,9.0,36.96
2020,1,4,17,4.21,103.3,97.6,8.91,35.52
2020,1,4,18,4.63,99.1,97.66,11.42,31.76
2020,1,4,19,5.75,93.7,97.72,11.93,27.54
2020,1,4,20,6.46,87.5,97.79,10.98,26.5
2020,1,4,21,6.67,81.5,97.85,10.43,25.6
2020,1,4,22,6.53,73.8,97.88,10.39,24.76
2020,1,4,23,6.17,62.0,97.83,10.56,24.12
2020,1,5,0,6.06,44.3,97.76,10.48,23.25
2020,1,5,1,6.18,24.9,97.68,10.31,22.61
2020,1,5,2,6.29,11.5,97.6,10.48,21.81
2020,1,5,3,6.33,8.2,97.55,10.69,21.25
2020,1,5,4,6.36,9.9,97.55,10.81,20.97
2020,1,5,5,6.08,12.5,97.56,10.91,20.99
2020,1,5,6,4.38,16.4,97.58,11.07,23.29
2020,1,5,7,4.62,20.3,97.57,10.47,27.28
2020,1,5,8,6.15,15.8,97.53,9.35,31.69
2020,1,5,9,5.5,17.6,97.45,9.65,34.53
