-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -26.189   Longitude -64.51 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 432.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,1.29,80.6,96.13,17.48,26.42
2020,1,1,1,1.12,340.1,96.12,17.14,26.04
2020,1,1,2,1.91,293.8,96.07,17.18,25.21
2020,1,1,3,2.81,265.3,96.03,17.11,24.45
2020,1,1,4,4.0,245.6,96.05,16.86,23.83
2020,1,1,5,5.22,226.1,96.12,16.64,23.63
2020,1,1,6,5.61,212.9,96.2,16.85,25.39
2020,1,1,7,4.94,197.2,96.26,15.83,27.75
2020,1,1,8,4.98,189.4,96.27,14.79,30.68
2020,1,1,9,5.2,185.2,96.25,14.46,32.56
2020,1,1,10,5.38,178.9,96.2,14.08,34.08
2020,1,1,11,5.36,170.2,96.12,13.42,35.17
2020,1,1,12,5.36,160.3,96.04,12.77,35.75
2020,1,1,13,5.58,151.3,95.97,12.46,35.86
2020,1,1,14,5.81,144.9,95.89,12.42,35.64
2020,1,1,15,5.91,141.0,95.82,12.49,35.18
2020,1,1,16,5.92,137.9,95.8,12.57,34.25
2020,1,1,17,5.78,134.8,95.82,13.04,32.68
2020,1,1,18,5.53,131.3,95.89,16.09,30.0
2020,1,1,19,5.7,127.9,96.0,17.44,27.75
2020,1,1,20,5.73,123.0,96.1,17.5,26.86
2020,1,1,21,5.76,117.4,96.18,17.41,26.01
2020,1,1,22,5.59,113.3,96.22,17.21,25.16
2020,1,1,23,5.13,113.4,96.23,16.87,24.33
2020,1,2,0,4.31,121.1,96.21,16.5,23.52
2020,1,2,1,3.58,140.8,96.19,16.11,22.79
2020,1,2,2,3.55,172.4,96.17,15.58,22.05
2020,1,2,3,4.67,196.1,96.18,14.95,21.42
2020,1,2,4,6.08,209.6,96.25,14.45,20.93
2020,1,2,5,6.47,212.6,96.33,14.15,20.63
2020,1,2,6,5.5,209.6,96.41,14.12,21.4
2020,1,2,7,4.36,191.8,96.47,13.4,23.41
2020,1,2,8,3.3,177.7,96.49,12.75,26.46
2020,1,2,9,2.84,167.4,96.46,12.64,28.9
2020,1,2,10,2.79,152.9,96.39,12.59,30.7
2020,1,2,11,2.93,139.8,96.31,12.62,32.05
2020,1,2,12,3.31,130.3,96.23,12.64,33.1
2020,1,2,13,3.87,124.8,96.15,12.61,33.85
2020,1,2,14,4.35,123.0,96.07,12.54,34.03
2020,1,2,15,4.51,123.8,96.01,12.38,33.85
2020,1,2,16,4.53,125.8,96.0,12.17,33.09
2020,1,2,17,4.69,129.5,96.03,12.12,31.72
2020,1,2,18,4.98,130.1,96.09,13.16,29.85
2020,1,2,19,5.62,131.6,96.18,14.23,27.73
2020,1,2,20,6.33,133.1,96.28,13.69,26.85
2020,1,2,21,6.44,132.4,96.38,13.28,26.03
2020,1,2,22,5.88,130.2,96.45,13.05,24.96
2020,1,2,23,5.19,128.2,96.46,12.93,23.82
2020,1,3,0,4.29,132.5,96.43,13.03,22.73
2020,1,3,1,3.74,146.4,96.41,13.11,21.98
2020,1,3,2,3.77,161.4,96.39,12.98,21.37
2020,1,3,3,3.86,174.1,96.41,12.87,20.83
2020,1,3,4,3.87,181.8,96.47,12.79,20.33
2020,1,3,5,3.75,187.7,96.54,12.79,20.15
2020,1,3,6,2.83,180.4,96.62,12.24,22.31
2020,1,3,7,2.42,144.4,96.67,11.87,25.21
2020,1,3,8,2.6,148.5,96.66,11.74,27.52
