-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -26.189   Longitude -65.935 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1842.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,0.49,347.1,81.96,13.52,16.93
2020,1,1,1,1.32,311.9,81.92,13.26,16.24
2020,1,1,2,1.96,282.7,81.86,12.85,15.47
2020,1,1,3,2.74,269.4,81.82,12.4,14.74
2020,1,1,4,3.16,258.9,81.83,11.94,14.2
2020,1,1,5,3.32,249.7,81.88,11.44,13.73
2020,1,1,6,2.79,242.2,81.94,12.13,15.96
2020,1,1,7,1.14,202.7,81.98,11.41,18.67
2020,1,1,8,1.01,120.4,81.99,9.98,21.6
2020,1,1,9,1.78,93.5,81.98,9.39,23.81
2020,1,1,10,2.61,88.5,81.94,9.27,25.41
2020,1,1,11,3.31,85.7,81.88,9.38,26.53
2020,1,1,12,4.0,85.6,81.81,9.68,27.02
2020,1,1,13,4.71,87.1,81.75,10.16,26.94
2020,1,1,14,5.2,87.8,81.69,10.58,26.39
2020,1,1,15,5.61,88.0,81.65,10.84,25.1
2020,1,1,16,5.73,86.7,81.66,11.17,23.41
2020,1,1,17,5.4,84.7,81.69,11.52,21.67
2020,1,1,18,4.59,85.0,81.75,12.1,20.01
2020,1,1,19,3.73,87.2,81.83,12.9,18.49
2020,1,1,20,3.41,88.2,81.9,13.16,17.77
2020,1,1,21,3.0,89.4,81.96,13.29,17.35
2020,1,1,22,2.52,91.1,81.98,13.39,17.05
2020,1,1,23,1.8,101.2,81.98,13.43,16.81
2020,1,2,0,1.33,130.1,81.95,13.33,16.59
2020,1,2,1,1.23,170.6,81.9,13.02,16.36
2020,1,2,2,1.45,197.7,81.86,12.81,16.05
2020,1,2,3,1.53,203.9,81.84,12.71,15.67
2020,1,2,4,1.34,202.4,81.87,12.48,15.39
2020,1,2,5,0.95,197.1,81.91,12.16,15.18
2020,1,2,6,0.35,198.4,81.96,11.85,15.93
2020,1,2,7,0.53,22.2,81.98,11.85,17.42
2020,1,2,8,1.15,34.4,81.99,11.63,19.64
2020,1,2,9,1.76,57.0,81.97,11.21,22.24
2020,1,2,10,2.94,74.0,81.93,11.18,23.98
2020,1,2,11,3.96,79.5,81.88,11.22,24.78
2020,1,2,12,4.61,83.0,81.85,11.24,24.87
2020,1,2,13,5.07,85.7,81.81,11.28,24.61
2020,1,2,14,5.27,87.4,81.77,11.32,24.01
2020,1,2,15,5.11,88.1,81.76,11.34,23.0
2020,1,2,16,4.8,89.0,81.78,11.38,21.95
2020,1,2,17,4.32,89.7,81.81,11.48,20.87
2020,1,2,18,3.78,89.5,81.87,11.72,19.55
2020,1,2,19,3.2,89.1,81.93,12.31,18.16
2020,1,2,20,2.85,89.6,81.99,12.44,17.49
2020,1,2,21,2.69,90.0,82.04,12.45,16.96
2020,1,2,22,2.48,86.3,82.07,12.46,16.46
2020,1,2,23,2.32,81.8,82.07,12.48,16.06
2020,1,3,0,2.06,84.7,82.04,12.48,15.67
2020,1,3,1,1.8,97.7,82.0,12.43,15.31
2020,1,3,2,1.84,113.1,81.97,12.31,15.0
2020,1,3,3,1.93,120.8,81.96,12.15,14.7
2020,1,3,4,1.81,124.0,81.98,11.94,14.4
2020,1,3,5,1.41,130.1,82.03,11.74,14.19
