-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -25.925   Longitude -65.222 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1066.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,0.54,83.7,89.53,15.9,22.53
2020,1,1,1,0.88,317.8,89.51,15.65,22.14
2020,1,1,2,1.67,279.6,89.45,15.13,21.33
2020,1,1,3,2.7,260.9,89.42,14.9,20.35
2020,1,1,4,3.43,245.7,89.44,14.62,19.59
2020,1,1,5,3.99,228.2,89.5,14.48,19.26
2020,1,1,6,3.95,215.1,89.57,15.26,21.31
2020,1,1,7,3.46,190.5,89.62,14.95,23.67
2020,1,1,8,3.32,178.3,89.63,13.92,26.21
2020,1,1,9,3.21,167.6,89.62,13.5,28.11
2020,1,1,10,3.29,153.7,89.57,13.07,29.84
2020,1,1,11,3.51,139.3,89.5,12.53,31.13
2020,1,1,12,4.0,127.3,89.42,12.1,31.86
2020,1,1,13,4.77,120.7,89.34,11.95,32.08
2020,1,1,14,5.56,118.0,89.27,11.83,31.71
2020,1,1,15,6.05,117.2,89.24,11.75,30.74
2020,1,1,16,6.1,115.8,89.23,11.77,29.28
2020,1,1,17,5.64,114.1,89.27,12.02,27.63
2020,1,1,18,4.81,112.6,89.34,13.68,25.58
2020,1,1,19,4.29,110.3,89.43,15.31,23.13
2020,1,1,20,4.02,106.9,89.5,15.38,22.29
2020,1,1,21,3.79,103.7,89.57,15.39,21.71
2020,1,1,22,3.55,100.6,89.6,15.55,21.39
2020,1,1,23,3.21,101.3,89.6,15.76,21.25
2020,1,2,0,2.66,110.0,89.58,15.72,21.0
2020,1,2,1,2.39,129.9,89.54,15.39,20.6
2020,1,2,2,2.48,153.1,89.51,15.05,20.09
2020,1,2,3,2.89,171.8,89.51,14.89,19.57
2020,1,2,4,3.33,180.2,89.56,14.55,19.08
2020,1,2,5,3.38,182.4,89.62,14.21,18.73
2020,1,2,6,2.88,184.0,89.68,13.91,19.49
2020,1,2,7,2.41,178.1,89.71,12.88,20.97
2020,1,2,8,1.72,161.0,89.72,12.01,23.41
2020,1,2,9,1.62,130.8,89.7,11.85,25.88
2020,1,2,10,2.28,110.0,89.64,12.0,27.63
2020,1,2,11,3.06,102.1,89.58,12.09,29.03
2020,1,2,12,3.76,100.9,89.51,12.08,30.04
2020,1,2,13,4.43,102.9,89.45,12.01,30.33
2020,1,2,14,4.86,104.8,89.39,12.0,30.14
2020,1,2,15,4.95,106.1,89.36,11.93,29.53
2020,1,2,16,4.7,106.8,89.37,11.89,28.38
2020,1,2,17,4.35,107.3,89.41,11.9,26.98
2020,1,2,18,3.97,105.6,89.47,12.45,25.39
2020,1,2,19,3.91,107.1,89.56,13.87,23.48
2020,1,2,20,4.05,111.7,89.63,13.8,22.74
2020,1,2,21,4.06,115.9,89.71,13.64,22.14
2020,1,2,22,3.78,116.6,89.76,13.56,21.48
2020,1,2,23,3.37,116.4,89.77,13.49,20.78
2020,1,3,0,2.97,122.1,89.75,13.37,20.12
2020,1,3,1,2.83,134.1,89.72,13.11,19.53
2020,1,3,2,2.91,145.5,89.7,12.78,18.93
2020,1,3,3,2.85,153.5,89.7,12.53,18.47
2020,1,3,4,2.65,159.2,89.73,12.36,18.08
2020,1,3,5,2.34,165.9,89.79,12.29,17.87
2020,1,3,6,1.94,162.9,89.85,11.33,19.53
2020,1,3,7,1.81,145.3,89.88,11.08,21.59
2020,1,3,8,1.96,136.0,89.88,11.22,23.73
2020,1,3,9,2.52,132.1,89.84,11.44,25.9
2020,1,3,10,3.41,130.0,89.78,11.57,27.86
2020,1,3,11,4.29,128.0,89.72,11.57,29.33
2020,1,3,12,5.03,127.0,89.64,11.45,30.29
2020,1,3,13,5.53,127.4,89.59,11.32,30.65
2020,1,3,14,5.69,128.5,89.53,11.2,30.5
2020,1,3,15,5.6,129.7,89.49,10.98,29.99
2020,1,3,16,5.41,129.5,89.46,10.71,29.04
2020,1,3,17,5.1,129.0,89.47,10.52,27.55
2020,1,3,18,4.64,125.7,89.53,10.91,25.43
2020,1,3,19,4.0,118.2,89.6,12.53,22.63
2020,1,3,20,3.04,114.0,89.66,12.92,21.67
2020,1,3,21,1.97,117.5,89.71,12.67,21.24
2020,1,3,22,1.03,137.8,89.73,12.06,21.06
2020,1,3,23,0.62,193.1,89.69,11.64,20.84
2020,1,4,0,0.76,239.0,89.62,11.41,20.32
2020,1,4,1,0.84,261.8,89.55,11.22,19.9
2020,1,4,2,0.88,281.8,89.49,11.04,19.57
2020,1,4,3,0.98,296.0,89.46,10.91,19.16
2020,1,4,4,1.08,303.0,89.45,10.78,18.87
2020,1,4,5,1.14,302.9,89.48,10.81,18.51
2020,1,4,6,1.24,323.2,89.51,11.04,20.29
2020,1,4,7,1.18,352.7,89.53,10.63,23.01
2020,1,4,8,0.53,114.6,89.52,10.88,25.82
2020,1,4,9,2.19,130.7,89.5,10.83,28.19
2020,1,4,10,3.52,128.2,89.45,10.68,29.97
2020,1,4,11,4.48,126.9,89.39,10.54,31.3
2020,1,4,12,5.19,126.7,89.32,10.45,32.08
2020,1,4,13,5.67,125.8,89.25,10.35,32.45
2020,1,4,14,5.79,124.7,89.16,10.26,32.28
