-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -27.46   Longitude -64.51 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 235.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.94,132.5,98.32,14.18,25.44
2020,1,1,1,4.61,140.1,98.31,14.09,24.48
2020,1,1,2,4.31,155.6,98.28,13.97,23.82
2020,1,1,3,4.98,171.9,98.31,13.56,23.34
2020,1,1,4,5.12,174.8,98.36,13.07,23.25
2020,1,1,5,4.48,173.5,98.4,12.96,23.02
2020,1,1,6,3.28,165.5,98.47,13.07,24.73
2020,1,1,7,3.57,142.4,98.52,13.3,28.08
2020,1,1,8,2.73,144.7,98.53,13.24,30.87
2020,1,1,9,2.23,156.0,98.51,12.76,33.11
2020,1,1,10,2.29,160.9,98.44,11.88,34.97
2020,1,1,11,2.47,159.1,98.35,11.09,36.3
2020,1,1,12,2.65,155.5,98.26,10.78,37.27
2020,1,1,13,2.94,148.5,98.16,10.88,37.8
2020,1,1,14,3.35,140.7,98.07,11.12,37.82
2020,1,1,15,3.78,133.3,98.0,11.36,37.35
2020,1,1,16,4.21,127.0,97.97,11.6,36.23
2020,1,1,17,4.41,121.9,97.99,12.05,34.48
2020,1,1,18,4.86,115.4,98.06,14.8,31.06
2020,1,1,19,6.05,111.6,98.17,15.11,27.98
2020,1,1,20,7.02,112.6,98.28,13.72,27.67
2020,1,1,21,7.09,117.8,98.39,12.52,27.19
2020,1,1,22,6.23,125.0,98.45,11.61,26.13
2020,1,1,23,5.72,133.4,98.47,11.65,24.51
2020,1,2,0,5.43,141.4,98.47,11.47,23.75
2020,1,2,1,4.96,149.9,98.46,11.73,22.85
2020,1,2,2,4.63,154.7,98.44,12.14,22.06
2020,1,2,3,4.37,155.3,98.47,12.45,21.46
2020,1,2,4,4.03,159.7,98.53,12.76,20.87
2020,1,2,5,3.7,162.1,98.61,12.85,20.69
2020,1,2,6,2.81,130.8,98.68,12.14,23.04
2020,1,2,7,2.74,99.5,98.74,10.62,26.24
2020,1,2,8,1.97,107.4,98.74,10.59,28.9
2020,1,2,9,1.79,122.0,98.71,10.67,31.26
2020,1,2,10,2.02,130.0,98.63,10.72,33.32
2020,1,2,11,2.34,132.4,98.53,10.8,35.0
2020,1,2,12,2.73,132.2,98.45,10.88,36.09
2020,1,2,13,3.27,129.7,98.36,10.95,36.74
2020,1,2,14,3.9,126.9,98.27,11.08,36.59
2020,1,2,15,4.47,125.6,98.22,11.24,35.81
2020,1,2,16,4.78,124.4,98.21,11.36,34.73
2020,1,2,17,4.86,123.9,98.24,11.36,33.19
2020,1,2,18,4.88,123.1,98.32,11.32,31.0
2020,1,2,19,5.84,121.8,98.43,11.76,27.16
2020,1,2,20,6.19,122.2,98.54,10.93,26.21
2020,1,2,21,5.74,122.8,98.62,10.75,25.17
2020,1,2,22,5.24,123.1,98.67,11.1,23.85
2020,1,2,23,4.86,124.3,98.7,11.38,22.95
2020,1,3,0,4.88,126.3,98.71,11.49,22.39
2020,1,3,1,4.53,132.9,98.71,11.47,22.02
2020,1,3,2,4.35,135.7,98.69,11.53,21.49
2020,1,3,3,3.94,137.8,98.69,11.65,20.73
2020,1,3,4,3.61,136.2,98.73,11.71,20.06
2020,1,3,5,3.28,134.5,98.8,11.73,19.91
2020,1,3,6,2.2,113.1,98.87,11.3,22.61
2020,1,3,7,2.55,83.0,98.9,10.83,26.45
2020,1,3,8,1.55,98.9,98.9,10.69,29.41
2020,1,3,9,1.35,132.3,98.85,10.68,31.73
2020,1,3,10,1.73,145.9,98.76,10.75,33.66
2020,1,3,11,2.16,145.6,98.67,10.73,35.17
2020,1,3,12,2.62,141.0,98.58,10.58,36.19
2020,1,3,13,3.1,135.1,98.48,10.44,36.73
2020,1,3,14,3.62,130.3,98.4,10.23,36.69
2020,1,3,15,4.07,126.6,98.33,9.95,36.18
2020,1,3,16,4.37,122.9,98.29,9.66,35.1
2020,1,3,17,4.43,119.7,98.3,9.43,33.52
2020,1,3,18,4.49,115.3,98.35,10.31,30.36
2020,1,3,19,5.37,110.2,98.43,11.52,25.69
2020,1,3,20,5.77,105.9,98.5,11.11,24.74
2020,1,3,21,5.81,101.0,98.57,10.99,24.02
2020,1,3,22,5.58,94.9,98.6,11.11,23.31
2020,1,3,23,5.31,86.5,98.56,11.28,22.62
2020,1,4,0,5.09,77.6,98.5,11.41,21.99
2020,1,4,1,4.9,69.9,98.44,11.5,21.42
2020,1,4,2,4.69,61.6,98.39,11.55,20.88
2020,1,4,3,4.39,52.0,98.37,11.62,20.34
2020,1,4,4,3.85,42.3,98.4,11.7,19.82
2020,1,4,5,3.27,34.7,98.44,11.87,19.7
2020,1,4,6,2.48,26.6,98.5,11.49,22.57
2020,1,4,7,2.91,31.8,98.53,10.65,26.4
2020,1,4,8,1.87,41.1,98.51,10.46,29.55
2020,1,4,9,0.97,73.2,98.48,10.31,32.26
2020,1,4,10,1.1,123.1,98.41,10.13,34.54
2020,1,4,11,1.58,133.5,98.3,9.84,36.31
2020,1,4,12,2.0,129.1,98.19,9.45,37.66
2020,1,4,13,2.45,121.5,98.07,9.19,38.41
2020,1,4,14,2.96,114.7,97.94,9.01,38.55
2020,1,4,15,3.48,108.6,97.82,8.85,38.11
2020,1,4,16,3.96,103.6,97.75,8.7,37.08
2020,1,4,17,4.15,100.1,97.75,8.59,35.43
2020,1,4,18,4.64,96.6,97.8,10.46,31.28
2020,1,4,19,6.0,92.5,97.87,10.83,26.6
2020,1,4,20,6.73,88.2,97.93,9.94,25.73
2020,1,4,21,6.8,82.5,97.99,9.5,25.16
2020,1,4,22,6.49,73.9,98.01,9.44,24.5
2020,1,4,23,6.14,63.3,97.96,9.47,24.06
2020,1,5,0,5.9,49.5,97.88,9.54,23.39
2020,1,5,1,5.73,34.1,97.8,9.58,22.65
2020,1,5,2,5.26,20.4,97.73,9.89,21.63
2020,1,5,3,4.9,13.9,97.68,10.18,20.65
