-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -27.46   Longitude -65.935 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 883.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.0,102.7,91.5,15.83,23.62
2020,1,1,1,4.48,118.7,91.51,15.37,22.89
2020,1,1,2,4.74,127.5,91.5,14.73,22.14
2020,1,1,3,4.79,135.5,91.5,14.08,21.3
2020,1,1,4,4.45,145.2,91.55,13.61,20.73
2020,1,1,5,3.85,160.1,91.61,13.41,20.4
2020,1,1,6,2.49,181.4,91.68,13.05,21.44
2020,1,1,7,0.47,155.1,91.71,12.45,23.24
2020,1,1,8,1.06,47.3,91.68,12.28,25.25
2020,1,1,9,1.66,76.4,91.64,12.32,27.31
2020,1,1,10,2.55,99.5,91.59,12.26,29.34
2020,1,1,11,3.32,103.1,91.52,12.12,30.75
2020,1,1,12,3.83,98.7,91.43,11.81,31.57
2020,1,1,13,4.34,92.6,91.36,11.43,31.85
2020,1,1,14,4.64,84.9,91.3,11.16,31.55
2020,1,1,15,4.66,76.6,91.25,11.0,30.87
2020,1,1,16,4.53,69.2,91.23,10.95,30.0
2020,1,1,17,4.18,61.3,91.25,11.28,28.85
2020,1,1,18,3.62,50.9,91.31,13.32,26.92
2020,1,1,19,3.14,36.8,91.38,15.27,24.32
2020,1,1,20,2.88,30.2,91.47,15.33,23.79
2020,1,1,21,2.9,40.2,91.53,15.44,23.27
2020,1,1,22,3.37,60.1,91.57,15.58,22.75
2020,1,1,23,3.79,77.8,91.61,15.46,22.11
2020,1,2,0,3.57,91.6,91.63,15.25,21.33
2020,1,2,1,3.21,104.1,91.63,14.69,20.37
2020,1,2,2,2.64,117.5,91.62,14.15,19.46
2020,1,2,3,2.3,128.5,91.61,13.68,18.73
2020,1,2,4,2.22,133.2,91.64,13.29,18.14
2020,1,2,5,2.11,130.6,91.68,12.95,17.68
2020,1,2,6,2.23,111.0,91.74,12.83,18.72
2020,1,2,7,2.87,85.8,91.78,12.56,20.42
2020,1,2,8,3.3,81.6,91.78,12.06,23.02
2020,1,2,9,3.45,83.0,91.75,11.85,25.48
2020,1,2,10,3.68,83.9,91.7,11.87,27.4
2020,1,2,11,3.81,82.8,91.63,11.88,28.96
2020,1,2,12,4.06,82.3,91.57,11.77,30.24
2020,1,2,13,4.39,81.1,91.49,11.63,31.0
2020,1,2,14,4.76,79.7,91.43,11.54,31.18
2020,1,2,15,5.01,77.2,91.38,11.47,30.87
2020,1,2,16,5.24,73.6,91.36,11.42,30.12
2020,1,2,17,5.33,71.4,91.38,11.39,28.87
2020,1,2,18,5.09,70.7,91.45,11.72,27.19
2020,1,2,19,4.98,74.6,91.54,12.95,24.84
2020,1,2,20,5.32,80.8,91.62,12.96,24.03
2020,1,2,21,5.43,84.2,91.7,12.86,23.3
2020,1,2,22,5.08,85.1,91.76,12.79,22.42
2020,1,2,23,4.44,84.7,91.8,12.56,21.48
2020,1,3,0,3.68,86.7,91.82,12.36,20.59
2020,1,3,1,2.74,89.4,91.8,12.32,19.84
2020,1,3,2,1.94,96.5,91.78,12.23,19.22
2020,1,3,3,1.25,107.7,91.76,12.19,18.65
2020,1,3,4,0.74,123.5,91.79,11.98,18.03
2020,1,3,5,0.62,169.8,91.83,11.76,17.69
2020,1,3,6,0.71,123.5,91.88,11.09,19.47
2020,1,3,7,1.58,82.0,91.91,10.7,21.87
2020,1,3,8,1.97,83.6,91.92,10.73,24.22
2020,1,3,9,2.22,90.8,91.88,10.87,26.41
2020,1,3,10,2.62,99.2,91.82,10.91,28.42
2020,1,3,11,3.06,100.4,91.74,10.75,30.14
2020,1,3,12,3.45,97.0,91.67,10.56,31.3
2020,1,3,13,3.91,93.2,91.6,10.45,31.85
2020,1,3,14,4.32,89.6,91.53,10.32,31.89
2020,1,3,15,4.65,85.3,91.49,10.31,31.27
2020,1,3,16,4.72,80.0,91.46,10.34,30.18
2020,1,3,17,4.42,74.5,91.46,10.35,28.91
2020,1,3,18,4.2,67.6,91.5,10.8,27.21
2020,1,3,19,4.18,61.1,91.55,12.23,24.06
2020,1,3,20,4.05,57.1,91.6,12.21,22.99
2020,1,3,21,3.66,54.8,91.67,12.23,22.16
2020,1,3,22,3.04,50.6,91.71,12.38,21.42
2020,1,3,23,2.07,46.4,91.68,12.4,20.81
2020,1,4,0,1.09,52.8,91.62,12.04,20.53
2020,1,4,1,0.55,105.8,91.55,11.83,20.05
2020,1,4,2,0.67,161.8,91.49,11.74,19.56
2020,1,4,3,0.76,191.3,91.46,11.54,18.97
2020,1,4,4,0.82,205.9,91.46,11.36,18.48
2020,1,4,5,0.82,209.1,91.5,11.23,18.1
2020,1,4,6,0.09,186.3,91.54,11.09,20.25
2020,1,4,7,1.19,48.4,91.55,10.6,23.27
2020,1,4,8,1.61,75.6,91.55,10.46,26.12
2020,1,4,9,1.99,102.2,91.53,10.47,28.43
2020,1,4,10,2.51,107.9,91.48,10.39,30.46
2020,1,4,11,2.95,104.3,91.4,10.18,32.16
2020,1,4,12,3.54,99.1,91.32,10.0,33.38
2020,1,4,13,4.24,94.9,91.23,9.9,33.95
2020,1,4,14,4.83,90.4,91.13,9.75,33.92
2020,1,4,15,5.3,84.4,91.04,9.52,33.28
2020,1,4,16,5.29,76.8,90.99,9.24,32.24
2020,1,4,17,4.89,71.4,90.98,9.09,31.02
2020,1,4,18,4.79,67.4,91.01,9.9,28.81
2020,1,4,19,4.89,60.5,91.05,11.4,25.44
2020,1,4,20,5.01,55.3,91.11,11.43,24.64
2020,1,4,21,4.83,50.7,91.18,11.49,23.89
2020,1,4,22,4.12,43.3,91.19,11.66,23.07
2020,1,4,23,3.41,34.0,91.14,11.89,22.27
2020,1,5,0,2.92,22.1,91.05,12.01,21.66
2020,1,5,1,2.45,14.7,90.96,11.68,21.15
2020,1,5,2,1.86,12.1,90.87,11.16,21.0
2020,1,5,3,1.49,13.9,90.81,10.93,20.73
2020,1,5,4,1.3,13.4,90.8,10.73,20.34
2020,1,5,5,0.94,3.0,90.82,10.75,20.12
2020,1,5,6,0.47,351.3,90.85,11.0,22.29
2020,1,5,7,1.45,53.1,90.85,10.36,25.45
2020,1,5,8,2.05,63.3,90.81,10.39,28.53
2020,1,5,9,2.44,78.9,90.74,10.81,30.93
2020,1,5,10,2.94,83.6,90.64,11.12,32.85
2020,1,5,11,3.68,82.4,90.51,11.26,34.41
2020,1,5,12,4.44,79.0,90.39,11.28,35.52
2020,1,5,13,5.23,75.0,90.29,11.32,36.04
2020,1,5,14,5.89,70.9,90.2,11.33,36.03
2020,1,5,15,6.42,67.5,90.12,11.27,35.6
2020,1,5,16,6.83,64.4,90.08,11.2,34.85
2020,1,5,17,7.42,59.8,90.07,11.27,33.65
2020,1,5,18,7.52,55.0,90.09,11.75,31.62
2020,1,5,19,7.06,48.8,90.12,12.9,28.14
2020,1,5,20,5.7,43.2,90.16,13.68,26.7
2020,1,5,21,3.68,44.9,90.19,14.47,25.6
2020,1,5,22,2.28,61.4,90.21,14.73,24.86
2020,1,5,23,1.71,93.3,90.19,14.65,24.3
2020,1,6,0,0.36,136.1,90.14,14.5,23.98
2020,1,6,1,2.75,243.7,90.14,14.24,23.63
2020,1,6,2,5.96,233.6,90.19,14.04,23.37
2020,1,6,3,9.65,218.0,90.34,13.92,23.34
2020,1,6,4,10.06,211.0,90.56,13.57,21.98
2020,1,6,5,8.63,209.8,90.74,12.78,20.26
2020,1,6,6,7.6,198.3,90.92,12.5,20.4
2020,1,6,7,7.41,184.8,91.08,11.92,21.29
2020,1,6,8,7.03,169.8,91.18,11.19,22.08
2020,1,6,9,6.43,157.4,91.21,10.72,22.8
2020,1,6,10,5.96,144.4,91.2,10.52,23.67
2020,1,6,11,5.94,131.3,91.16,10.31,24.3
2020,1,6,12,5.77,123.6,91.1,10.08,25.51
2020,1,6,13,5.48,112.5,91.05,9.85,26.62
2020,1,6,14,5.73,101.7,91.0,9.58,26.86
2020,1,6,15,5.67,97.2,90.96,9.25,26.8
2020,1,6,16,5.25,89.8,90.96,8.94,26.57
2020,1,6,17,4.79,83.4,90.98,8.68,25.79
2020,1,6,18,4.45,75.3,91.05,8.72,24.22
2020,1,6,19,4.42,59.3,91.13,9.9,21.43
2020,1,6,20,4.4,42.8,91.23,10.06,20.46
2020,1,6,21,3.81,32.4,91.29,10.45,19.78
2020,1,6,22,2.96,26.5,91.31,10.77,19.03
2020,1,6,23,2.24,34.3,91.31,10.87,18.44
2020,1,7,0,2.15,60.1,91.29,10.91,17.89
2020,1,7,1,2.38,71.4,91.29,10.89,17.08
2020,1,7,2,2.19,64.6,91.28,11.1,16.48
2020,1,7,3,1.83,56.1,91.28,11.2,16.64
2020,1,7,4,1.61,57.7,91.33,11.18,16.69
