-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -27.724   Longitude -65.222 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 330.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,5.45,126.6,97.29,15.94,27.18
2020,1,1,1,5.85,137.7,97.29,15.18,26.3
2020,1,1,2,6.09,146.7,97.3,14.5,25.6
2020,1,1,3,6.64,155.4,97.31,13.85,25.04
2020,1,1,4,6.5,160.5,97.35,13.52,24.41
2020,1,1,5,5.6,164.6,97.4,13.48,23.9
2020,1,1,6,4.08,171.8,97.47,13.23,25.11
2020,1,1,7,3.14,150.3,97.52,12.89,27.55
2020,1,1,8,1.82,141.9,97.53,12.7,29.65
2020,1,1,9,1.46,142.0,97.5,12.48,31.36
2020,1,1,10,1.74,143.4,97.43,12.12,32.91
2020,1,1,11,2.03,139.0,97.34,11.6,34.24
2020,1,1,12,2.28,128.2,97.25,11.1,35.32
2020,1,1,13,2.58,116.2,97.15,10.79,36.08
2020,1,1,14,2.84,105.8,97.05,10.75,36.39
2020,1,1,15,3.03,95.5,96.97,10.83,36.27
2020,1,1,16,3.27,86.1,96.93,11.0,35.64
2020,1,1,17,3.48,77.9,96.94,11.59,34.51
2020,1,1,18,3.77,70.9,97.01,14.38,32.33
2020,1,1,19,4.41,68.9,97.11,16.79,29.73
2020,1,1,20,5.24,73.1,97.22,16.65,28.69
2020,1,1,21,6.31,81.7,97.31,16.52,27.48
2020,1,1,22,7.14,94.2,97.39,15.69,26.27
2020,1,1,23,6.8,106.5,97.44,14.31,25.31
2020,1,2,0,6.56,118.7,97.46,13.12,24.5
2020,1,2,1,6.32,127.2,97.46,12.7,23.84
2020,1,2,2,5.56,137.0,97.46,12.85,23.27
